﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000925941","20211211","49","토","41","경기도","4182","가평군","9","MALE","4","4205.350192"
"LI122200010009LI12220001000925942","20211219","50","일","41","경기도","4182","가평군","21","FEMALE","10","2462.758279"
"LI122200010009LI12220001000925943","20211217","50","금","41","경기도","4182","가평군","12","FEMALE","5","1346.965038"
"LI122200010009LI12220001000925944","20211225","51","토","41","경기도","4182","가평군","6","FEMALE","1","1102.000117"
"LI122200010009LI12220001000925945","20211224","51","금","41","경기도","4182","가평군","16","MALE","8","3091.180932"
"LI122200010009LI12220001000925946","20211204","48","토","41","경기도","4182","가평군","19","FEMALE","4","1827.809043"
"LI122200010009LI12220001000925947","20211220","51","월","41","경기도","4182","가평군","13","FEMALE","10","770.8481803"
"LI122200010009LI12220001000925948","20211205","48","일","41","경기도","4182","가평군","0","FEMALE","6","3606.879658"
"LI122200010009LI12220001000925949","20211201","48","수","41","경기도","4182","가평군","19","FEMALE","6","1207.308773"
"LI122200010009LI122200010009259410","20211208","49","수","41","경기도","4182","가평군","6","MALE","13","3081.481277"
"LI122200010009LI122200010009259411","20211225","51","토","41","경기도","4182","가평군","14","MALE","6","4114.638461"
"LI122200010009LI122200010009259412","20211204","48","토","41","경기도","4182","가평군","0","FEMALE","4","1427.768752"
"LI122200010009LI122200010009259413","20211222","51","수","41","경기도","4182","가평군","20","FEMALE","13","2565.429489"
"LI122200010009LI122200010009259414","20211210","49","금","41","경기도","4182","가평군","20","FEMALE","1","805.1118192"
"LI122200010009LI122200010009259415","20211212","49","일","41","경기도","4182","가평군","3","MALE","5","4523.853264"
"LI122200010009LI122200010009259416","20211218","50","토","41","경기도","4182","가평군","15","FEMALE","9","2843.599998"
"LI122200010009LI122200010009259417","20211204","48","토","41","경기도","4182","가평군","12","FEMALE","6","2174.571348"
"LI122200010009LI122200010009259418","20211202","48","목","41","경기도","4182","가평군","11","FEMALE","1","585.4654704"
"LI122200010009LI122200010009259419","20211227","52","월","41","경기도","4182","가평군","6","FEMALE","13","2807.934255"
"LI122200010009LI122200010009259420","20211217","50","금","41","경기도","4182","가평군","22","FEMALE","5","1864.205045"
"LI122200010009LI122200010009259421","20211214","50","화","41","경기도","4182","가평군","6","FEMALE","13","2756.406964"
"LI122200010009LI122200010009259422","20211201","48","수","41","경기도","4182","가평군","1","FEMALE","5","1291.112904"
"LI122200010009LI122200010009259423","20211202","48","목","41","경기도","4182","가평군","23","MALE","13","2788.202635"
"LI122200010009LI122200010009259424","20211231","52","금","41","경기도","4182","가평군","3","MALE","8","2584.669571"
"LI122200010009LI122200010009259425","20211220","51","월","41","경기도","4182","가평군","7","FEMALE","10","2410.783476"
"LI122200010009LI122200010009259426","20211213","50","월","41","경기도","4182","가평군","6","FEMALE","3","1483.761618"
"LI122200010009LI122200010009259427","20211219","50","일","41","경기도","4182","가평군","22","MALE","10","2668.931508"
"LI122200010009LI122200010009259428","20211222","51","수","41","경기도","4182","가평군","7","FEMALE","14","6070.76817"
"LI122200010009LI122200010009259429","20211223","51","목","41","경기도","4182","가평군","0","MALE","1","534.1301169"
"LI122200010009LI122200010009259430","20211205","48","일","41","경기도","4182","가평군","23","FEMALE","5","2018.678005"
"LI122200010009LI122200010009259431","20211215","50","수","41","경기도","4182","가평군","22","FEMALE","9","1948.300252"
"LI122200010009LI122200010009259432","20211218","50","토","41","경기도","4182","가평군","15","MALE","7","3217.834107"
"LI122200010009LI122200010009259433","20211220","51","월","41","경기도","4182","가평군","15","MALE","2","1521.380151"
"LI122200010009LI122200010009259434","20211214","50","화","41","경기도","4182","가평군","5","MALE","4","2177.957908"
"LI122200010009LI122200010009259435","20211209","49","목","41","경기도","4182","가평군","17","MALE","1","406.3689642"
"LI122200010009LI122200010009259436","20211204","48","토","41","경기도","4182","가평군","3","FEMALE","4","1259.417325"
"LI122200010009LI122200010009259437","20211231","52","금","41","경기도","4182","가평군","18","FEMALE","4","2254.394629"
"LI122200010009LI122200010009259438","20211212","49","일","41","경기도","4182","가평군","1","MALE","14","5047.240754"
