﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000925961","20211216","50","목","41","경기도","4129","과천시","14","MALE","2","2796.4247"
"LI122200010009LI12220001000925962","20211205","48","일","41","경기도","4129","과천시","0","MALE","3","3712.40614"
"LI122200010009LI12220001000925963","20211222","51","수","41","경기도","4129","과천시","7","MALE","10","4835.673634"
"LI122200010009LI12220001000925964","20211206","49","월","41","경기도","4129","과천시","17","MALE","9","3049.46832"
"LI122200010009LI12220001000925965","20211224","51","금","41","경기도","4129","과천시","4","FEMALE","11","3093.781279"
"LI122200010009LI12220001000925966","20211211","49","토","41","경기도","4129","과천시","21","MALE","4","2561.820442"
"LI122200010009LI12220001000925967","20211225","51","토","41","경기도","4129","과천시","9","FEMALE","7","2960.054416"
"LI122200010009LI12220001000925968","20211219","50","일","41","경기도","4129","과천시","20","MALE","12","3169.73795"
"LI122200010009LI12220001000925969","20211230","52","목","41","경기도","4129","과천시","20","MALE","7","2768.328871"
"LI122200010009LI122200010009259610","20211202","48","목","41","경기도","4129","과천시","14","MALE","10","3174.053144"
"LI122200010009LI122200010009259611","20211218","50","토","41","경기도","4129","과천시","1","MALE","6","2625.741632"
"LI122200010009LI122200010009259612","20211221","51","화","41","경기도","4129","과천시","5","MALE","1","599.7102261"
"LI122200010009LI122200010009259613","20211209","49","목","41","경기도","4129","과천시","5","FEMALE","14","3888.616416"
"LI122200010009LI122200010009259614","20211218","50","토","41","경기도","4129","과천시","7","MALE","3","3780.244449"
"LI122200010009LI122200010009259615","20211206","49","월","41","경기도","4129","과천시","1","MALE","8","2652.767298"
"LI122200010009LI122200010009259616","20211220","51","월","41","경기도","4129","과천시","14","MALE","6","3674.875719"
"LI122200010009LI122200010009259617","20211227","52","월","41","경기도","4129","과천시","6","FEMALE","10","3955.982809"
"LI122200010009LI122200010009259618","20211214","50","화","41","경기도","4129","과천시","3","MALE","5","2313.009647"
"LI122200010009LI122200010009259619","20211215","50","수","41","경기도","4129","과천시","14","FEMALE","12","2921.31821"
"LI122200010009LI122200010009259620","20211223","51","목","41","경기도","4129","과천시","9","FEMALE","3","3512.690452"
"LI122200010009LI122200010009259621","20211222","51","수","41","경기도","4129","과천시","19","MALE","12","2722.360624"
"LI122200010009LI122200010009259622","20211214","50","화","41","경기도","4129","과천시","17","MALE","6","2325.67233"
"LI122200010009LI122200010009259623","20211231","52","금","41","경기도","4129","과천시","17","MALE","13","2091.41664"
"LI122200010009LI122200010009259624","20211226","51","일","41","경기도","4129","과천시","5","FEMALE","10","3526.912872"
"LI122200010009LI122200010009259625","20211208","49","수","41","경기도","4129","과천시","23","FEMALE","6","2535.221535"
"LI122200010009LI122200010009259626","20211218","50","토","41","경기도","4129","과천시","19","FEMALE","14","4317.061323"
"LI122200010009LI122200010009259627","20211221","51","화","41","경기도","4129","과천시","19","MALE","5","3117.124682"
"LI122200010009LI122200010009259628","20211230","52","목","41","경기도","4129","과천시","9","FEMALE","8","3273.249803"
"LI122200010009LI122200010009259629","20211231","52","금","41","경기도","4129","과천시","9","MALE","13","2308.1664"
"LI122200010009LI122200010009259630","20211204","48","토","41","경기도","4129","과천시","2","FEMALE","1","784.8801121"
"LI122200010009LI122200010009259631","20211205","48","일","41","경기도","4129","과천시","15","MALE","7","3646.928112"
"LI122200010009LI122200010009259632","20211210","49","금","41","경기도","4129","과천시","11","MALE","11","4101.33314"
