﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000925981","20211230","52","목","41","경기도","4161","광주시","3","MALE","3","15053.99693"
"LI122200010009LI12220001000925982","20211216","50","목","41","경기도","4161","광주시","8","MALE","7","15291.22397"
"LI122200010009LI12220001000925983","20211217","50","금","41","경기도","4161","광주시","8","FEMALE","5","10312.70665"
"LI122200010009LI12220001000925984","20211209","49","목","41","경기도","4161","광주시","1","FEMALE","8","15784.18989"
"LI122200010009LI12220001000925985","20211217","50","금","41","경기도","4161","광주시","5","MALE","14","14893.09919"
"LI122200010009LI12220001000925986","20211229","52","수","41","경기도","4161","광주시","23","MALE","14","14487.60891"
"LI122200010009LI12220001000925987","20211219","50","일","41","경기도","4161","광주시","10","FEMALE","8","15181.29017"
"LI122200010009LI12220001000925988","20211211","49","토","41","경기도","4161","광주시","22","FEMALE","12","15089.77247"
"LI122200010009LI12220001000925989","20211227","52","월","41","경기도","4161","광주시","9","FEMALE","12","13743.20586"
"LI122200010009LI122200010009259810","20211229","52","수","41","경기도","4161","광주시","11","FEMALE","6","9013.580686"
"LI122200010009LI122200010009259811","20211228","52","화","41","경기도","4161","광주시","6","FEMALE","2","13460.16138"
"LI122200010009LI122200010009259812","20211210","49","금","41","경기도","4161","광주시","17","FEMALE","3","13100.79493"
"LI122200010009LI122200010009259813","20211202","48","목","41","경기도","4161","광주시","15","MALE","10","14976.51999"
"LI122200010009LI122200010009259814","20211207","49","화","41","경기도","4161","광주시","6","FEMALE","7","14631.12128"
"LI122200010009LI122200010009259815","20211226","51","일","41","경기도","4161","광주시","9","MALE","6","10942.37104"
"LI122200010009LI122200010009259816","20211218","50","토","41","경기도","4161","광주시","4","FEMALE","8","16016.78264"
"LI122200010009LI122200010009259817","20211203","48","금","41","경기도","4161","광주시","2","FEMALE","8","15778.18859"
"LI122200010009LI122200010009259818","20211213","50","월","41","경기도","4161","광주시","18","MALE","5","10599.48174"
"LI122200010009LI122200010009259819","20211217","50","금","41","경기도","4161","광주시","11","FEMALE","7","13617.63637"
"LI122200010009LI122200010009259820","20211215","50","수","41","경기도","4161","광주시","19","FEMALE","9","14902.29313"
"LI122200010009LI122200010009259821","20211216","50","목","41","경기도","4161","광주시","8","FEMALE","12","15310.79826"
"LI122200010009LI122200010009259822","20211231","52","금","41","경기도","4161","광주시","15","FEMALE","5","8157.936773"
"LI122200010009LI122200010009259823","20211202","48","목","41","경기도","4161","광주시","9","MALE","12","14333.06598"
"LI122200010009LI122200010009259824","20211228","52","화","41","경기도","4161","광주시","19","MALE","12","14330.25713"
"LI122200010009LI122200010009259825","20211228","52","화","41","경기도","4161","광주시","23","MALE","8","17657.46949"
"LI122200010009LI122200010009259826","20211222","51","수","41","경기도","4161","광주시","0","MALE","13","10408.13719"
"LI122200010009LI122200010009259827","20211203","48","금","41","경기도","4161","광주시","14","MALE","6","10058.50439"
"LI122200010009LI122200010009259828","20211212","49","일","41","경기도","4161","광주시","15","MALE","6","10496.71396"
"LI122200010009LI122200010009259829","20211203","48","금","41","경기도","4161","광주시","17","FEMALE","11","13392.60251"
"LI122200010009LI122200010009259830","20211225","51","토","41","경기도","4161","광주시","2","MALE","6","12019.85356"
"LI122200010009LI122200010009259831","20211204","48","토","41","경기도","4161","광주시","13","FEMALE","6","9683.672682"
"LI122200010009LI122200010009259832","20211208","49","수","41","경기도","4161","광주시","20","MALE","10","16221.06661"
"LI122200010009LI122200010009259833","20211225","51","토","41","경기도","4161","광주시","1","FEMALE","1","5406.842011"
"LI122200010009LI122200010009259834","20211203","48","금","41","경기도","4161","광주시","13","FEMALE","11","13126.85138"
"LI122200010009LI122200010009259835","20211219","50","일","41","경기도","4161","광주시","0","FEMALE","8","15191.4907"
"LI122200010009LI122200010009259836","20211207","49","화","41","경기도","4161","광주시","4","MALE","8","17419.72076"
"LI122200010009LI122200010009259837","20211211","49","토","41","경기도","4161","광주시","12","MALE","7","13280.36909"
"LI122200010009LI122200010009259838","20211229","52","수","41","경기도","4161","광주시","4","FEMALE","5","11209.26464"
"LI122200010009LI122200010009259839","20211212","49","일","41","경기도","4161","광주시","7","MALE","5","11443.3581"
"LI122200010009LI122200010009259840","20211214","50","화","41","경기도","4161","광주시","11","FEMALE","14","17586.78529"
"LI122200010009LI122200010009259841","20211226","51","일","41","경기도","4161","광주시","2","MALE","5","11362.85052"
"LI122200010009LI122200010009259842","20211202","48","목","41","경기도","4161","광주시","23","MALE","10","16782.6223"
"LI122200010009LI122200010009259843","20211226","51","일","41","경기도","4161","광주시","11","MALE","5","11086.95681"
"LI122200010009LI122200010009259844","20211226","51","일","41","경기도","4161","광주시","0","FEMALE","13","10785.88031"
"LI122200010009LI122200010009259845","20211202","48","목","41","경기도","4161","광주시","6","FEMALE","2","13846.80585"
"LI122200010009LI122200010009259846","20211230","52","목","41","경기도","4161","광주시","9","MALE","11","14927.85507"
"LI122200010009LI122200010009259847","20211221","51","화","41","경기도","4161","광주시","11","FEMALE","8","13413.34832"
"LI122200010009LI122200010009259848","20211211","49","토","41","경기도","4161","광주시","11","FEMALE","1","5193.045614"
"LI122200010009LI122200010009259849","20211213","50","월","41","경기도","4161","광주시","14","FEMALE","12","13180.70276"
"LI122200010009LI122200010009259850","20211204","48","토","41","경기도","4161","광주시","20","MALE","3","14445.85148"
"LI122200010009LI122200010009259851","20211223","51","목","41","경기도","4161","광주시","6","FEMALE","11","14732.83299"
"LI122200010009LI122200010009259852","20211218","50","토","41","경기도","4161","광주시","21","MALE","9","16774.65139"
