﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000925991","20211203","48","금","41","경기도","4131","구리시","14","MALE","9","4594.610693"
"LI122200010009LI12220001000925992","20211231","52","금","41","경기도","4131","구리시","19","FEMALE","1","956.2260371"
"LI122200010009LI12220001000925993","20211218","50","토","41","경기도","4131","구리시","8","MALE","8","7595.168527"
"LI122200010009LI12220001000925994","20211224","51","금","41","경기도","4131","구리시","12","FEMALE","11","7886.498303"
"LI122200010009LI12220001000925995","20211219","50","일","41","경기도","4131","구리시","3","FEMALE","13","5083.290734"
"LI122200010009LI12220001000925996","20211215","50","수","41","경기도","4131","구리시","11","FEMALE","12","7796.60051"
"LI122200010009LI12220001000925997","20211212","49","일","41","경기도","4131","구리시","14","FEMALE","6","5197.374569"
"LI122200010009LI12220001000925998","20211211","49","토","41","경기도","4131","구리시","21","FEMALE","10","8992.327977"
"LI122200010009LI12220001000925999","20211223","51","목","41","경기도","4131","구리시","2","MALE","10","8515.798047"
"LI122200010009LI122200010009259910","20211214","50","화","41","경기도","4131","구리시","23","FEMALE","8","7800.966897"
"LI122200010009LI122200010009259911","20211211","49","토","41","경기도","4131","구리시","23","MALE","8","7425.003824"
"LI122200010009LI122200010009259912","20211208","49","수","41","경기도","4131","구리시","4","FEMALE","4","5835.121339"
"LI122200010009LI122200010009259913","20211205","48","일","41","경기도","4131","구리시","6","MALE","11","7294.41273"
"LI122200010009LI122200010009259914","20211230","52","목","41","경기도","4131","구리시","2","FEMALE","9","8157.081889"
"LI122200010009LI122200010009259915","20211220","51","월","41","경기도","4131","구리시","18","FEMALE","14","9999.979003"
"LI122200010009LI122200010009259916","20211218","50","토","41","경기도","4131","구리시","4","MALE","14","7550.379415"
"LI122200010009LI122200010009259917","20211211","49","토","41","경기도","4131","구리시","19","MALE","14","7238.161297"
"LI122200010009LI122200010009259918","20211208","49","수","41","경기도","4131","구리시","21","FEMALE","7","6870.086999"
"LI122200010009LI122200010009259919","20211220","51","월","41","경기도","4131","구리시","9","FEMALE","12","7487.028835"
"LI122200010009LI122200010009259920","20211203","48","금","41","경기도","4131","구리시","22","FEMALE","12","7198.542007"
"LI122200010009LI122200010009259921","20211218","50","토","41","경기도","4131","구리시","15","FEMALE","14","10071.64528"
"LI122200010009LI122200010009259922","20211213","50","월","41","경기도","4131","구리시","21","FEMALE","7","6497.440674"
"LI122200010009LI122200010009259923","20211225","51","토","41","경기도","4131","구리시","8","FEMALE","5","6155.644583"
"LI122200010009LI122200010009259924","20211204","48","토","41","경기도","4131","구리시","18","MALE","3","8468.430443"
"LI122200010009LI122200010009259925","20211231","52","금","41","경기도","4131","구리시","6","MALE","5","6912.718117"
"LI122200010009LI122200010009259926","20211218","50","토","41","경기도","4131","구리시","6","MALE","4","6281.937114"
"LI122200010009LI122200010009259927","20211201","48","수","41","경기도","4131","구리시","0","FEMALE","13","5188.038659"
"LI122200010009LI122200010009259928","20211204","48","토","41","경기도","4131","구리시","0","MALE","11","7961.011868"
"LI122200010009LI122200010009259929","20211216","50","목","41","경기도","4131","구리시","17","MALE","2","5681.560586"
"LI122200010009LI122200010009259930","20211222","51","수","41","경기도","4131","구리시","17","MALE","10","7682.722851"
