﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926011","20211206","49","월","41","경기도","4157","김포시","14","FEMALE","6","13121.39162"
"LI122200010009LI12220001000926012","20211204","48","토","41","경기도","4157","김포시","22","FEMALE","8","22782.68304"
"LI122200010009LI12220001000926013","20211207","49","화","41","경기도","4157","김포시","0","FEMALE","8","24351.17466"
"LI122200010009LI12220001000926014","20211209","49","목","41","경기도","4157","김포시","19","MALE","14","17548.71381"
"LI122200010009LI12220001000926015","20211220","51","월","41","경기도","4157","김포시","2","FEMALE","5","13204.84148"
"LI122200010009LI12220001000926016","20211209","49","목","41","경기도","4157","김포시","20","MALE","11","17475.66114"
"LI122200010009LI12220001000926017","20211206","49","월","41","경기도","4157","김포시","5","FEMALE","6","15476.85786"
"LI122200010009LI12220001000926018","20211217","50","금","41","경기도","4157","김포시","1","MALE","3","22909.01165"
"LI122200010009LI12220001000926019","20211224","51","금","41","경기도","4157","김포시","0","MALE","6","15229.10522"
"LI122200010009LI122200010009260110","20211217","50","금","41","경기도","4157","김포시","2","MALE","2","21772.84104"
"LI122200010009LI122200010009260111","20211227","52","월","41","경기도","4157","김포시","17","FEMALE","2","21327.12939"
"LI122200010009LI122200010009260112","20211202","48","목","41","경기도","4157","김포시","14","FEMALE","12","17781.14381"
"LI122200010009LI122200010009260113","20211202","48","목","41","경기도","4157","김포시","12","FEMALE","13","13376.13063"
"LI122200010009LI122200010009260114","20211229","52","수","41","경기도","4157","김포시","20","FEMALE","11","15932.10777"
"LI122200010009LI122200010009260115","20211204","48","토","41","경기도","4157","김포시","21","FEMALE","10","17276.44546"
"LI122200010009LI122200010009260116","20211223","51","목","41","경기도","4157","김포시","16","MALE","14","17679.90785"
"LI122200010009LI122200010009260117","20211207","49","화","41","경기도","4157","김포시","4","FEMALE","8","24471.13386"
"LI122200010009LI122200010009260118","20211231","52","금","41","경기도","4157","김포시","16","MALE","7","18183.04883"
"LI122200010009LI122200010009260119","20211220","51","월","41","경기도","4157","김포시","6","FEMALE","5","12953.4451"
"LI122200010009LI122200010009260120","20211207","49","화","41","경기도","4157","김포시","19","MALE","4","13750.05524"
"LI122200010009LI122200010009260121","20211216","50","목","41","경기도","4157","김포시","9","MALE","13","12660.98934"
"LI122200010009LI122200010009260122","20211217","50","금","41","경기도","4157","김포시","5","FEMALE","8","24159.34328"
"LI122200010009LI122200010009260123","20211231","52","금","41","경기도","4157","김포시","17","FEMALE","8","22309.42689"
"LI122200010009LI122200010009260124","20211230","52","목","41","경기도","4157","김포시","8","FEMALE","2","21585.42489"
"LI122200010009LI122200010009260125","20211225","51","토","41","경기도","4157","김포시","6","MALE","11","16707.00398"
"LI122200010009LI122200010009260126","20211231","52","금","41","경기도","4157","김포시","23","FEMALE","9","19473.97912"
"LI122200010009LI122200010009260127","20211201","48","수","41","경기도","4157","김포시","13","MALE","5","15094.81457"
"LI122200010009LI122200010009260128","20211228","52","화","41","경기도","4157","김포시","16","FEMALE","13","11966.08935"
"LI122200010009LI122200010009260129","20211231","52","금","41","경기도","4157","김포시","21","FEMALE","9","19393.15095"
"LI122200010009LI122200010009260130","20211214","50","화","41","경기도","4157","김포시","3","FEMALE","3","19051.10756"
"LI122200010009LI122200010009260131","20211229","52","수","41","경기도","4157","김포시","14","MALE","7","17084.01141"
"LI122200010009LI122200010009260132","20211206","49","월","41","경기도","4157","김포시","18","FEMALE","4","9327.997783"
"LI122200010009LI122200010009260133","20211218","50","토","41","경기도","4157","김포시","9","FEMALE","5","13148.24925"
"LI122200010009LI122200010009260134","20211231","52","금","41","경기도","4157","김포시","20","FEMALE","11","15601.80479"
"LI122200010009LI122200010009260135","20211201","48","수","41","경기도","4157","김포시","6","FEMALE","10","18710.39788"
"LI122200010009LI122200010009260136","20211217","50","금","41","경기도","4157","김포시","5","MALE","5","13633.44337"
