﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926031","20211213","50","월","41","경기도","4125","동두천시","9","MALE","10","3398.624172"
"LI122200010009LI12220001000926032","20211223","51","목","41","경기도","4125","동두천시","12","MALE","5","2163.15587"
"LI122200010009LI12220001000926033","20211228","52","화","41","경기도","4125","동두천시","2","FEMALE","6","2208.939893"
"LI122200010009LI12220001000926034","20211226","51","일","41","경기도","4125","동두천시","5","MALE","9","3915.34209"
"LI122200010009LI12220001000926035","20211206","49","월","41","경기도","4125","동두천시","23","FEMALE","2","2582.398494"
"LI122200010009LI12220001000926036","20211214","50","화","41","경기도","4125","동두천시","12","FEMALE","5","2156.206878"
"LI122200010009LI12220001000926037","20211231","52","금","41","경기도","4125","동두천시","8","FEMALE","3","3700.953366"
"LI122200010009LI12220001000926038","20211201","48","수","41","경기도","4125","동두천시","1","MALE","13","2769.077735"
"LI122200010009LI12220001000926039","20211229","52","수","41","경기도","4125","동두천시","17","MALE","10","3661.238379"
"LI122200010009LI122200010009260310","20211222","51","수","41","경기도","4125","동두천시","3","MALE","11","4216.835583"
"LI122200010009LI122200010009260311","20211221","51","화","41","경기도","4125","동두천시","8","FEMALE","14","8184.663547"
"LI122200010009LI122200010009260312","20211221","51","화","41","경기도","4125","동두천시","0","MALE","1","1224.55888"
"LI122200010009LI122200010009260313","20211231","52","금","41","경기도","4125","동두천시","16","FEMALE","14","8124.399662"
"LI122200010009LI122200010009260314","20211214","50","화","41","경기도","4125","동두천시","12","FEMALE","13","3025.535023"
"LI122200010009LI122200010009260315","20211214","50","화","41","경기도","4125","동두천시","18","FEMALE","5","2285.267176"
"LI122200010009LI122200010009260316","20211208","49","수","41","경기도","4125","동두천시","10","MALE","2","2917.071905"
"LI122200010009LI122200010009260317","20211202","48","목","41","경기도","4125","동두천시","5","MALE","5","2803.279122"
