﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926041","20211231","52","금","41","경기도","4119","부천시","16","MALE","5","28439.9106"
"LI122200010009LI12220001000926042","20211208","49","수","41","경기도","4119","부천시","12","MALE","1","6974.849912"
"LI122200010009LI12220001000926043","20211225","51","토","41","경기도","4119","부천시","21","FEMALE","10","36256.11341"
"LI122200010009LI12220001000926044","20211226","51","일","41","경기도","4119","부천시","17","FEMALE","5","25784.93446"
"LI122200010009LI12220001000926045","20211208","49","수","41","경기도","4119","부천시","4","FEMALE","10","37999.1151"
"LI122200010009LI12220001000926046","20211223","51","목","41","경기도","4119","부천시","17","MALE","12","30588.45158"
"LI122200010009LI12220001000926047","20211216","50","목","41","경기도","4119","부천시","6","MALE","9","27939.70991"
"LI122200010009LI12220001000926048","20211224","51","금","41","경기도","4119","부천시","9","MALE","4","23569.47134"
"LI122200010009LI12220001000926049","20211202","48","목","41","경기도","4119","부천시","1","FEMALE","8","30753.37839"
"LI122200010009LI122200010009260410","20211219","50","일","41","경기도","4119","부천시","22","MALE","5","30093.30226"
"LI122200010009LI122200010009260411","20211212","49","일","41","경기도","4119","부천시","5","FEMALE","9","31131.79088"
"LI122200010009LI122200010009260412","20211202","48","목","41","경기도","4119","부천시","7","FEMALE","9","32861.41915"
"LI122200010009LI122200010009260413","20211216","50","목","41","경기도","4119","부천시","5","MALE","8","29009.48796"
"LI122200010009LI122200010009260414","20211219","50","일","41","경기도","4119","부천시","7","MALE","4","23873.62077"
"LI122200010009LI122200010009260415","20211210","49","금","41","경기도","4119","부천시","12","MALE","7","27245.04584"
"LI122200010009LI122200010009260416","20211212","49","일","41","경기도","4119","부천시","17","MALE","11","31624.66771"
"LI122200010009LI122200010009260417","20211211","49","토","41","경기도","4119","부천시","6","MALE","13","22294.38052"
"LI122200010009LI122200010009260418","20211228","52","화","41","경기도","4119","부천시","0","MALE","5","30066.16976"
"LI122200010009LI122200010009260419","20211226","51","일","41","경기도","4119","부천시","22","FEMALE","4","23480.93694"
"LI122200010009LI122200010009260420","20211214","50","화","41","경기도","4119","부천시","7","MALE","8","28777.56548"
"LI122200010009LI122200010009260421","20211217","50","금","41","경기도","4119","부천시","6","MALE","6","25840.45815"
"LI122200010009LI122200010009260422","20211223","51","목","41","경기도","4119","부천시","22","MALE","11","28046.88776"
"LI122200010009LI122200010009260423","20211215","50","수","41","경기도","4119","부천시","3","FEMALE","2","22488.91363"
"LI122200010009LI122200010009260424","20211226","51","일","41","경기도","4119","부천시","11","MALE","13","21057.37527"
"LI122200010009LI122200010009260425","20211226","51","일","41","경기도","4119","부천시","16","MALE","14","29271.39268"
"LI122200010009LI122200010009260426","20211219","50","일","41","경기도","4119","부천시","23","MALE","7","28334.49036"
"LI122200010009LI122200010009260427","20211231","52","금","41","경기도","4119","부천시","16","MALE","4","23272.62236"
"LI122200010009LI122200010009260428","20211214","50","화","41","경기도","4119","부천시","11","MALE","12","30689.0887"
"LI122200010009LI122200010009260429","20211210","49","금","41","경기도","4119","부천시","21","MALE","4","24880.00497"
"LI122200010009LI122200010009260430","20211229","52","수","41","경기도","4119","부천시","12","FEMALE","13","22069.73168"
"LI122200010009LI122200010009260431","20211207","49","화","41","경기도","4119","부천시","5","FEMALE","12","35980.71981"
"LI122200010009LI122200010009260432","20211221","51","화","41","경기도","4119","부천시","4","FEMALE","14","41566.83885"
"LI122200010009LI122200010009260433","20211231","52","금","41","경기도","4119","부천시","5","FEMALE","14","41668.86926"
"LI122200010009LI122200010009260434","20211229","52","수","41","경기도","4119","부천시","21","MALE","14","29549.32699"
