﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926141","20211224","51","금","41","경기도","4180","연천군","4","MALE","14","3336.359484"
"LI122200010009LI12220001000926142","20211227","52","월","41","경기도","4180","연천군","0","FEMALE","4","852.9783093"
"LI122200010009LI12220001000926143","20211219","50","일","41","경기도","4180","연천군","7","MALE","10","1791.045354"
"LI122200010009LI12220001000926144","20211217","50","금","41","경기도","4180","연천군","16","FEMALE","12","2162.023118"
"LI122200010009LI12220001000926145","20211206","49","월","41","경기도","4180","연천군","2","FEMALE","3","1157.082314"
"LI122200010009LI12220001000926146","20211210","49","금","41","경기도","4180","연천군","22","FEMALE","9","1174.214738"
"LI122200010009LI12220001000926147","20211222","51","수","41","경기도","4180","연천군","7","FEMALE","4","882.6667052"
"LI122200010009LI12220001000926148","20211214","50","화","41","경기도","4180","연천군","23","MALE","5","1860.710577"
"LI122200010009LI12220001000926149","20211211","49","토","41","경기도","4180","연천군","10","MALE","5","1958.431499"
"LI122200010009LI122200010009261410","20211229","52","수","41","경기도","4180","연천군","22","MALE","8","1255.15963"
"LI122200010009LI122200010009261411","20211202","48","목","41","경기도","4180","연천군","3","MALE","11","2188.497304"
"LI122200010009LI122200010009261412","20211209","49","목","41","경기도","4180","연천군","9","MALE","2","1198.10987"
"LI122200010009LI122200010009261413","20211202","48","목","41","경기도","4180","연천군","7","MALE","12","2368.132394"
"LI122200010009LI122200010009261414","20211226","51","일","41","경기도","4180","연천군","3","MALE","3","1533.893394"
"LI122200010009LI122200010009261415","20211227","52","월","41","경기도","4180","연천군","20","MALE","14","3280.490457"
"LI122200010009LI122200010009261416","20211208","49","수","41","경기도","4180","연천군","20","FEMALE","9","1097.61684"
"LI122200010009LI122200010009261417","20211220","51","월","41","경기도","4180","연천군","5","FEMALE","3","1130.840483"
"LI122200010009LI122200010009261418","20211231","52","금","41","경기도","4180","연천군","23","MALE","12","2305.014371"
"LI122200010009LI122200010009261419","20211221","51","화","41","경기도","4180","연천군","4","FEMALE","12","2057.923527"
"LI122200010009LI122200010009261420","20211230","52","목","41","경기도","4180","연천군","8","FEMALE","5","1016.318536"
"LI122200010009LI122200010009261421","20211206","49","월","41","경기도","4180","연천군","5","FEMALE","2","1065.765368"
"LI122200010009LI122200010009261422","20211213","50","월","41","경기도","4180","연천군","0","MALE","1","333.3789254"
"LI122200010009LI122200010009261423","20211202","48","목","41","경기도","4180","연천군","18","MALE","11","2056.708604"
"LI122200010009LI122200010009261424","20211225","51","토","41","경기도","4180","연천군","15","FEMALE","11","2111.459884"
"LI122200010009LI122200010009261425","20211225","51","토","41","경기도","4180","연천군","3","MALE","3","1429.709899"
"LI122200010009LI122200010009261426","20211220","51","월","41","경기도","4180","연천군","22","FEMALE","3","1239.580901"
"LI122200010009LI122200010009261427","20211210","49","금","41","경기도","4180","연천군","19","MALE","12","2290.625318"
"LI122200010009LI122200010009261428","20211215","50","수","41","경기도","4180","연천군","16","FEMALE","1","383.1637322"
"LI122200010009LI122200010009261429","20211231","52","금","41","경기도","4180","연천군","7","FEMALE","13","1693.533526"
"LI122200010009LI122200010009261430","20211212","49","일","41","경기도","4180","연천군","13","MALE","1","534.381548"
