﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926151","20211221","51","화","41","경기도","4137","오산시","23","MALE","9","11448.98662"
"LI122200010009LI12220001000926152","20211218","50","토","41","경기도","4137","오산시","1","FEMALE","6","8026.405492"
"LI122200010009LI12220001000926153","20211222","51","수","41","경기도","4137","오산시","21","FEMALE","3","13654.98309"
"LI122200010009LI12220001000926154","20211216","50","목","41","경기도","4137","오산시","23","MALE","8","12593.70803"
"LI122200010009LI12220001000926155","20211208","49","수","41","경기도","4137","오산시","4","MALE","2","10111.02179"
"LI122200010009LI12220001000926156","20211214","50","화","41","경기도","4137","오산시","7","FEMALE","3","9815.81869"
"LI122200010009LI12220001000926157","20211218","50","토","41","경기도","4137","오산시","10","FEMALE","6","7784.718897"
"LI122200010009LI12220001000926158","20211215","50","수","41","경기도","4137","오산시","15","FEMALE","5","7164.930875"
"LI122200010009LI12220001000926159","20211210","49","금","41","경기도","4137","오산시","20","FEMALE","12","6808.829999"
"LI122200010009LI122200010009261510","20211217","50","금","41","경기도","4137","오산시","23","MALE","6","9700.071752"
"LI122200010009LI122200010009261511","20211229","52","수","41","경기도","4137","오산시","20","FEMALE","9","9841.185145"
"LI122200010009LI122200010009261512","20211213","50","월","41","경기도","4137","오산시","6","FEMALE","13","4503.142143"
"LI122200010009LI122200010009261513","20211219","50","일","41","경기도","4137","오산시","2","FEMALE","7","9354.042153"
"LI122200010009LI122200010009261514","20211231","52","금","41","경기도","4137","오산시","20","MALE","1","1753.286767"
"LI122200010009LI122200010009261515","20211215","50","수","41","경기도","4137","오산시","4","MALE","12","7082.039538"
"LI122200010009LI122200010009261516","20211220","51","월","41","경기도","4137","오산시","2","MALE","11","8557.553373"
"LI122200010009LI122200010009261517","20211218","50","토","41","경기도","4137","오산시","20","MALE","9","11120.76707"
"LI122200010009LI122200010009261518","20211202","48","목","41","경기도","4137","오산시","13","MALE","1","3472.971096"
"LI122200010009LI122200010009261519","20211208","49","수","41","경기도","4137","오산시","10","MALE","5","8281.892679"
"LI122200010009LI122200010009261520","20211202","48","목","41","경기도","4137","오산시","22","FEMALE","13","4636.921571"
"LI122200010009LI122200010009261521","20211218","50","토","41","경기도","4137","오산시","17","FEMALE","6","7573.590361"
"LI122200010009LI122200010009261522","20211202","48","목","41","경기도","4137","오산시","10","FEMALE","13","4388.084314"
"LI122200010009LI122200010009261523","20211219","50","일","41","경기도","4137","오산시","6","FEMALE","5","7929.615292"
"LI122200010009LI122200010009261524","20211212","49","일","41","경기도","4137","오산시","7","FEMALE","12","6632.716502"
"LI122200010009LI122200010009261525","20211227","52","월","41","경기도","4137","오산시","22","MALE","2","9745.788296"
"LI122200010009LI122200010009261526","20211206","49","월","41","경기도","4137","오산시","15","FEMALE","9","9293.548559"
"LI122200010009LI122200010009261527","20211211","49","토","41","경기도","4137","오산시","2","MALE","11","8241.614132"
"LI122200010009LI122200010009261528","20211212","49","일","41","경기도","4137","오산시","3","MALE","8","11615.76906"
"LI122200010009LI122200010009261529","20211225","51","토","41","경기도","4137","오산시","11","FEMALE","12","6677.913099"
"LI122200010009LI122200010009261530","20211219","50","일","41","경기도","4137","오산시","17","MALE","3","11169.7375"
"LI122200010009LI122200010009261531","20211218","50","토","41","경기도","4137","오산시","17","MALE","5","9584.538861"
