﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926161","20211201","48","수","41","경기도","4146","용인시","5","MALE","9","49314.43815"
"LI122200010009LI12220001000926162","20211205","48","일","41","경기도","4146","용인시","17","FEMALE","13","25638.87268"
"LI122200010009LI12220001000926163","20211217","50","금","41","경기도","4146","용인시","1","FEMALE","14","59200.00328"
"LI122200010009LI12220001000926164","20211231","52","금","41","경기도","4146","용인시","5","FEMALE","12","33371.65208"
"LI122200010009LI12220001000926165","20211227","52","월","41","경기도","4146","용인시","18","MALE","11","35082.94278"
"LI122200010009LI12220001000926166","20211213","50","월","41","경기도","4146","용인시","7","MALE","7","38165.58485"
"LI122200010009LI12220001000926167","20211215","50","수","41","경기도","4146","용인시","16","FEMALE","1","14315.72042"
"LI122200010009LI12220001000926168","20211203","48","금","41","경기도","4146","용인시","18","MALE","5","34580.48507"
"LI122200010009LI12220001000926169","20211228","52","화","41","경기도","4146","용인시","2","MALE","9","48921.81529"
"LI122200010009LI122200010009261610","20211201","48","수","41","경기도","4146","용인시","0","FEMALE","12","32710.01454"
"LI122200010009LI122200010009261611","20211207","49","화","41","경기도","4146","용인시","2","MALE","8","47576.42299"
"LI122200010009LI122200010009261612","20211220","51","월","41","경기도","4146","용인시","5","FEMALE","2","42657.54965"
"LI122200010009LI122200010009261613","20211208","49","수","41","경기도","4146","용인시","1","MALE","9","49329.4255"
"LI122200010009LI122200010009261614","20211227","52","월","41","경기도","4146","용인시","15","MALE","14","41817.25332"
"LI122200010009LI122200010009261615","20211208","49","수","41","경기도","4146","용인시","7","FEMALE","9","49845.37517"
"LI122200010009LI122200010009261616","20211224","51","금","41","경기도","4146","용인시","1","FEMALE","5","32707.44244"
"LI122200010009LI122200010009261617","20211224","51","금","41","경기도","4146","용인시","11","MALE","10","43850.72315"
"LI122200010009LI122200010009261618","20211201","48","수","41","경기도","4146","용인시","10","MALE","12","29553.14892"
"LI122200010009LI122200010009261619","20211211","49","토","41","경기도","4146","용인시","0","MALE","4","34214.06488"
"LI122200010009LI122200010009261620","20211212","49","일","41","경기도","4146","용인시","12","MALE","3","55739.55319"
"LI122200010009LI122200010009261621","20211201","48","수","41","경기도","4146","용인시","17","MALE","13","21762.90532"
"LI122200010009LI122200010009261622","20211223","51","목","41","경기도","4146","용인시","16","MALE","1","12250.52335"
"LI122200010009LI122200010009261623","20211227","52","월","41","경기도","4146","용인시","5","MALE","13","23462.89745"
"LI122200010009LI122200010009261624","20211202","48","목","41","경기도","4146","용인시","4","MALE","13","22848.93534"
"LI122200010009LI122200010009261625","20211224","51","금","41","경기도","4146","용인시","12","MALE","14","41881.19526"
"LI122200010009LI122200010009261626","20211225","51","토","41","경기도","4146","용인시","15","MALE","6","31136.00241"
"LI122200010009LI122200010009261627","20211202","48","목","41","경기도","4146","용인시","7","MALE","12","31542.35672"
"LI122200010009LI122200010009261628","20211206","49","월","41","경기도","4146","용인시","23","MALE","9","48982.75261"
"LI122200010009LI122200010009261629","20211205","48","일","41","경기도","4146","용인시","14","FEMALE","12","31916.13065"
"LI122200010009LI122200010009261630","20211222","51","수","41","경기도","4146","용인시","3","FEMALE","4","33900.05656"
"LI122200010009LI122200010009261631","20211218","50","토","41","경기도","4146","용인시","9","FEMALE","1","13819.10391"
"LI122200010009LI122200010009261632","20211212","49","일","41","경기도","4146","용인시","0","FEMALE","8","47208.80107"
"LI122200010009LI122200010009261633","20211206","49","월","41","경기도","4146","용인시","6","MALE","11","38311.30303"
"LI122200010009LI122200010009261634","20211220","51","월","41","경기도","4146","용인시","13","MALE","1","16545.93935"
"LI122200010009LI122200010009261635","20211227","52","월","41","경기도","4146","용인시","18","MALE","9","43174.97857"
"LI122200010009LI122200010009261636","20211211","49","토","41","경기도","4146","용인시","6","FEMALE","7","39396.69133"
"LI122200010009LI122200010009261637","20211229","52","수","41","경기도","4146","용인시","20","FEMALE","12","33184.8165"
"LI122200010009LI122200010009261638","20211206","49","월","41","경기도","4146","용인시","15","MALE","3","54002.5897"
"LI122200010009LI122200010009261639","20211230","52","목","41","경기도","4146","용인시","2","FEMALE","8","49391.25355"
"LI122200010009LI122200010009261640","20211205","48","일","41","경기도","4146","용인시","11","FEMALE","2","41691.29785"
"LI122200010009LI122200010009261641","20211228","52","화","41","경기도","4146","용인시","13","MALE","6","33493.05854"
"LI122200010009LI122200010009261642","20211229","52","수","41","경기도","4146","용인시","20","MALE","2","41206.38631"
"LI122200010009LI122200010009261643","20211201","48","수","41","경기도","4146","용인시","11","MALE","5","35142.14703"
"LI122200010009LI122200010009261644","20211229","52","수","41","경기도","4146","용인시","6","MALE","1","11581.76687"
"LI122200010009LI122200010009261645","20211218","50","토","41","경기도","4146","용인시","2","FEMALE","13","26778.11414"
"LI122200010009LI122200010009261646","20211222","51","수","41","경기도","4146","용인시","13","FEMALE","10","46275.18634"
"LI122200010009LI122200010009261647","20211201","48","수","41","경기도","4146","용인시","15","MALE","2","43626.89369"
"LI122200010009LI122200010009261648","20211218","50","토","41","경기도","4146","용인시","19","FEMALE","2","42533.78204"
"LI122200010009LI122200010009261649","20211225","51","토","41","경기도","4146","용인시","7","FEMALE","8","49562.8196"
"LI122200010009LI122200010009261650","20211230","52","목","41","경기도","4146","용인시","17","MALE","4","33157.65371"
"LI122200010009LI122200010009261651","20211210","49","금","41","경기도","4146","용인시","4","FEMALE","8","49464.74979"
"LI122200010009LI122200010009261652","20211225","51","토","41","경기도","4146","용인시","3","MALE","3","58468.78254"
"LI122200010009LI122200010009261653","20211218","50","토","41","경기도","4146","용인시","16","FEMALE","1","13704.92644"
"LI122200010009LI122200010009261654","20211228","52","화","41","경기도","4146","용인시","16","MALE","3","56972.34945"
"LI122200010009LI122200010009261655","20211230","52","목","41","경기도","4146","용인시","2","MALE","13","22937.55074"
"LI122200010009LI122200010009261656","20211220","51","월","41","경기도","4146","용인시","23","FEMALE","14","58534.78277"
"LI122200010009LI122200010009261657","20211222","51","수","41","경기도","4146","용인시","19","FEMALE","11","35265.57804"
"LI122200010009LI122200010009261658","20211231","52","금","41","경기도","4146","용인시","2","MALE","3","62304.59119"
"LI122200010009LI122200010009261659","20211210","49","금","41","경기도","4146","용인시","13","MALE","2","43078.5419"
"LI122200010009LI122200010009261660","20211221","51","화","41","경기도","4146","용인시","4","FEMALE","12","33837.18592"
