﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926171","20211214","50","화","41","경기도","4143","의왕시","14","MALE","12","6448.660512"
"LI122200010009LI12220001000926172","20211203","48","금","41","경기도","4143","의왕시","8","MALE","12","7681.50113"
"LI122200010009LI12220001000926173","20211210","49","금","41","경기도","4143","의왕시","7","FEMALE","4","5729.396537"
"LI122200010009LI12220001000926174","20211224","51","금","41","경기도","4143","의왕시","10","FEMALE","11","7805.262918"
"LI122200010009LI12220001000926175","20211228","52","화","41","경기도","4143","의왕시","18","MALE","1","1658.820382"
"LI122200010009LI12220001000926176","20211229","52","수","41","경기도","4143","의왕시","11","MALE","5","6694.803675"
"LI122200010009LI12220001000926177","20211208","49","수","41","경기도","4143","의왕시","23","FEMALE","5","5639.858281"
"LI122200010009LI12220001000926178","20211201","48","수","41","경기도","4143","의왕시","19","MALE","7","6154.348585"
"LI122200010009LI12220001000926179","20211212","49","일","41","경기도","4143","의왕시","10","MALE","13","4976.513018"
"LI122200010009LI122200010009261710","20211216","50","목","41","경기도","4143","의왕시","15","MALE","12","8729.713191"
"LI122200010009LI122200010009261711","20211221","51","화","41","경기도","4143","의왕시","12","MALE","12","7129.981572"
"LI122200010009LI122200010009261712","20211203","48","금","41","경기도","4143","의왕시","16","MALE","13","4904.544707"
"LI122200010009LI122200010009261713","20211223","51","목","41","경기도","4143","의왕시","4","FEMALE","1","1978.998886"
"LI122200010009LI122200010009261714","20211201","48","수","41","경기도","4143","의왕시","20","MALE","1","1744.269301"
"LI122200010009LI122200010009261715","20211224","51","금","41","경기도","4143","의왕시","16","FEMALE","10","8521.171358"
"LI122200010009LI122200010009261716","20211228","52","화","41","경기도","4143","의왕시","20","FEMALE","5","5365.73296"
"LI122200010009LI122200010009261717","20211229","52","수","41","경기도","4143","의왕시","13","FEMALE","2","6147.208748"
"LI122200010009LI122200010009261718","20211215","50","수","41","경기도","4143","의왕시","6","FEMALE","13","4942.542223"
"LI122200010009LI122200010009261719","20211231","52","금","41","경기도","4143","의왕시","18","FEMALE","2","5577.864248"
"LI122200010009LI122200010009261720","20211202","48","목","41","경기도","4143","의왕시","7","MALE","4","5823.492608"
"LI122200010009LI122200010009261721","20211212","49","일","41","경기도","4143","의왕시","23","FEMALE","6","6011.510735"
"LI122200010009LI122200010009261722","20211218","50","토","41","경기도","4143","의왕시","6","FEMALE","14","9406.183662"
"LI122200010009LI122200010009261723","20211205","48","일","41","경기도","4143","의왕시","22","MALE","11","7872.487019"
"LI122200010009LI122200010009261724","20211231","52","금","41","경기도","4143","의왕시","15","MALE","5","6339.847549"
"LI122200010009LI122200010009261725","20211225","51","토","41","경기도","4143","의왕시","2","MALE","8","6658.836051"
"LI122200010009LI122200010009261726","20211229","52","수","41","경기도","4143","의왕시","18","MALE","5","6257.058344"
"LI122200010009LI122200010009261727","20211229","52","수","41","경기도","4143","의왕시","22","MALE","1","1666.160721"
"LI122200010009LI122200010009261728","20211213","50","월","41","경기도","4143","의왕시","20","FEMALE","4","5039.840702"
"LI122200010009LI122200010009261729","20211213","50","월","41","경기도","4143","의왕시","10","FEMALE","4","5229.189865"
"LI122200010009LI122200010009261730","20211206","49","월","41","경기도","4143","의왕시","2","FEMALE","12","7702.69774"
"LI122200010009LI122200010009261731","20211231","52","금","41","경기도","4143","의왕시","0","FEMALE","3","8507.870537"
"LI122200010009LI122200010009261732","20211216","50","목","41","경기도","4143","의왕시","8","FEMALE","11","8444.591274"
"LI122200010009LI122200010009261733","20211230","52","목","41","경기도","4143","의왕시","4","MALE","10","8227.81215"
"LI122200010009LI122200010009261734","20211230","52","목","41","경기도","4143","의왕시","0","MALE","14","7108.832156"
"LI122200010009LI122200010009261735","20211208","49","수","41","경기도","4143","의왕시","3","FEMALE","4","5490.196267"
"LI122200010009LI122200010009261736","20211224","51","금","41","경기도","4143","의왕시","3","FEMALE","9","7760.211807"
"LI122200010009LI122200010009261737","20211214","50","화","41","경기도","4143","의왕시","3","FEMALE","9","7100.966311"
"LI122200010009LI122200010009261738","20211206","49","월","41","경기도","4143","의왕시","21","FEMALE","13","5043.051195"
"LI122200010009LI122200010009261739","20211219","50","일","41","경기도","4143","의왕시","7","FEMALE","3","7557.71338"
"LI122200010009LI122200010009261740","20211214","50","화","41","경기도","4143","의왕시","1","FEMALE","5","5984.912037"
"LI122200010009LI122200010009261741","20211229","52","수","41","경기도","4143","의왕시","13","FEMALE","13","4995.526716"
"LI122200010009LI122200010009261742","20211208","49","수","41","경기도","4143","의왕시","18","FEMALE","9","6976.839519"
"LI122200010009LI122200010009261743","20211211","49","토","41","경기도","4143","의왕시","9","FEMALE","11","7701.890447"
"LI122200010009LI122200010009261744","20211208","49","수","41","경기도","4143","의왕시","20","FEMALE","6","5354.596455"
"LI122200010009LI122200010009261745","20211228","52","화","41","경기도","4143","의왕시","8","FEMALE","4","5875.474306"
"LI122200010009LI122200010009261746","20211228","52","화","41","경기도","4143","의왕시","11","FEMALE","7","5593.729615"
"LI122200010009LI122200010009261747","20211208","49","수","41","경기도","4143","의왕시","0","FEMALE","5","5705.520426"
"LI122200010009LI122200010009261748","20211202","48","목","41","경기도","4143","의왕시","15","FEMALE","4","4823.596859"
"LI122200010009LI122200010009261749","20211201","48","수","41","경기도","4143","의왕시","5","MALE","10","8068.534841"
"LI122200010009LI122200010009261750","20211220","51","월","41","경기도","4143","의왕시","10","FEMALE","2","5802.772843"
"LI122200010009LI122200010009261751","20211220","51","월","41","경기도","4143","의왕시","19","MALE","4","5185.926097"
"LI122200010009LI122200010009261752","20211216","50","목","41","경기도","4143","의왕시","7","FEMALE","7","6307.941782"
"LI122200010009LI122200010009261753","20211228","52","화","41","경기도","4143","의왕시","3","FEMALE","11","8257.671151"
"LI122200010009LI122200010009261754","20211221","51","화","41","경기도","4143","의왕시","0","FEMALE","13","5150.376403"
"LI122200010009LI122200010009261755","20211226","51","일","41","경기도","4143","의왕시","18","FEMALE","6","6036.248885"
"LI122200010009LI122200010009261756","20211202","48","목","41","경기도","4143","의왕시","5","FEMALE","8","6518.838077"
"LI122200010009LI122200010009261757","20211227","52","월","41","경기도","4143","의왕시","20","MALE","13","5011.591465"
"LI122200010009LI122200010009261758","20211214","50","화","41","경기도","4143","의왕시","2","MALE","1","1759.582497"
