﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926181","20211220","51","월","41","경기도","4115","의정부시","11","MALE","7","11513.39158"
"LI122200010009LI12220001000926182","20211226","51","일","41","경기도","4115","의정부시","7","MALE","8","17828.64449"
"LI122200010009LI12220001000926183","20211223","51","목","41","경기도","4115","의정부시","13","FEMALE","6","11772.85935"
"LI122200010009LI12220001000926184","20211214","50","화","41","경기도","4115","의정부시","19","FEMALE","5","15154.99255"
"LI122200010009LI12220001000926185","20211216","50","목","41","경기도","4115","의정부시","0","FEMALE","1","4746.671777"
"LI122200010009LI12220001000926186","20211214","50","화","41","경기도","4115","의정부시","2","FEMALE","11","18806.71585"
"LI122200010009LI12220001000926187","20211201","48","수","41","경기도","4115","의정부시","6","MALE","14","19645.69153"
"LI122200010009LI12220001000926188","20211214","50","화","41","경기도","4115","의정부시","1","FEMALE","9","18943.05566"
"LI122200010009LI12220001000926189","20211205","48","일","41","경기도","4115","의정부시","10","FEMALE","3","15674.91759"
"LI122200010009LI122200010009261810","20211202","48","목","41","경기도","4115","의정부시","1","FEMALE","14","28362.32983"
"LI122200010009LI122200010009261811","20211214","50","화","41","경기도","4115","의정부시","7","MALE","9","16289.15106"
"LI122200010009LI122200010009261812","20211214","50","화","41","경기도","4115","의정부시","16","MALE","11","15316.57382"
"LI122200010009LI122200010009261813","20211228","52","화","41","경기도","4115","의정부시","20","FEMALE","2","13291.94769"
"LI122200010009LI122200010009261814","20211209","49","목","41","경기도","4115","의정부시","1","FEMALE","14","28570.34763"
"LI122200010009LI122200010009261815","20211209","49","목","41","경기도","4115","의정부시","1","MALE","13","11482.37116"
"LI122200010009LI122200010009261816","20211227","52","월","41","경기도","4115","의정부시","7","FEMALE","7","15001.73188"
"LI122200010009LI122200010009261817","20211223","51","목","41","경기도","4115","의정부시","21","FEMALE","3","19057.21051"
"LI122200010009LI122200010009261818","20211224","51","금","41","경기도","4115","의정부시","2","FEMALE","5","16548.61117"
"LI122200010009LI122200010009261819","20211204","48","토","41","경기도","4115","의정부시","20","FEMALE","8","15550.29623"
"LI122200010009LI122200010009261820","20211229","52","수","41","경기도","4115","의정부시","22","FEMALE","13","13187.35979"
"LI122200010009LI122200010009261821","20211206","49","월","41","경기도","4115","의정부시","11","FEMALE","8","15834.71183"
"LI122200010009LI122200010009261822","20211221","51","화","41","경기도","4115","의정부시","3","FEMALE","12","18302.06196"
"LI122200010009LI122200010009261823","20211231","52","금","41","경기도","4115","의정부시","20","FEMALE","10","21066.46428"
"LI122200010009LI122200010009261824","20211230","52","목","41","경기도","4115","의정부시","7","MALE","13","10678.37692"
"LI122200010009LI122200010009261825","20211230","52","목","41","경기도","4115","의정부시","9","MALE","11","14373.15174"
"LI122200010009LI122200010009261826","20211228","52","화","41","경기도","4115","의정부시","12","FEMALE","4","13195.35731"
"LI122200010009LI122200010009261827","20211213","50","월","41","경기도","4115","의정부시","15","MALE","12","13297.83891"
"LI122200010009LI122200010009261828","20211214","50","화","41","경기도","4115","의정부시","21","FEMALE","12","18437.5741"
"LI122200010009LI122200010009261829","20211231","52","금","41","경기도","4115","의정부시","12","FEMALE","8","15693.5682"
"LI122200010009LI122200010009261830","20211219","50","일","41","경기도","4115","의정부시","13","FEMALE","13","13344.04168"
"LI122200010009LI122200010009261831","20211208","49","수","41","경기도","4115","의정부시","7","MALE","9","16064.32986"
"LI122200010009LI122200010009261832","20211209","49","목","41","경기도","4115","의정부시","4","FEMALE","5","16167.25941"
"LI122200010009LI122200010009261833","20211222","51","수","41","경기도","4115","의정부시","7","FEMALE","7","15173.00947"
"LI122200010009LI122200010009261834","20211215","50","수","41","경기도","4115","의정부시","20","FEMALE","9","18569.0955"
"LI122200010009LI122200010009261835","20211205","48","일","41","경기도","4115","의정부시","21","MALE","7","15488.67632"
"LI122200010009LI122200010009261836","20211217","50","금","41","경기도","4115","의정부시","6","FEMALE","13","12882.29209"
"LI122200010009LI122200010009261837","20211212","49","일","41","경기도","4115","의정부시","0","MALE","2","13226.08172"
"LI122200010009LI122200010009261838","20211215","50","수","41","경기도","4115","의정부시","10","MALE","7","11436.07711"
"LI122200010009LI122200010009261839","20211222","51","수","41","경기도","4115","의정부시","13","MALE","2","14344.02509"
"LI122200010009LI122200010009261840","20211210","49","금","41","경기도","4115","의정부시","4","FEMALE","1","5063.243486"
"LI122200010009LI122200010009261841","20211226","51","일","41","경기도","4115","의정부시","21","MALE","4","14637.40271"
"LI122200010009LI122200010009261842","20211221","51","화","41","경기도","4115","의정부시","22","MALE","5","16460.36532"
"LI122200010009LI122200010009261843","20211224","51","금","41","경기도","4115","의정부시","12","MALE","1","4806.293268"
"LI122200010009LI122200010009261844","20211230","52","목","41","경기도","4115","의정부시","16","FEMALE","1","4933.576777"
"LI122200010009LI122200010009261845","20211218","50","토","41","경기도","4115","의정부시","6","FEMALE","1","5067.428293"
"LI122200010009LI122200010009261846","20211212","49","일","41","경기도","4115","의정부시","21","MALE","2","13832.09194"
"LI122200010009LI122200010009261847","20211228","52","화","41","경기도","4115","의정부시","16","FEMALE","8","15766.78484"
"LI122200010009LI122200010009261848","20211201","48","수","41","경기도","4115","의정부시","13","MALE","6","11778.50781"
"LI122200010009LI122200010009261849","20211211","49","토","41","경기도","4115","의정부시","22","FEMALE","10","20541.10343"
"LI122200010009LI122200010009261850","20211204","48","토","41","경기도","4115","의정부시","0","FEMALE","14","27981.60401"
"LI122200010009LI122200010009261851","20211231","52","금","41","경기도","4115","의정부시","3","FEMALE","5","16413.29845"
"LI122200010009LI122200010009261852","20211215","50","수","41","경기도","4115","의정부시","6","MALE","3","18993.69453"
"LI122200010009LI122200010009261853","20211225","51","토","41","경기도","4115","의정부시","19","MALE","14","19621.82986"
"LI122200010009LI122200010009261854","20211204","48","토","41","경기도","4115","의정부시","1","MALE","3","19358.32017"
"LI122200010009LI122200010009261855","20211225","51","토","41","경기도","4115","의정부시","1","FEMALE","7","15616.04397"
"LI122200010009LI122200010009261856","20211220","51","월","41","경기도","4115","의정부시","1","MALE","3","20438.38344"
"LI122200010009LI122200010009261857","20211212","49","일","41","경기도","4115","의정부시","23","MALE","2","13744.99047"
"LI122200010009LI122200010009261858","20211230","52","목","41","경기도","4115","의정부시","4","FEMALE","7","15568.13591"
"LI122200010009LI122200010009261859","20211217","50","금","41","경기도","4115","의정부시","22","FEMALE","13","13146.73914"
"LI122200010009LI122200010009261860","20211223","51","목","41","경기도","4115","의정부시","2","FEMALE","7","15870.94865"
