﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926201","20211205","48","일","41","경기도","4148","파주시","10","MALE","8","23503.88773"
"LI122200010009LI12220001000926202","20211212","49","일","41","경기도","4148","파주시","10","FEMALE","5","15776.08754"
"LI122200010009LI12220001000926203","20211221","51","화","41","경기도","4148","파주시","10","MALE","13","12203.86428"
"LI122200010009LI12220001000926204","20211221","51","화","41","경기도","4148","파주시","21","MALE","10","22670.2562"
"LI122200010009LI12220001000926205","20211218","50","토","41","경기도","4148","파주시","2","MALE","14","18637.06399"
"LI122200010009LI12220001000926206","20211230","52","목","41","경기도","4148","파주시","1","FEMALE","9","20607.51251"
"LI122200010009LI12220001000926207","20211227","52","월","41","경기도","4148","파주시","6","FEMALE","10","20521.0418"
"LI122200010009LI12220001000926208","20211204","48","토","41","경기도","4148","파주시","4","FEMALE","2","20188.49741"
"LI122200010009LI12220001000926209","20211203","48","금","41","경기도","4148","파주시","7","FEMALE","12","17554.0339"
"LI122200010009LI122200010009262010","20211231","52","금","41","경기도","4148","파주시","8","FEMALE","1","3954.564696"
"LI122200010009LI122200010009262011","20211212","49","일","41","경기도","4148","파주시","1","FEMALE","5","15732.01012"
"LI122200010009LI122200010009262012","20211215","50","수","41","경기도","4148","파주시","7","FEMALE","12","15983.6212"
"LI122200010009LI122200010009262013","20211213","50","월","41","경기도","4148","파주시","2","MALE","13","10806.34036"
"LI122200010009LI122200010009262014","20211211","49","토","41","경기도","4148","파주시","2","FEMALE","9","20773.36919"
"LI122200010009LI122200010009262015","20211227","52","월","41","경기도","4148","파주시","18","FEMALE","8","20037.38233"
"LI122200010009LI122200010009262016","20211229","52","수","41","경기도","4148","파주시","13","FEMALE","1","8839.890792"
"LI122200010009LI122200010009262017","20211210","49","금","41","경기도","4148","파주시","12","MALE","6","21372.51191"
"LI122200010009LI122200010009262018","20211219","50","일","41","경기도","4148","파주시","21","FEMALE","13","11394.71535"
"LI122200010009LI122200010009262019","20211209","49","목","41","경기도","4148","파주시","10","FEMALE","14","28157.01994"
"LI122200010009LI122200010009262020","20211203","48","금","41","경기도","4148","파주시","7","FEMALE","13","12351.9272"
"LI122200010009LI122200010009262021","20211202","48","목","41","경기도","4148","파주시","8","MALE","6","21731.65982"
"LI122200010009LI122200010009262022","20211213","50","월","41","경기도","4148","파주시","18","FEMALE","4","12295.92486"
"LI122200010009LI122200010009262023","20211204","48","토","41","경기도","4148","파주시","21","FEMALE","2","20370.65974"
