﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926211","20211201","48","수","41","경기도","4122","평택시","14","MALE","4","20639.24046"
"LI122200010009LI12220001000926212","20211210","49","금","41","경기도","4122","평택시","17","MALE","2","22344.31531"
"LI122200010009LI12220001000926213","20211221","51","화","41","경기도","4122","평택시","8","MALE","13","14112.46235"
"LI122200010009LI12220001000926214","20211201","48","수","41","경기도","4122","평택시","21","FEMALE","13","13070.28159"
"LI122200010009LI12220001000926215","20211231","52","금","41","경기도","4122","평택시","8","FEMALE","13","13283.03233"
"LI122200010009LI12220001000926216","20211210","49","금","41","경기도","4122","평택시","11","MALE","1","8057.471923"
"LI122200010009LI12220001000926217","20211219","50","일","41","경기도","4122","평택시","7","MALE","7","25615.40761"
"LI122200010009LI12220001000926218","20211229","52","수","41","경기도","4122","평택시","2","MALE","3","25654.78075"
"LI122200010009LI12220001000926219","20211229","52","수","41","경기도","4122","평택시","10","FEMALE","14","28617.09211"
"LI122200010009LI122200010009262110","20211225","51","토","41","경기도","4122","평택시","13","MALE","10","28668.42191"
"LI122200010009LI122200010009262111","20211220","51","월","41","경기도","4122","평택시","3","MALE","9","29837.79798"
"LI122200010009LI122200010009262112","20211210","49","금","41","경기도","4122","평택시","2","MALE","2","22222.32177"
"LI122200010009LI122200010009262113","20211209","49","목","41","경기도","4122","평택시","16","MALE","13","13368.93907"
"LI122200010009LI122200010009262114","20211229","52","수","41","경기도","4122","평택시","22","FEMALE","14","28644.36153"
"LI122200010009LI122200010009262115","20211228","52","화","41","경기도","4122","평택시","0","FEMALE","8","23645.06626"
"LI122200010009LI122200010009262116","20211213","50","월","41","경기도","4122","평택시","19","MALE","12","21824.37773"
"LI122200010009LI122200010009262117","20211219","50","일","41","경기도","4122","평택시","4","MALE","7","25377.04149"
