﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926221","20211216","50","목","41","경기도","4165","포천시","1","MALE","12","9200.091485"
"LI122200010009LI12220001000926222","20211213","50","월","41","경기도","4165","포천시","0","FEMALE","5","3916.795105"
"LI122200010009LI12220001000926223","20211226","51","일","41","경기도","4165","포천시","0","FEMALE","10","6978.413242"
"LI122200010009LI12220001000926224","20211225","51","토","41","경기도","4165","포천시","0","FEMALE","4","4114.614201"
"LI122200010009LI12220001000926225","20211212","49","일","41","경기도","4165","포천시","23","FEMALE","4","3591.383108"
"LI122200010009LI12220001000926226","20211229","52","수","41","경기도","4165","포천시","13","MALE","5","6883.677853"
"LI122200010009LI12220001000926227","20211223","51","목","41","경기도","4165","포천시","16","FEMALE","2","3751.825472"
"LI122200010009LI12220001000926228","20211215","50","수","41","경기도","4165","포천시","6","FEMALE","12","7486.232334"
"LI122200010009LI12220001000926229","20211228","52","화","41","경기도","4165","포천시","9","FEMALE","5","4261.814644"
"LI122200010009LI122200010009262210","20211217","50","금","41","경기도","4165","포천시","15","FEMALE","1","1478.36706"
"LI122200010009LI122200010009262211","20211210","49","금","41","경기도","4165","포천시","21","MALE","4","7083.970504"
"LI122200010009LI122200010009262212","20211201","48","수","41","경기도","4165","포천시","6","FEMALE","1","1381.827476"
"LI122200010009LI122200010009262213","20211222","51","수","41","경기도","4165","포천시","12","FEMALE","10","8408.538895"
"LI122200010009LI122200010009262214","20211226","51","일","41","경기도","4165","포천시","10","MALE","13","6083.014723"
"LI122200010009LI122200010009262215","20211224","51","금","41","경기도","4165","포천시","8","FEMALE","9","6052.521665"
"LI122200010009LI122200010009262216","20211209","49","목","41","경기도","4165","포천시","7","MALE","8","5998.84307"
"LI122200010009LI122200010009262217","20211220","51","월","41","경기도","4165","포천시","8","MALE","10","10453.46879"
"LI122200010009LI122200010009262218","20211219","50","일","41","경기도","4165","포천시","15","FEMALE","12","8322.517387"
"LI122200010009LI122200010009262219","20211213","50","월","41","경기도","4165","포천시","16","FEMALE","5","4369.348056"
"LI122200010009LI122200010009262220","20211214","50","화","41","경기도","4165","포천시","0","MALE","14","8623.52434"
"LI122200010009LI122200010009262221","20211206","49","월","41","경기도","4165","포천시","17","FEMALE","13","5558.483456"
"LI122200010009LI122200010009262222","20211219","50","일","41","경기도","4165","포천시","18","MALE","3","5606.780916"
"LI122200010009LI122200010009262223","20211228","52","화","41","경기도","4165","포천시","13","FEMALE","5","4271.535106"
"LI122200010009LI122200010009262224","20211203","48","금","41","경기도","4165","포천시","12","MALE","12","13022.2595"
"LI122200010009LI122200010009262225","20211208","49","수","41","경기도","4165","포천시","0","FEMALE","6","3282.807951"
"LI122200010009LI122200010009262226","20211231","52","금","41","경기도","4165","포천시","5","FEMALE","12","7501.589407"
"LI122200010009LI122200010009262227","20211226","51","일","41","경기도","4165","포천시","19","FEMALE","5","4291.80846"
"LI122200010009LI122200010009262228","20211229","52","수","41","경기도","4165","포천시","4","FEMALE","12","7316.96402"
"LI122200010009LI122200010009262229","20211207","49","화","41","경기도","4165","포천시","19","FEMALE","13","4892.338936"
"LI122200010009LI122200010009262230","20211225","51","토","41","경기도","4165","포천시","7","FEMALE","8","4952.205122"
"LI122200010009LI122200010009262231","20211224","51","금","41","경기도","4165","포천시","17","FEMALE","6","3827.54262"
"LI122200010009LI122200010009262232","20211210","49","금","41","경기도","4165","포천시","2","FEMALE","9","5235.619224"
"LI122200010009LI122200010009262233","20211225","51","토","41","경기도","4165","포천시","19","FEMALE","5","5308.030624"
"LI122200010009LI122200010009262234","20211214","50","화","41","경기도","4165","포천시","4","MALE","11","8657.564034"
"LI122200010009LI122200010009262235","20211222","51","수","41","경기도","4165","포천시","6","MALE","11","9066.643065"
"LI122200010009LI122200010009262236","20211206","49","월","41","경기도","4165","포천시","3","FEMALE","2","3771.993536"
"LI122200010009LI122200010009262237","20211224","51","금","41","경기도","4165","포천시","15","MALE","11","11321.14683"
"LI122200010009LI122200010009262238","20211210","49","금","41","경기도","4165","포천시","12","FEMALE","10","8732.895881"
"LI122200010009LI122200010009262239","20211222","51","수","41","경기도","4165","포천시","1","FEMALE","7","3370.400295"
"LI122200010009LI122200010009262240","20211201","48","수","41","경기도","4165","포천시","21","MALE","13","6051.249124"
"LI122200010009LI122200010009262241","20211223","51","목","41","경기도","4165","포천시","12","MALE","3","5435.897563"
"LI122200010009LI122200010009262242","20211224","51","금","41","경기도","4165","포천시","2","MALE","12","9210.558137"
"LI122200010009LI122200010009262243","20211228","52","화","41","경기도","4165","포천시","4","FEMALE","8","4047.63748"
"LI122200010009LI122200010009262244","20211213","50","월","41","경기도","4165","포천시","6","FEMALE","11","7040.314524"
"LI122200010009LI122200010009262245","20211203","48","금","41","경기도","4165","포천시","7","FEMALE","1","1426.019893"
"LI122200010009LI122200010009262246","20211225","51","토","41","경기도","4165","포천시","4","FEMALE","10","6882.959178"
"LI122200010009LI122200010009262247","20211211","49","토","41","경기도","4165","포천시","20","FEMALE","6","4494.947014"
"LI122200010009LI122200010009262248","20211209","49","목","41","경기도","4165","포천시","11","MALE","14","9942.376236"
"LI122200010009LI122200010009262249","20211213","50","월","41","경기도","4165","포천시","1","MALE","13","5802.760851"
"LI122200010009LI122200010009262250","20211218","50","토","41","경기도","4165","포천시","10","FEMALE","14","11773.36082"
"LI122200010009LI122200010009262251","20211223","51","목","41","경기도","4165","포천시","11","MALE","6","6072.086331"
"LI122200010009LI122200010009262252","20211222","51","수","41","경기도","4165","포천시","22","FEMALE","5","2081.341913"
"LI122200010009LI122200010009262253","20211209","49","목","41","경기도","4165","포천시","3","MALE","6","4271.062789"
"LI122200010009LI122200010009262254","20211217","50","금","41","경기도","4165","포천시","11","FEMALE","14","11436.97699"
"LI122200010009LI122200010009262255","20211209","49","목","41","경기도","4165","포천시","4","MALE","3","5251.731326"
"LI122200010009LI122200010009262256","20211225","51","토","41","경기도","4165","포천시","4","FEMALE","8","4958.262416"
"LI122200010009LI122200010009262257","20211215","50","수","41","경기도","4165","포천시","18","MALE","2","3512.915439"
"LI122200010009LI122200010009262258","20211231","52","금","41","경기도","4165","포천시","3","FEMALE","14","11567.42853"
"LI122200010009LI122200010009262259","20211228","52","화","41","경기도","4165","포천시","7","MALE","9","7502.505672"
"LI122200010009LI122200010009262260","20211230","52","목","41","경기도","4165","포천시","4","MALE","5","5684.614794"
"LI122200010009LI122200010009262261","20211211","49","토","41","경기도","4165","포천시","16","MALE","3","5408.060853"
"LI122200010009LI122200010009262262","20211210","49","금","41","경기도","4165","포천시","21","FEMALE","11","7059.999206"
"LI122200010009LI122200010009262263","20211229","52","수","41","경기도","4165","포천시","6","FEMALE","14","11653.17998"
"LI122200010009LI122200010009262264","20211205","48","일","41","경기도","4165","포천시","12","FEMALE","12","9681.168815"
