﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926231","20211230","52","목","41","경기도","4145","하남시","16","FEMALE","13","8478.79824"
"LI122200010009LI12220001000926232","20211212","49","일","41","경기도","4145","하남시","0","FEMALE","3","13118.33211"
"LI122200010009LI12220001000926233","20211204","48","토","41","경기도","4145","하남시","19","MALE","3","14229.11788"
"LI122200010009LI12220001000926234","20211207","49","화","41","경기도","4145","하남시","8","FEMALE","6","10535.3632"
"LI122200010009LI12220001000926235","20211217","50","금","41","경기도","4145","하남시","1","FEMALE","7","13871.72549"
"LI122200010009LI12220001000926236","20211205","48","일","41","경기도","4145","하남시","19","MALE","12","10939.63029"
"LI122200010009LI12220001000926237","20211226","51","일","41","경기도","4145","하남시","23","MALE","14","11305.09997"
"LI122200010009LI12220001000926238","20211210","49","금","41","경기도","4145","하남시","12","FEMALE","3","11532.38165"
"LI122200010009LI12220001000926239","20211224","51","금","41","경기도","4145","하남시","16","MALE","1","4391.196885"
"LI122200010009LI122200010009262310","20211220","51","월","41","경기도","4145","하남시","15","FEMALE","8","13154.47864"
"LI122200010009LI122200010009262311","20211202","48","목","41","경기도","4145","하남시","4","MALE","4","8177.176231"
"LI122200010009LI122200010009262312","20211211","49","토","41","경기도","4145","하남시","7","MALE","11","11872.06771"
"LI122200010009LI122200010009262313","20211226","51","일","41","경기도","4145","하남시","12","FEMALE","14","13871.66115"
"LI122200010009LI122200010009262314","20211212","49","일","41","경기도","4145","하남시","22","FEMALE","3","13069.52666"
"LI122200010009LI122200010009262315","20211201","48","수","41","경기도","4145","하남시","21","MALE","2","12643.48719"
"LI122200010009LI122200010009262316","20211229","52","수","41","경기도","4145","하남시","9","FEMALE","7","12283.05736"
"LI122200010009LI122200010009262317","20211230","52","목","41","경기도","4145","하남시","9","FEMALE","12","10846.18299"
"LI122200010009LI122200010009262318","20211220","51","월","41","경기도","4145","하남시","19","FEMALE","10","11157.40674"
"LI122200010009LI122200010009262319","20211227","52","월","41","경기도","4145","하남시","13","FEMALE","12","11431.77469"
"LI122200010009LI122200010009262320","20211225","51","토","41","경기도","4145","하남시","2","MALE","10","11748.16066"
"LI122200010009LI122200010009262321","20211222","51","수","41","경기도","4145","하남시","6","FEMALE","14","13936.62365"
"LI122200010009LI122200010009262322","20211201","48","수","41","경기도","4145","하남시","13","MALE","3","12999.76791"
"LI122200010009LI122200010009262323","20211224","51","금","41","경기도","4145","하남시","19","FEMALE","12","11512.06381"
"LI122200010009LI122200010009262324","20211216","50","목","41","경기도","4145","하남시","22","FEMALE","12","11359.0304"
"LI122200010009LI122200010009262325","20211201","48","수","41","경기도","4145","하남시","0","FEMALE","7","14332.77638"
"LI122200010009LI122200010009262326","20211219","50","일","41","경기도","4145","하남시","15","MALE","2","12541.99928"
"LI122200010009LI122200010009262327","20211231","52","금","41","경기도","4145","하남시","5","MALE","5","10363.42272"
"LI122200010009LI122200010009262328","20211224","51","금","41","경기도","4145","하남시","14","MALE","4","7627.434958"
"LI122200010009LI122200010009262329","20211228","52","화","41","경기도","4145","하남시","16","FEMALE","1","4809.494606"
"LI122200010009LI122200010009262330","20211209","49","목","41","경기도","4145","하남시","7","FEMALE","9","12186.57419"
"LI122200010009LI122200010009262331","20211225","51","토","41","경기도","4145","하남시","4","MALE","12","10419.57727"
"LI122200010009LI122200010009262332","20211212","49","일","41","경기도","4145","하남시","21","MALE","9","12985.67978"
