﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010009LI12220001000926241","20211210","49","금","41","경기도","4159","화성시","8","MALE","14","23893.85197"
"LI122200010009LI12220001000926242","20211215","50","수","41","경기도","4159","화성시","3","MALE","6","37149.66364"
"LI122200010009LI12220001000926243","20211224","51","금","41","경기도","4159","화성시","23","MALE","13","15728.22276"
"LI122200010009LI12220001000926244","20211213","50","월","41","경기도","4159","화성시","17","MALE","2","45542.73886"
"LI122200010009LI12220001000926245","20211213","50","월","41","경기도","4159","화성시","21","MALE","6","37001.18555"
"LI122200010009LI12220001000926246","20211208","49","수","41","경기도","4159","화성시","3","FEMALE","5","27575.73941"
"LI122200010009LI12220001000926247","20211220","51","월","41","경기도","4159","화성시","11","MALE","6","41973.11412"
"LI122200010009LI12220001000926248","20211217","50","금","41","경기도","4159","화성시","21","MALE","11","30980.36518"
"LI122200010009LI12220001000926249","20211222","51","수","41","경기도","4159","화성시","21","FEMALE","9","54931.09604"
"LI122200010009LI122200010009262410","20211225","51","토","41","경기도","4159","화성시","8","MALE","1","14286.05366"
"LI122200010009LI122200010009262411","20211219","50","일","41","경기도","4159","화성시","1","MALE","14","22207.52135"
"LI122200010009LI122200010009262412","20211222","51","수","41","경기도","4159","화성시","21","MALE","13","30970.5173"
"LI122200010009LI122200010009262413","20211220","51","월","41","경기도","4159","화성시","20","MALE","2","45658.48207"
"LI122200010009LI122200010009262414","20211216","50","목","41","경기도","4159","화성시","8","FEMALE","10","35297.85175"
"LI122200010009LI122200010009262415","20211206","49","월","41","경기도","4159","화성시","9","FEMALE","12","24850.2355"
"LI122200010009LI122200010009262416","20211228","52","화","41","경기도","4159","화성시","18","FEMALE","6","31081.72527"
"LI122200010009LI122200010009262417","20211227","52","월","41","경기도","4159","화성시","22","MALE","12","26649.07835"
"LI122200010009LI122200010009262418","20211220","51","월","41","경기도","4159","화성시","18","MALE","7","45667.79817"
"LI122200010009LI122200010009262419","20211201","48","수","41","경기도","4159","화성시","5","MALE","9","45116.32029"
"LI122200010009LI122200010009262420","20211227","52","월","41","경기도","4159","화성시","21","FEMALE","10","32893.52671"
"LI122200010009LI122200010009262421","20211204","48","토","41","경기도","4159","화성시","5","MALE","12","25968.38935"
"LI122200010009LI122200010009262422","20211228","52","화","41","경기도","4159","화성시","12","FEMALE","7","38022.21655"
"LI122200010009LI122200010009262423","20211227","52","월","41","경기도","4159","화성시","12","FEMALE","8","42923.83685"
"LI122200010009LI122200010009262424","20211210","49","금","41","경기도","4159","화성시","0","FEMALE","4","22851.51261"
"LI122200010009LI122200010009262425","20211207","49","화","41","경기도","4159","화성시","9","MALE","10","44761.1952"
"LI122200010009LI122200010009262426","20211221","51","화","41","경기도","4159","화성시","19","FEMALE","1","14794.68833"
"LI122200010009LI122200010009262427","20211216","50","목","41","경기도","4159","화성시","21","FEMALE","8","44866.43696"
