날짜,요일,시군명,시간대,인구수
20211201,수,가평군,0,62015.888111399996
20211201,수,가평군,1,62000.1746063
20211201,수,가평군,2,62199.118585000004
20211201,수,가평군,3,62535.5682109
20211201,수,가평군,4,62623.3899549
20211201,수,가평군,5,62780.6978693
20211201,수,가평군,6,63578.6038978
20211201,수,가평군,7,64798.841353
20211201,수,가평군,8,66122.6646226
20211201,수,가평군,9,66955.123037
20211201,수,가평군,10,67568.9951516
20211201,수,가평군,11,68040.9384941
20211201,수,가평군,12,68401.9862298
20211201,수,가평군,13,68567.9755024
20211201,수,가평군,14,68301.3125261
20211201,수,가평군,15,67995.5052968
20211201,수,가평군,16,67228.9944674
20211201,수,가평군,17,66482.2465755
20211201,수,가평군,18,66267.1874805
20211201,수,가평군,19,65692.4610266
20211201,수,가평군,20,65495.9250355
20211201,수,가평군,21,64269.4811919
20211201,수,가평군,22,63470.1552849
20211201,수,가평군,23,63500.444954599996
20211201,수,고양시,0,1067518.199109
20211201,수,고양시,1,1073391.110406
20211201,수,고양시,2,1075966.108337
20211201,수,고양시,3,1078264.126602
20211201,수,고양시,4,1079374.102949
20211201,수,고양시,5,1079016.351993
20211201,수,고양시,6,1077452.356603
20211201,수,고양시,7,1068654.743959
20211201,수,고양시,8,1055284.72235
20211201,수,고양시,9,1048968.314986
20211201,수,고양시,10,1044859.105502
20211201,수,고양시,11,1044036.430499
20211201,수,고양시,12,1044029.718175
20211201,수,고양시,13,1044257.904067
20211201,수,고양시,14,1044511.508412
20211201,수,고양시,15,1044692.25198
20211201,수,고양시,16,1045418.254898
20211201,수,고양시,17,1048160.92281
20211201,수,고양시,18,1053006.011764
20211201,수,고양시,19,1059429.885058
20211201,수,고양시,20,1064410.041451
20211201,수,고양시,21,1068059.740487
20211201,수,고양시,22,1069387.479912
20211201,수,고양시,23,1068485.704886
20211201,수,과천시,0,71113.3645437
20211201,수,과천시,1,71623.6932116
20211201,수,과천시,2,71648.75211269999
20211201,수,과천시,3,71943.7471519
20211201,수,과천시,4,72278.0725094
20211201,수,과천시,5,72862.7544745
20211201,수,과천시,6,75279.8638622
20211201,수,과천시,7,77442.1861933
20211201,수,과천시,8,77976.8729861
20211201,수,과천시,9,77397.7951133
20211201,수,과천시,10,76374.6446808
20211201,수,과천시,11,75953.6614584
20211201,수,과천시,12,75736.7763126
20211201,수,과천시,13,75383.74639680001
20211201,수,과천시,14,74947.5551757
20211201,수,과천시,15,74724.5089547
20211201,수,과천시,16,74582.692826
20211201,수,과천시,17,74138.2523602
20211201,수,과천시,18,73969.1182998
20211201,수,과천시,19,73290.4577466
20211201,수,과천시,20,73153.2297344
20211201,수,과천시,21,73553.6619437
20211201,수,과천시,22,74480.01108150001
20211201,수,과천시,23,74796.1303995
20211201,수,광명시,0,281036.53213
20211201,수,광명시,1,280399.428887
20211201,수,광명시,2,277783.928877
20211201,수,광명시,3,270056.251765
20211201,수,광명시,4,264163.30506600003
20211201,수,광명시,5,262660.141725
20211201,수,광명시,6,257256.047736
20211201,수,광명시,7,244102.206162
20211201,수,광명시,8,226335.420635
20211201,수,광명시,9,213475.468329
20211201,수,광명시,10,206815.199403
20211201,수,광명시,11,203391.385422
20211201,수,광명시,12,202827.476243
20211201,수,광명시,13,202354.886055
20211201,수,광명시,14,203718.79275300002
20211201,수,광명시,15,208093.66752
20211201,수,광명시,16,211818.248692
20211201,수,광명시,17,218588.407744
20211201,수,광명시,18,229078.238339
