기준년월,요일구분,출발 시간대,출발지_시군구코드,출발지_시도명,출발지_시군구명,출발지_중심_X좌표,출발지_중심_Y좌표,이동수단 구분,성별,연령별(10세),인구 수
202401,월,11,41173,경기도,안양시 동안구,951796,1933620,4,W,6,3.5
202401,화,16,41271,경기도,안산시 상록구,944176,1924186,1,M,9,95.79
202401,목,12,41465,경기도,용인시 수지구,962048,1926137,0,W,6,5045.49
202401,일,2,41271,경기도,안산시 상록구,944176,1924186,3,M,9,34.06
202401,금,21,41650,경기도,포천시,978069,1996673,7,M,8,3.41
202401,금,14,41113,경기도,수원시 권선구,953861,1918083,7,W,9,49.27
202401,월,9,41196,경기도,부천시 오정구,937564,1947819,5,W,6,3.86
202401,일,2,41210,경기도,광명시,943809,1938625,0,M,7,146.83
202401,화,9,41450,경기도,하남시,974018,1947095,0,M,8,1662.07
202401,화,17,41390,경기도,시흥시,935643,1931618,1,W,5,3590.06
202401,화,19,41194,경기도,부천시 소사구,937850,1941972,7,W,10,3.5
202401,일,9,41590,경기도,화성시,942172,1908000,0,M,6,18031.41
202401,토,0,41192,경기도,부천시 원미구,936267,1944735,0,M,1,7
202401,수,21,41194,경기도,부천시 소사구,937850,1941972,7,M,8,15.84
202401,일,10,41463,경기도,용인시 기흥구,966424,1918787,2,M,9,138.62
202401,월,0,41171,경기도,안양시 만안구,947900,1934052,7,M,2,36.29
202401,일,9,41173,경기도,안양시 동안구,951796,1933620,0,M,10,13.39
202401,일,7,41117,경기도,수원시 영통구,960690,1919671,5,W,3,36.16
202401,목,11,41450,경기도,하남시,974018,1947095,2,M,3,550.25
202401,토,11,41463,경기도,용인시 기흥구,966424,1918787,5,W,6,17.08
202401,금,5,41650,경기도,포천시,978069,1996673,2,W,4,11.89
202401,화,10,41113,경기도,수원시 권선구,953861,1918083,1,M,7,1977.78
202401,월,21,41210,경기도,광명시,943809,1938625,0,M,1,24.5
202401,화,18,41171,경기도,안양시 만안구,947900,1934052,0,W,4,2063.86
202401,목,12,41194,경기도,부천시 소사구,937850,1941972,2,M,5,317.32
202401,목,20,41390,경기도,시흥시,935643,1931618,0,M,5,8793.38
202401,토,19,41390,경기도,시흥시,935643,1931618,1,W,2,402.78
202401,월,19,41196,경기도,부천시 오정구,937564,1947819,3,M,7,1404.24
202401,목,15,41173,경기도,안양시 동안구,951796,1933620,7,W,2,284.54
202401,수,19,41111,경기도,수원시 장안구,955994,1924011,5,M,4,11.66
202401,토,19,41113,경기도,수원시 권선구,953861,1918083,1,M,2,575.2
202401,일,11,41192,경기도,부천시 원미구,936267,1944735,1,W,7,1965.8
202401,일,12,41590,경기도,화성시,942172,1908000,3,W,7,3886.62
202401,토,11,41590,경기도,화성시,942172,1908000,0,W,9,554.48
202401,월,0,41390,경기도,시흥시,935643,1931618,3,W,8,233.77
202401,수,0,41465,경기도,용인시 수지구,962048,1926137,7,W,3,17.62
202401,월,6,41461,경기도,용인시 처인구,978070,1911643,3,W,2,424.04
202401,목,13,41117,경기도,수원시 영통구,960690,1919671,7,M,3,680.23
202401,일,18,41196,경기도,부천시 오정구,937564,1947819,3,W,2,408.22
202401,수,21,41173,경기도,안양시 동안구,951796,1933620,1,W,6,3180.21
202401,목,9,41273,경기도,안산시 단원구,925133,1918594,3,W,5,2346.16
202401,수,22,41271,경기도,안산시 상록구,944176,1924186,3,M,8,355.49
202401,일,5,41463,경기도,용인시 기흥구,966424,1918787,5,W,2,7.79
202401,토,19,41171,경기도,안양시 만안구,947900,1934052,5,M,7,66.23
202401,화,20,41111,경기도,수원시 장안구,955994,1924011,1,W,9,19.04
202401,화,19,41115,경기도,수원시 팔달구,957104,1919945,3,M,3,2917.93
