순번,행정구역 표준코드,구분,광역 이름,기초 이름,경도,위도,발행명,활성지수,전년 대비 2023년 발행액 증감,활성 순위,비활성 순위 (역순),이용자 제공혜택 개요,올해 대비 2024년 사업 예산 계획,최초 발행 시작일,최종 발행 중지/종료일,발행 유형,이용자 제공혜택 기간,이용자 제공혜택 대상,운영사,"2023년 연중 1인당 월 최대 구매/충전액 (만 원, 10월 기준)","2023년 연중 최대 할인/적립률 (%, 10월 기준)","2023년 발행액 (억 원, 1년간)","2023년 누적 이용자 수 (명, 10월 기준)","2023년 가맹점 수 (곳, 10월 기준)",더 알아보기 URL,비고
18,1111000000,기초,서울특별시,종로구,126.9788345,37.5735207,종로사랑상품권,0.47,축소,173,12,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,유지,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,230,"1,902,931","11,997",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
19,1114000000,기초,서울특별시,중구,126.997602,37.563843,서울중구사랑상품권,0.28,축소,183,2,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,미정,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,210,-,"14,062",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
20,1117000000,기초,서울특별시,용산구,126.99049,37.532527,용산사랑상품권,0.51,축소,168,17,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,축소,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,70,7,300,,"8,850",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
21,1120000000,기초,서울특별시,성동구,127.036821,37.563456,성동사랑상품권,1.05,확대,46,139,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,확대,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,500,-,"8,334",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
22,1121500000,기초,서울특별시,광진구,127.082375,37.538617,광진사랑상품권,1.01,확대,56,129,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,미정,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,500,-,"10,375",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
23,1123000000,기초,서울특별시,동대문구,127.03965,37.574524,동대문구사랑상품권,0.92,축소,81,104,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,미정,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,245,-,"10,813",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
24,1126000000,기초,서울특별시,중랑구,127.0925842,37.6063242,중랑사랑상품권,1.37,확대,11,174,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,유지,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,400,-,"9,861",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
25,1129000000,기초,서울특별시,성북구,127.016749,37.5894,성북사랑상품권,1.22,확대,19,166,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,유지,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,610,-,"10,950",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
26,1130500000,기초,서울특별시,강북구,127.0256135,37.6397819,강북사랑상품권,1.33,확대,13,171,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,미정,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,400,-,"7,711",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
27,1132000000,기초,서울특별시,도봉구,127.047163,37.668768,도봉사랑상품권,0.92,축소,82,103,1인당 월 최대 50만 원까지 구매 금액의 7% 할인 또는 적립,미정,2020-01-17,발행 중,모바일,연중,보편,신한컨소시엄,50,7,361,-,"6,720",https://seoulpay.shinhancard.com,서울특별시 광역 자료에 합산
