광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
경기,김포시,202012,문화레져,레져용품,골프용품,0,0,8,4227000,47,528425,89945
경기,김포시,202012,문화레져,레져용품,낚시용품,0,0,17,26500000,766,1558835,34596
경기,김포시,202012,문화레져,레져용품,보트,0,0,2,3820000,3,1910000,1273333
경기,김포시,202012,문화레져,레져용품,스포츠용품,3,0,83,307714000,2123,3707397,144943
경기,김포시,202012,문화레져,레져용품,스포츠의류전문,0,0,30,279110000,1546,9303666,180537
경기,김포시,202012,문화레져,레져용품,자전거-성인용,0,0,24,15971000,149,665438,107185
경기,김포시,202012,문화레져,숙박,1급호텔,0,0,1,3556000,41,3556000,86732
경기,김포시,202012,문화레져,숙박,2급호텔,0,0,2,6116000,175,3058000,34949
경기,김포시,202012,문화레져,숙박,모텔,2,1,58,127851000,2150,2204331,59466
경기,김포시,202012,문화레져,레져,테니스장,0,0,2,1587000,16,793500,99188
경기,김포시,202012,문화레져,숙박,여관/민박,0,1,9,10054000,175,1117111,57451
경기,김포시,202012,문화레져,예술품,골동품/예술품,0,0,3,387000,8,129103,48414
경기,김포시,202012,문화레져,예술품,공예품,2,1,16,3776000,79,235981,47794
경기,김포시,202012,문화레져,예술품,그림/액자,0,0,3,18257000,69,6085670,264594
경기,김포시,202012,문화레져,예술품,선물/기념품,0,0,2,3898000,16,1949150,243644
경기,김포시,202012,문화레져,오락실/PC방,인터넷PC방,0,1,47,71620000,14659,1523834,4886
경기,김포시,202012,문화레져,오락실/PC방,전자오락실,0,0,1,6684000,62,6684000,107806
경기,김포시,202012,문화레져,완구/아동용자전거,자전거-아동용,0,0,1,23000,3,23000,7667
경기,김포시,202012,문화레져,완구/아동용자전거,장난감/오락기기,0,0,16,115496000,1589,7218472,72684
경기,김포시,202012,문화레져,운명/운세/작명,운명/운세/작명,0,0,1,500000,1,500000,500000
경기,김포시,202012,문화레져,음반/음원/영상,악기,0,0,5,12261000,28,2452200,437893
경기,김포시,202012,문화레져,음반/음원/영상,음반/음원,0,0,1,2000000,2,2000000,1000000
경기,김포시,202012,문화레져,레져,탁구장,0,0,3,631000,7,210333,90143
경기,김포시,202012,문화레져,레져,요가,0,0,3,-110000,3,-36667,-36667
경기,김포시,202012,문화레져,동물,동물농장,0,0,5,2232000,63,446300,35421
경기,김포시,202012,문화레져,동물,애완동물/용품,3,1,95,215215000,3793,2265424,56740
경기,김포시,202012,문화레져,동물병원,병원-동물병원,1,0,33,198866000,2578,6026235,77140
경기,김포시,202012,문화레져,레져,유아교육/키즈카페,0,0,18,9508000,261,528200,36428
경기,김포시,202012,문화레져,레져,골프장,0,0,7,170382000,2184,24340214,78014
경기,김포시,202012,문화레져,레져,노래방,2,1,49,10182000,168,207786,60604
경기,김포시,202012,문화레져,레져,당구장,1,3,63,6392000,429,101463,14900
경기,김포시,202012,문화레져,레져,무술 도장,0,0,1,330000,1,330000,330000
경기,김포시,202012,문화레져,레져,볼링장,0,0,8,35482000,153,4435188,231905
경기,김포시,202012,문화레져,레져,수영장,1,0,3,1274000,6,424667,212333
경기,김포시,202012,문화레져,레져,스포츠강습,0,0,22,26294000,360,1195182,73039
경기,김포시,202012,문화레져,레져,스포츠센터,2,2,89,68274000,492,767120,138768
경기,김포시,202012,문화레져,레져,실내골프장,1,0,30,28282000,784,942747,36074
경기,김포시,202012,문화레져,레져,실내야구연습장,0,0,4,1078000,102,269600,10573
