지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 50,000 원",연간 제한 없음,2023-01-01,2023-01-31
고양시,-,-,-,-,-
과천시,10 %,"월 30,000 원",연간 제한 없음,2023-01-01,2023-01-31
광명시,10 %,"월 100,000 원",연간 제한 없음,2023-01-04,2023-01-31
광주시,10 %,"월 100,000 원",연간 제한 없음,2023-01-01,2023-01-31
구리시,10 %,"월 100,000 원",연간 제한 없음,2023-01-01,예산 소진시 까지
군포시,10 %,"월 40,000 원",연간 제한 없음,2023-01-01,2023-01-31
김포시,6 %,"월 12,000 원",연간 제한 없음,2023-01-01,예산 소진시 까지
남양주시,-,-,-,-,-
동두천시,10 %,"월 100,000 원",연간 제한 없음,2023-01-01,2023-01-31
부천시,10 %,"월 30,000 원",연간 제한 없음,2023-01-02,2023-01-31
성남시,10 %,"월 30,000 원",연간 제한 없음,2023-01-17,예산 소진시 까지
수원시,10 %,"월 30,000 원",연간 제한 없음,2023-01-01,예산 소진시 까지
시흥시,6 %,"월 18,000 원",연간 제한 없음,2023-01-01,예산 소진시 까지
안산시,10 %,"월 20,000 원",연간 제한 없음,2023-01-01,2023-01-31
안성시,10 %,"월 80,000 원",연간 제한 없음,2023-01-02,2023-01-31
안양시,-,-,-,-,-
양주시,10 %,"월 100,000 원",연간 제한 없음,2023-01-04,예산 소진시 까지
양평군,10 %,"월 18,000 원",연간 제한 없음,2023-01-01,2023-01-31
여주시,10 %,"월 100,000 원",연간 제한 없음,2023-01-01,2023-01-31
연천군,10 %,"월 100,000 원",연간 제한 없음,2023-01-01,2023-01-31
오산시,10 %,"월 50,000 원",연간 제한 없음,2023-01-01,예산 소진시 까지
용인시,10 %,"월 30,000 원",연간 제한 없음,2023-01-01,2023-01-31
의왕시,10 %,"월 20,000 원",연간 제한 없음,2023-01-01,예산 소진시 까지
의정부시,10 %,"월 40,000 원","연간 400,000 원",2023-01-01,2023-01-31
이천시,6 %,"월 42,000 원",연간 제한 없음,2024-01-01,예산 소진시 까지
파주시,10 %,"월 30,000 원",연간 제한 없음,2023-01-01,2023-01-31
평택시,10 %,"월 30,000 원",연간 제한 없음,2023-01-01,2023-01-31
포천시,10 %,"월 70,000 원",연간 제한 없음,2023-01-06,2023-01-31
하남시,10 %,"월 20,000 원",연간 제한 없음,2023-01-05,예산 소진시 까지
화성시,10 %,"월 30,000 원",연간 제한 없음,2023-01-02,2023-01-31
