기준년월,시군명,총인구수
2023-12,가평군,62302
2023-12,고양시,1074907
2023-12,과천시,81000
2023-12,광명시,280197
2023-12,광주시,391377
2023-12,구리시,187093
2023-12,군포시,261229
2023-12,김포시,486172
2023-12,남양주시,732265
2023-12,동두천시,88626
2023-12,부천시,779968
2023-12,성남시,919747
2023-12,수원시,1197257
2023-12,시흥시,519715
2023-12,안산시,629308
2023-12,안성시,189034
2023-12,안양시,544660
2023-12,양주시,268026
2023-12,양평군,125238
2023-12,여주시,114412
2023-12,연천군,41584
2023-12,오산시,229656
2023-12,용인시,1075566
2023-12,의왕시,158870
2023-12,의정부시,464213
2023-12,이천시,222098
2023-12,파주시,497753
2023-12,평택시,591022
2023-12,포천시,143323
2023-12,하남시,329861
2023-12,화성시,944342
2023-11,가평군,62131
2023-11,고양시,1075089
2023-11,과천시,81008
2023-11,광명시,280287
2023-11,광주시,391432
2023-11,구리시,187284
2023-11,군포시,261898
2023-11,김포시,486126
2023-11,남양주시,732086
2023-11,동두천시,88787
2023-11,부천시,781119
2023-11,성남시,918771
2023-11,수원시,1197241
2023-11,시흥시,519594
2023-11,안산시,630651
2023-11,안성시,189143
2023-11,안양시,543597
2023-11,양주시,266446
2023-11,양평군,125121
2023-11,여주시,114343
2023-11,연천군,41588
2023-11,오산시,229792
2023-11,용인시,1075474
2023-11,의왕시,159050
2023-11,의정부시,464644
2023-11,이천시,222652
2023-11,파주시,497775
2023-11,평택시,590185
2023-11,포천시,143510
2023-11,하남시,329822
2023-11,화성시,941489
2023-10,가평군,62125
2023-10,고양시,1075898
2023-10,과천시,81143
2023-10,광명시,280270
2023-10,광주시,391760
2023-10,구리시,187620
2023-10,군포시,262587
2023-10,김포시,486008
2023-10,남양주시,732122
2023-10,동두천시,88820
2023-10,부천시,782854
2023-10,성남시,917243
2023-10,수원시,1196864
2023-10,시흥시,518771
2023-10,안산시,632291
2023-10,안성시,189322
2023-10,안양시,544083
2023-10,양주시,265155
2023-10,양평군,124822
2023-10,여주시,114344
2023-10,연천군,41639
2023-10,오산시,229730
2023-10,용인시,1076098
2023-10,의왕시,158242
2023-10,의정부시,465019
2023-10,이천시,223525
2023-10,파주시,497527
2023-10,평택시,589407
2023-10,포천시,143690
2023-10,하남시,329559
2023-10,화성시,939302
2023-09,가평군,61976
2023-09,고양시,1076376
2023-09,과천시,81332
2023-09,광명시,280129
2023-09,광주시,391917
2023-09,구리시,187836
2023-09,군포시,262587
2023-09,김포시,485943
2023-09,남양주시,732376
2023-09,동두천시,89037
2023-09,부천시,784273
2023-09,성남시,917374
2023-09,수원시,1195718
2023-09,시흥시,518174
2023-09,안산시,633417
2023-09,안성시,189456
2023-09,안양시,544514
2023-09,양주시,263610
2023-09,양평군,124241
2023-09,여주시,114253
2023-09,연천군,41705
2023-09,오산시,229780
2023-09,용인시,1077224
2023-09,의왕시,158242
2023-09,의정부시,464909
2023-09,이천시,223581
2023-09,파주시,497108
2023-09,평택시,588380
2023-09,포천시,143880
2023-09,하남시,329559
2023-09,화성시,937189
2023-08,가평군,61773
2023-08,고양시,1076655
2023-08,과천시,81306
2023-08,광명시,280414
2023-08,광주시,391986
2023-08,구리시,187984
2023-08,군포시,262587
2023-08,김포시,486029
2023-08,남양주시,733002
2023-08,동두천시,89174
2023-08,부천시,785432
2023-08,성남시,918077
2023-08,수원시,1195111
2023-08,시흥시,518182
2023-08,안산시,634284
2023-08,안성시,189472
2023-08,안양시,545092
2023-08,양주시,262328
2023-08,양평군,124050
2023-08,여주시,114081
2023-08,연천군,41711
2023-08,오산시,229569
2023-08,용인시,1077890
2023-08,의왕시,158242
2023-08,의정부시,464778
2023-08,이천시,223677
2023-08,파주시,496878
2023-08,평택시,587611
2023-08,포천시,143974
2023-08,하남시,329559
2023-08,화성시,934287
2023-07,가평군,61744
2023-07,고양시,1077156
2023-07,과천시,80855
2023-07,광명시,280986
2023-07,광주시,391791
2023-07,구리시,188224
2023-07,군포시,262587
2023-07,김포시,486122
2023-07,남양주시,733625
2023-07,동두천시,89316
2023-07,부천시,786469
2023-07,성남시,919771
2023-07,수원시,1192960
2023-07,시흥시,518366
2023-07,안산시,635134
2023-07,안성시,189364
2023-07,안양시,545478
2023-07,양주시,260708
2023-07,양평군,123428
2023-07,여주시,114005
2023-07,연천군,41802
2023-07,오산시,229255
