시군명,기준년월,신규가입자수,월별충전액,월별사용액
가평군,2023-12,484.0,4051,2140
가평군,2023-11,458.0,2368,2187
가평군,2023-10,555.0,2596,2335
가평군,2023-09,782.0,3113,2376
가평군,2023-08,473.0,3631,2392
가평군,2023-07,580.0,2682,2536
가평군,2023-06,883.0,4197,4043
가평군,2023-05,871.0,5064,3785
가평군,2023-04,855.0,3668,4057
가평군,2023-03,3130.0,4284,3609
가평군,2023-02,769.0,3032,3092
가평군,2023-01,717.0,3140,3540
고양시,2023-12,3103.0,15768,12994
고양시,2023-11,3247.0,14389,12450
고양시,2023-10,4554.0,13499,11696
고양시,2023-09,4207.0,10500,11022
고양시,2023-08,3527.0,11057,11989
고양시,2023-07,3811.0,14686,11992
고양시,2023-06,2809.0,10175,11714
고양시,2023-05,3722.0,11006,12514
고양시,2023-04,4329.0,13576,12364
고양시,2023-03,4029.0,13370,11819
고양시,2023-02,4467.0,11680,9746
고양시,2023-01,4126.0,1610,6951
과천시,2023-12,535.0,3660,3712
과천시,2023-11,602.0,3332,3538
과천시,2023-10,740.0,3604,3738
과천시,2023-09,1123.0,5776,3535
과천시,2023-08,798.0,2638,2771
과천시,2023-07,658.0,2897,2832
과천시,2023-06,520.0,2746,2940
과천시,2023-05,506.0,2940,3146
과천시,2023-04,608.0,2935,3181
과천시,2023-03,688.0,2933,3561
과천시,2023-02,819.0,2626,3594
과천시,2023-01,982.0,5704,4197
광명시,2023-12,1474.0,2100,5453
광명시,2023-11,1915.0,9298,9898
광명시,2023-10,2235.0,8983,11292
광명시,2023-09,2486.0,16970,12756
광명시,2023-08,2427.0,8529,10113
광명시,2023-07,2718.0,9721,11928
광명시,2023-06,3154.0,10419,14039
광명시,2023-05,7015.0,18861,17427
광명시,2023-04,20221.0,15752,17141
광명시,2023-03,12936.0,18333,13846
광명시,2023-02,2690.0,9573,11621
광명시,2023-01,2668.0,17080,12541
광주시,2023-12,1375.0,12936,10317
광주시,2023-11,1477.0,17709,17731
광주시,2023-10,1698.0,12414,10128
광주시,2023-09,1613.0,11394,8828
광주시,2023-08,1862.0,15239,14372
광주시,2023-07,1852.0,15317,14254
광주시,2023-06,1235.0,9267,6642
광주시,2023-05,1708.0,17582,16384
광주시,2023-04,1991.0,16112,17603
광주시,2023-03,2103.0,16317,18922
광주시,2023-02,2503.0,12312,17690
광주시,2023-01,2638.0,26982,23709
구리시,2023-12,1240.0,5998,7811
구리시,2023-11,1257.0,4394,7730
구리시,2023-10,1679.0,10079,9019
구리시,2023-09,1754.0,14831,8557
구리시,2023-08,1479.0,5675,6597
구리시,2023-07,1327.0,6336,7712
구리시,2023-06,1392.0,4649,7367
구리시,2023-05,1962.0,15132,9300
구리시,2023-04,1666.0,6415,7266
구리시,2023-03,1904.0,6468,7903
구리시,2023-02,2696.0,4726,5914
구리시,2023-01,1696.0,11045,9239
군포시,2023-12,1332.0,8678,9180
군포시,2023-11,1337.0,8125,8968
군포시,2023-10,1716.0,8270,9571
군포시,2023-09,1995.0,13090,9386
군포시,2023-08,1736.0,10295,11126
군포시,2023-07,1569.0,12145,11034
군포시,2023-06,1279.0,9909,10070
군포시,2023-05,1347.0,10575,10521
군포시,2023-04,1667.0,11202,9883
군포시,2023-03,1532.0,6140,7520
군포시,2023-02,2095.0,5408,9314
군포시,2023-01,2826.0,17910,15187
김포시,2023-12,2092.0,15186,13775
김포시,2023-11,1491.0,11452,12226
김포시,2023-10,0.0,11750,13489
김포시,2023-09,12549.0,17092,14398
김포시,2023-08,0.0,12540,10011
김포시,2023-07,0.0,11564,10489
김포시,2023-06,,10570,10606
김포시,2023-05,,12333,11383
김포시,2023-04,2286.0,13871,12927
김포시,2023-03,3251.0,11448,13784
