시군명,기준년월,신규가입자,월별충전액,월별사용액,가맹점수,총인구수,생활인구수,20~29세,30~39세,40~49세,50~59세,60세 이상
가평군,2023-12,484.0,4051,2140,3354,62302,72214,5700,5437,7459,10845,25749
가평군,2023-11,458.0,2368,2187,3354,62131,72214,5677,5426,7435,10788,25686
가평군,2023-10,555.0,2596,2335,3354,62125,72214,5685,5415,7438,10767,25662
가평군,2023-09,782.0,3113,2376,3354,61976,72214,5681,5383,7438,10736,25587
가평군,2023-08,473.0,3631,2392,3354,61773,72214,5689,5315,7410,10715,25489
가평군,2023-07,580.0,2682,2536,3354,61744,72214,5738,5298,7424,10736,25454
가평군,2023-06,883.0,4197,4043,3354,61771,72214,5723,5324,7450,10729,25400
가평군,2023-05,871.0,5064,3785,3354,61836,72214,5754,5338,7472,10735,25372
가평군,2023-04,855.0,3668,4057,3354,61915,72214,5793,5325,7521,10730,25326
가평군,2023-03,3130.0,4284,3609,3354,61969,72214,5802,5364,7537,10806,25214
가평군,2023-02,769.0,3032,3092,3354,62069,72214,5836,5385,7554,10837,25164
가평군,2023-01,717.0,3140,3540,3354,62114,72214,5882,5382,7565,10860,25115
고양시,2023-12,3103.0,15768,12994,26672,1074907,992201,134406,143591,168583,198739,260305
고양시,2023-11,3247.0,14389,12450,26672,1075089,992201,134885,143554,169048,198243,259629
고양시,2023-10,4554.0,13499,11696,26672,1075898,992201,135320,143735,169470,197952,259116
고양시,2023-09,4207.0,10500,11022,26672,1076376,992201,135648,143858,169922,197872,258219
고양시,2023-08,3527.0,11057,11989,26672,1076655,992201,136030,143763,170201,197964,257274
고양시,2023-07,3811.0,14686,11992,26672,1077156,992201,136635,143651,170580,198047,256315
고양시,2023-06,2809.0,10175,11714,26672,1077742,992201,137177,143764,170927,198097,255340
고양시,2023-05,3722.0,11006,12514,26672,1077963,992201,137662,143790,171234,198014,254438
고양시,2023-04,4329.0,13576,12364,26672,1078025,992201,138144,143532,171862,197719,253504
고양시,2023-03,4029.0,13370,11819,26672,1077909,992201,138538,143322,172298,198123,251908
고양시,2023-02,4467.0,11680,9746,26672,1078087,992201,138923,143202,172795,198114,250576
고양시,2023-01,4126.0,1610,6951,26672,1077599,992201,139637,143181,172725,198039,249171
과천시,2023-12,535.0,3660,3712,1674,81000,83240,9503,12022,12474,13229,17887
과천시,2023-11,602.0,3332,3538,1674,81008,83240,9542,12043,12519,13181,17838
과천시,2023-10,740.0,3604,3738,1674,81143,83240,9582,12141,12554,13193,17774
과천시,2023-09,1123.0,5776,3535,1674,81332,83240,9654,12201,12600,13187,17777
과천시,2023-08,798.0,2638,2771,1674,81306,83240,9717,12166,12578,13205,17732
과천시,2023-07,658.0,2897,2832,1674,80855,83240,9714,12062,12480,13209,17670
과천시,2023-06,520.0,2746,2940,1674,79820,83240,9651,11780,12301,13167,17590
과천시,2023-05,506.0,2940,3146,1674,79397,83240,9607,11750,12196,13121,17515
과천시,2023-04,608.0,2935,3181,1674,78929,83240,9583,11701,12114,13017,17439
과천시,2023-03,688.0,2933,3561,1674,78654,83240,9614,11689,12056,12990,17316
과천시,2023-02,819.0,2626,3594,1674,78526,83240,9653,11656,12036,12972,17255
과천시,2023-01,982.0,5704,4197,1674,78341,83240,9740,11644,11948,12986,17133
광명시,2023-12,1474.0,2100,5453,7835,280197,249443,33150,36706,46273,48513,68751
