기준년월,시군명,총인구수,신규가입자수,월별충전액,월별사용액,가맹점수,생활인구수,인당사용액(생활),인당사용액(인구),20~29세,30~39세,40~49세,50~59세,60세 이상
2023-01,가평군,62114,717.0,3140,3540,3354,72214,49020,56991,5882,5382,7565,10860,25115
2023-02,가평군,62069,769.0,3032,3092,3354,72214,42817,49815,5836,5385,7554,10837,25164
2023-03,가평군,61969,3130.0,4284,3609,3354,72214,49976,58238,5802,5364,7537,10806,25214
2023-04,가평군,61915,855.0,3668,4057,3354,72214,56180,65525,5793,5325,7521,10730,25326
2023-05,가평군,61836,871.0,5064,3785,3354,72214,52413,61210,5754,5338,7472,10735,25372
2023-06,가평군,61771,883.0,4197,4043,3354,72214,55986,65451,5723,5324,7450,10729,25400
2023-07,가평군,61744,580.0,2682,2536,3354,72214,35117,41072,5738,5298,7424,10736,25454
2023-08,가평군,61773,473.0,3631,2392,3354,72214,33123,38722,5689,5315,7410,10715,25489
2023-09,가평군,61976,782.0,3113,2376,3354,72214,32902,38337,5681,5383,7438,10736,25587
2023-10,가평군,62125,555.0,2596,2335,3354,72214,32334,37585,5685,5415,7438,10767,25662
2023-11,가평군,62131,458.0,2368,2187,3354,72214,30284,35199,5677,5426,7435,10788,25686
2023-12,가평군,62302,484.0,4051,2140,3354,72214,29634,34348,5700,5437,7459,10845,25749
2023-02,고양시,1078087,4467.0,11680,9746,26672,992201,9822,9040,138923,143202,172795,198114,250576
2023-03,고양시,1077909,4029.0,13370,11819,26672,992201,11911,10964,138538,143322,172298,198123,251908
2023-04,고양시,1078025,4329.0,13576,12364,26672,992201,12461,11469,138144,143532,171862,197719,253504
2023-05,고양시,1077963,3722.0,11006,12514,26672,992201,12612,11608,137662,143790,171234,198014,254438
2023-06,고양시,1077742,2809.0,10175,11714,26672,992201,11806,10869,137177,143764,170927,198097,255340
2023-07,고양시,1077156,3811.0,14686,11992,26672,992201,12086,11133,136635,143651,170580,198047,256315
2023-08,고양시,1076655,3527.0,11057,11989,26672,992201,12083,11135,136030,143763,170201,197964,257274
2023-09,고양시,1076376,4207.0,10500,11022,26672,992201,11108,10239,135648,143858,169922,197872,258219
2023-10,고양시,1075898,4554.0,13499,11696,26672,992201,11787,10870,135320,143735,169470,197952,259116
2023-11,고양시,1075089,3247.0,14389,12450,26672,992201,12547,11580,134885,143554,169048,198243,259629
2023-01,과천시,78341,982.0,5704,4197,1674,83240,50420,53573,9740,11644,11948,12986,17133
2023-02,과천시,78526,819.0,2626,3594,1674,83240,43176,45768,9653,11656,12036,12972,17255
2023-03,과천시,78654,688.0,2933,3561,1674,83240,42779,45274,9614,11689,12056,12990,17316
2023-04,과천시,78929,608.0,2935,3181,1674,83240,38214,40302,9583,11701,12114,13017,17439
2023-05,과천시,79397,506.0,2940,3146,1674,83240,37794,39623,9607,11750,12196,13121,17515
2023-06,과천시,79820,520.0,2746,2940,1674,83240,35319,36832,9651,11780,12301,13167,17590
2023-07,과천시,80855,658.0,2897,2832,1674,83240,34022,35025,9714,12062,12480,13209,17670
2023-08,과천시,81306,798.0,2638,2771,1674,83240,33289,34081,9717,12166,12578,13205,17732
2023-09,과천시,81332,1123.0,5776,3535,1674,83240,42467,43463,9654,12201,12600,13187,17777
2023-10,과천시,81143,740.0,3604,3738,1674,83240,44906,46066,9582,12141,12554,13193,17774
2023-11,과천시,81008,602.0,3332,3538,1674,83240,42503,43674,9542,12043,12519,13181,17838
2023-12,과천시,81000,535.0,3660,3712,1674,83240,44593,45827,9503,12022,12474,13229,17887
2023-01,광명시,287603,2668.0,17080,12541,7835,249443,50276,43605,34817,38209,48412,48699,68154
2023-02,광명시,286584,2690.0,9573,11621,7835,249443,46587,40550,34582,37939,48188,48700,68222
2023-03,광명시,285198,12936.0,18333,13846,7835,249443,55507,48548,34267,37791,47837,48501,68203
2023-04,광명시,283849,20221.0,15752,17141,7835,249443,68717,60387,34009,37597,47497,48257,68196
2023-05,광명시,282786,7015.0,18861,17427,7835,249443,69863,61626,33867,37354,47202,48219,68122
2023-06,광명시,281821,3154.0,10419,14039,7835,249443,56281,49815,33701,37104,47007,48131,68074
2023-07,광명시,280986,2718.0,9721,11928,7835,249443,47818,42450,33552,36852,46788,48119,68114
2023-08,광명시,280414,2427.0,8529,10113,7835,249443,40542,36064,33427,36721,46591,48097,68259
2023-09,광명시,280129,2486.0,16970,12756,7835,249443,51137,45536,33360,36657,46497,48106,68380
2023-10,광명시,280270,2235.0,8983,11292,7835,249443,45268,40289,33293,36756,46453,48205,68540
2023-11,광명시,280287,1915.0,9298,9898,7835,249443,39680,35313,33240,36698,46430,48337,68637
2023-12,광명시,280197,1474.0,2100,5453,7835,249443,21860,19461,33150,36706,46273,48513,68751
2023-01,광주시,391225,2638.0,26982,23709,11204,354899,66804,60601,43369,53930,68845,66813,91982
2023-02,광주시,390950,2503.0,12312,17690,11204,354899,49845,45248,43038,53598,68913,66888,92426
2023-03,광주시,390949,2103.0,16317,18922,11204,354899,53316,48400,42803,53450,68817,66968,92888
2023-04,광주시,390863,1991.0,16112,17603,11204,354899,49600,45036,42607,53300,68724,66847,93401
2023-05,광주시,391053,1708.0,17582,16384,11204,354899,46165,41897,42473,53273,68678,67020,93700
2023-06,광주시,391477,1235.0,9267,6642,11204,354899,18715,16966,42337,53277,68700,67206,94082
2023-07,광주시,391791,1852.0,15317,14254,11204,354899,40163,36381,42205,53214,68711,67338,94471
2023-08,광주시,391986,1862.0,15239,14372,11204,354899,40496,36664,42073,53107,68685,67471,94882
2023-09,광주시,391917,1613.0,11394,8828,11204,354899,24874,22525,41899,52957,68638,67555,95257
2023-10,광주시,391760,1698.0,12414,10128,11204,354899,28537,25852,41787,52702,68587,67664,95646
2023-11,광주시,391432,1477.0,17709,17731,11204,354899,49960,45297,41595,52466,68606,67838,95869
2023-01,구리시,188550,1696.0,11045,9239,6281,176175,52442,49000,24220,24216,30538,34314,45555
2023-02,구리시,188436,2696.0,4726,5914,6281,176175,33568,31384,24124,24154,30491,34341,45726
2023-03,구리시,188709,1904.0,6468,7903,6281,176175,44858,41879,24087,24204,30466,34378,45964
2023-04,구리시,188671,1666.0,6415,7266,6281,176175,41243,38511,23953,24273,30369,34335,46256
2023-05,구리시,188525,1962.0,15132,9300,6281,176175,52788,49330,23851,24262,30255,34389,46397
2023-06,구리시,188348,1392.0,4649,7367,6281,176175,41816,39113,23736,24256,30161,34421,46510
2023-07,구리시,188224,1327.0,6336,7712,6281,176175,43774,40972,23639,24210,30118,34421,46678
2023-08,구리시,187984,1479.0,5675,6597,6281,176175,37445,35093,23524,24136,30056,34403,46824
2023-09,구리시,187836,1754.0,14831,8557,6281,176175,48571,45555,23451,24089,29991,34421,46972
2023-10,구리시,187620,1679.0,10079,9019,6281,176175,51193,48070,23387,24024,29914,34409,47085
2023-11,구리시,187284,1257.0,4394,7730,6281,176175,43876,41274,23237,23961,29826,34409,47179
2023-01,군포시,265999,2826.0,17910,15187,7369,244694,62065,57094,35042,36992,41062,46965,64079
2023-02,군포시,265648,2095.0,5408,9314,7369,244694,38063,35061,34872,36846,40981,46970,64363
2023-03,군포시,265252,1532.0,6140,7520,7369,244694,30732,28350,34741,36797,40758,46934,64669
2023-04,군포시,264857,1667.0,11202,9883,7369,244694,40389,37314,34579,36737,40553,46896,64986
2023-05,군포시,264624,1347.0,10575,10521,7369,244694,42996,39758,34425,36688,40390,46928,65235
2023-06,군포시,264230,1279.0,9909,10070,7369,244694,41153,38110,34231,36654,40231,46944,65383
2023-07,군포시,264230,1569.0,12145,11034,7369,244694,45093,41759,1105,3048,2306,1071,619
2023-08,군포시,264230,1736.0,10295,11126,7369,244694,45469,42107,1113,3082,2343,1112,627
2023-09,군포시,264230,1995.0,13090,9386,7369,244694,38358,35522,1106,3116,2384,1133,637
2023-10,군포시,262587,1716.0,8270,9571,7369,244694,39114,36448,33725,36104,39688,46937,66217
2023-11,군포시,261898,1337.0,8125,8968,7369,244694,36649,34242,33558,35874,39497,47010,66319
2023-12,군포시,261229,1332.0,8678,9180,7369,244694,37516,35141,33421,35657,39333,47043,66429
2023-01,김포시,484725,6250.0,14882,21775,14172,469345,46394,44922,50336,69635,93813,70733,99280
2023-02,김포시,484536,3245.0,10589,15272,14172,469345,32538,31518,50132,69105,93948,70930,99796
2023-03,김포시,484514,3251.0,11448,13784,14172,469345,29368,28449,50005,68913,93762,71112,100332
2023-04,김포시,484474,2286.0,13871,12927,14172,469345,27542,26682,49883,68663,93806,71140,100891
2023-05,김포시,485049,0.0,12333,11383,14172,469345,24252,23467,49797,68525,93913,71460,101322
2023-06,김포시,485721,0.0,10570,10606,14172,469345,22597,21835,49866,68394,94015,71706,101789
2023-07,김포시,486122,0.0,11564,10489,14172,469345,22348,21576,49797,68252,94102,71810,102250
2023-08,김포시,486029,0.0,12540,10011,14172,469345,21329,20597,49624,67966,94161,71963,102685
2023-09,김포시,485943,12549.0,17092,14398,14172,469345,30676,29628,49556,67599,94250,72096,103018
2023-10,김포시,486008,0.0,11750,13489,14172,469345,28740,27754,49531,67314,94295,72250,103421
2023-11,김포시,486126,1491.0,11452,12226,14172,469345,26049,25149,49436,67089,94340,72528,103667
2023-02,남양주시,736484,5438.0,17637,19402,20530,653388,29694,26344,83627,87313,131499,125456,170705
2023-03,남양주시,735649,4992.0,21246,21134,20530,653388,32345,28728,83311,87012,131127,125532,171391
2023-04,남양주시,735521,5533.0,21941,20681,20530,653388,31651,28117,83150,86952,130826,125477,172244
2023-05,남양주시,734990,4308.0,21124,22074,20530,653388,33783,30033,82884,86667,130387,125760,172791
2023-06,남양주시,734460,3866.0,20639,20589,20530,653388,31511,28032,82764,86407,130000,125997,173156
2023-07,남양주시,733625,4182.0,21278,20539,20530,653388,31434,27996,82384,86079,129643,126129,173671
2023-08,남양주시,733002,4597.0,19229,19842,20530,653388,30367,27069,82116,85850,129347,126210,174148
2023-09,남양주시,732376,5290.0,26877,22147,20530,653388,33895,30239,81832,85572,129144,126307,174654
2023-10,남양주시,732122,4513.0,19986,21814,20530,653388,33385,29795,81745,85310,128836,126493,175278
2023-11,남양주시,732086,3677.0,19598,20048,20530,653388,30683,27384,81674,85125,128603,126933,175716
2023-01,동두천시,91255,616.0,2254,2398,3308,86257,27800,26278,10310,9416,13062,16238,28846
2023-02,동두천시,90883,478.0,1395,1639,3308,86257,19001,18034,10230,9319,12989,16217,28908
2023-03,동두천시,90582,448.0,1649,1821,3308,86257,21111,20103,10132,9213,12915,16185,29004
2023-04,동두천시,90460,512.0,1896,1789,3308,86257,20740,19776,10098,9148,12849,16172,29111
2023-05,동두천시,90099,253.0,2347,1746,3308,86257,20241,19378,10014,9079,12739,16162,29166
2023-06,동두천시,89669,420.0,2176,2104,3308,86257,24392,23464,9928,8998,12640,16092,29196
2023-07,동두천시,89316,434.0,2205,1969,3308,86257,22827,22045,9848,8923,12565,16053,29236
2023-08,동두천시,89174,569.0,2318,1956,3308,86257,22676,21934,9763,8911,12508,16036,29338
2023-09,동두천시,89037,672.0,2529,2415,3308,86257,27997,27123,9720,8889,12472,15999,29407
2023-10,동두천시,88820,603.0,2263,2027,3308,86257,23499,22821,9706,8846,12383,16011,29425
2023-11,동두천시,88787,440.0,2101,1886,3308,86257,21864,21241,9689,8877,12334,16024,29457
2023-12,동두천시,88626,519.0,2001,1701,3308,86257,19720,19193,9650,8855,12232,16052,29528
2023-01,부천시,788935,6194.0,25458,27740,26036,763602,36327,35161,103814,108513,121544,140693,199786
2023-02,부천시,787673,5224.0,18752,22548,26036,763602,29528,28626,103193,108039,121323,140549,200606
2023-03,부천시,787813,4209.0,22423,23428,26036,763602,30680,29738,102850,108273,121109,140297,201646
2023-04,부천시,788179,4395.0,21644,22090,26036,763602,28928,28026,102561,108520,120940,139976,202753
2023-05,부천시,787821,3032.0,19693,21539,26036,763602,28207,27339,102153,108589,120552,140013,203409
2023-06,부천시,787267,2806.0,18856,19710,26036,763602,25811,25035,101713,108498,120322,139981,203935
2023-07,부천시,786469,3511.0,21689,20233,26036,763602,26496,25726,101201,108293,120153,139842,204514
