기준년월,시군명,총인구수,신규가입자수,월별충전액,월별사용액,가맹점수,생활인구수,인당사용액(생활)
2023-01,가평군,62114,717.0,3140,3540,3354,72214,49020
2023-02,가평군,62069,769.0,3032,3092,3354,72214,42817
2023-03,가평군,61969,3130.0,4284,3609,3354,72214,49976
2023-04,가평군,61915,855.0,3668,4057,3354,72214,56180
2023-05,가평군,61836,871.0,5064,3785,3354,72214,52413
2023-06,가평군,61771,883.0,4197,4043,3354,72214,55986
2023-07,가평군,61744,580.0,2682,2536,3354,72214,35117
2023-08,가평군,61773,473.0,3631,2392,3354,72214,33123
2023-09,가평군,61976,782.0,3113,2376,3354,72214,32902
2023-10,가평군,62125,555.0,2596,2335,3354,72214,32334
2023-11,가평군,62131,458.0,2368,2187,3354,72214,30284
2023-12,가평군,62302,484.0,4051,2140,3354,72214,29634
2023-02,고양시,1078087,4467.0,11680,9746,26672,992201,9822
2023-03,고양시,1077909,4029.0,13370,11819,26672,992201,11911
2023-04,고양시,1078025,4329.0,13576,12364,26672,992201,12461
2023-05,고양시,1077963,3722.0,11006,12514,26672,992201,12612
2023-06,고양시,1077742,2809.0,10175,11714,26672,992201,11806
2023-07,고양시,1077156,3811.0,14686,11992,26672,992201,12086
2023-08,고양시,1076655,3527.0,11057,11989,26672,992201,12083
2023-09,고양시,1076376,4207.0,10500,11022,26672,992201,11108
2023-10,고양시,1075898,4554.0,13499,11696,26672,992201,11787
2023-11,고양시,1075089,3247.0,14389,12450,26672,992201,12547
2023-01,과천시,78341,982.0,5704,4197,1674,83240,50420
2023-02,과천시,78526,819.0,2626,3594,1674,83240,43176
2023-03,과천시,78654,688.0,2933,3561,1674,83240,42779
2023-04,과천시,78929,608.0,2935,3181,1674,83240,38214
2023-05,과천시,79397,506.0,2940,3146,1674,83240,37794
2023-06,과천시,79820,520.0,2746,2940,1674,83240,35319
2023-07,과천시,80855,658.0,2897,2832,1674,83240,34022
2023-08,과천시,81306,798.0,2638,2771,1674,83240,33289
2023-09,과천시,81332,1123.0,5776,3535,1674,83240,42467
2023-10,과천시,81143,740.0,3604,3738,1674,83240,44906
2023-11,과천시,81008,602.0,3332,3538,1674,83240,42503
2023-12,과천시,81000,535.0,3660,3712,1674,83240,44593
2023-01,광명시,287603,2668.0,17080,12541,7835,249443,50276
