,기준년월,시군명,20~29세,30~39세,40~49세,50~59세,60세 이상
0,2023-01,가평군,5882,5382,7565,10860,25115
1,2023-01,고양시,139637,143181,172725,198039,249171
2,2023-01,과천시,9740,11644,11948,12986,17133
3,2023-01,광명시,34817,38209,48412,48699,68154
4,2023-01,광주시,43369,53930,68845,66813,91982
5,2023-01,구리시,24220,24216,30538,34314,45555
6,2023-01,군포시,35042,36992,41062,46965,64079
7,2023-01,김포시,50336,69635,93813,70733,99280
8,2023-01,남양주시,83916,87953,131626,125133,170012
9,2023-01,동두천시,10310,9416,13062,16238,28846
10,2023-01,부천시,103814,108513,121544,140693,199786
11,2023-01,성남시,120923,134189,150234,154532,216847
12,2023-01,수원시,179439,180626,198160,199176,232740
13,2023-01,시흥시,66134,75703,92984,90511,91954
14,2023-01,안산시,99034,83844,98988,126133,136018
15,2023-01,안성시,22454,21889,29748,32129,52859
16,2023-01,안양시,71142,78830,84389,95125,131762
17,2023-01,양주시,27836,29448,40742,41458,61212
18,2023-01,양평군,10095,10378,16131,21071,48268
19,2023-01,여주시,11499,11095,15730,20030,38998
20,2023-01,연천군,4780,3969,4516,6748,16803
21,2023-01,오산시,29861,35722,44580,35059,39542
22,2023-01,용인시,134456,135236,194150,177294,225599
23,2023-01,의왕시,20950,22183,23406,28523,39360
24,2023-01,의정부시,61909,60143,72119,81484,115476
25,2023-01,이천시,30101,30412,35010,35815,52695
26,2023-01,파주시,58749,69505,84715,80292,108328
27,2023-01,평택시,77753,89493,100247,94590,113222
28,2023-01,포천시,17039,14305,18560,28452,49492
29,2023-01,하남시,36798,52262,59994,47086,67856
30,2023-01,화성시,109773,150480,179194,130278,141374
31,2023-02,가평군,5836,5385,7554,10837,25164
32,2023-02,고양시,138923,143202,172795,198114,250576
33,2023-02,과천시,9653,11656,12036,12972,17255
34,2023-02,광명시,34582,37939,48188,48700,68222
35,2023-02,광주시,43038,53598,68913,66888,92426
36,2023-02,구리시,24124,24154,30491,34341,45726
37,2023-02,군포시,34872,36846,40981,46970,64363
38,2023-02,김포시,50132,69105,93948,70930,99796
39,2023-02,남양주시,83627,87313,131499,125456,170705
40,2023-02,동두천시,10230,9319,12989,16217,28908
41,2023-02,부천시,103193,108039,121323,140549,200606
42,2023-02,성남시,120396,133964,150366,154481,217790
43,2023-02,수원시,179175,180580,198395,199378,234012
44,2023-02,시흥시,65835,75811,93407,90789,92693
45,2023-02,안산시,98515,83369,98623,126079,136792
46,2023-02,안성시,22392,21828,29719,32177,53099
47,2023-02,안양시,70799,78571,84360,95053,132405
48,2023-02,양주시,28039,30095,41314,41813,61742
49,2023-02,양평군,9988,10344,16094,21083,48532
50,2023-02,여주시,11438,11047,15736,20012,39165
51,2023-02,연천군,4730,3936,4483,6716,16874
52,2023-02,오산시,29807,35451,44614,35156,39694
53,2023-02,용인시,133913,134477,194095,177785,226637
54,2023-02,의왕시,20756,22104,23346,28433,39547
55,2023-02,의정부시,61579,59938,72035,81562,115949
56,2023-02,이천시,29967,30339,35015,35883,52937
57,2023-02,파주시,58392,69312,84908,80636,108893
58,2023-02,평택시,77557,89701,100732,94882,113780
59,2023-02,포천시,16923,14137,18477,28398,49675
60,2023-02,하남시,36618,52010,60229,47246,68176
61,2023-02,화성시,109856,150834,180450,131143,142350
62,2023-03,가평군,5802,5364,7537,10806,25214
63,2023-03,고양시,138538,143322,172298,198123,251908
64,2023-03,과천시,9614,11689,12056,12990,17316
65,2023-03,광명시,34267,37791,47837,48501,68203
66,2023-03,광주시,42803,53450,68817,66968,92888
67,2023-03,구리시,24087,24204,30466,34378,45964
68,2023-03,군포시,34741,36797,40758,46934,64669
69,2023-03,김포시,50005,68913,93762,71112,100332
70,2023-03,남양주시,83311,87012,131127,125532,171391
71,2023-03,동두천시,10132,9213,12915,16185,29004
72,2023-03,부천시,102850,108273,121109,140297,201646
73,2023-03,성남시,120006,134131,149734,154406,218567
74,2023-03,수원시,178882,180722,197745,199356,235271
75,2023-03,시흥시,66030,76250,93615,90937,93542
76,2023-03,안산시,98050,83303,98029,125823,137637
77,2023-03,안성시,22351,21787,29577,32194,53348
78,2023-03,안양시,70572,78637,84076,94944,133020
79,2023-03,양주시,28195,30622,41579,42104,62411
80,2023-03,양평군,9948,10349,16073,21090,48846
81,2023-03,여주시,11388,11040,15650,20029,39335
