기준년월,시군명,총인구수,신규가입자수,월별충전액,월별사용액,인센티브,월지급한도,가맹점수
2023-12,가평군,62302,484.0,4051,2140,0.1,60000,3354
2023-11,가평군,62131,458.0,2368,2187,0.1,60000,3354
2023-10,가평군,62125,555.0,2596,2335,0.1,60000,3354
2023-09,가평군,61976,782.0,3113,2376,0.1,60000,3354
2023-08,가평군,61773,473.0,3631,2392,0.1,600000,3354
2023-07,가평군,61744,580.0,2682,2536,0.1,600000,3354
2023-06,가평군,61771,883.0,4197,4043,0.1,500000,3354
2023-05,가평군,61836,871.0,5064,3785,0.1,500000,3354
2023-04,가평군,61915,855.0,3668,4057,0.1,500000,3354
2023-03,가평군,61969,3130.0,4284,3609,0.1,500000,3354
2023-02,가평군,62069,769.0,3032,3092,0.1,50000,3354
2023-01,가평군,62114,717.0,3140,3540,0.1,50000,3354
2023-11,고양시,1075089,3247.0,14389,12450,0.07,21000,26672
2023-10,고양시,1075898,4554.0,13499,11696,0.07,14000,26672
2023-09,고양시,1076376,4207.0,10500,11022,0.07,14000,26672
2023-08,고양시,1076655,3527.0,11057,11989,0.07,14000,26672
2023-07,고양시,1077156,3811.0,14686,11992,0.07,14000,26672
2023-06,고양시,1077742,2809.0,10175,11714,0.06,12000,26672
2023-05,고양시,1077963,3722.0,11006,12514,0.06,12000,26672
2023-04,고양시,1078025,4329.0,13576,12364,0.06,12000,26672
2023-03,고양시,1077909,4029.0,13370,11819,0.06,12000,26672
2023-02,고양시,1078087,4467.0,11680,9746,0.06,12000,26672
2023-12,과천시,81000,535.0,3660,3712,0.07,28000,1674
2023-11,과천시,81008,602.0,3332,3538,0.07,28000,1674
2023-10,과천시,81143,740.0,3604,3738,0.07,28000,1674
2023-09,과천시,81332,1123.0,5776,3535,0.1,30000,1674
2023-08,과천시,81306,798.0,2638,2771,0.06,12000,1674
2023-07,과천시,80855,658.0,2897,2832,0.06,12000,1674
2023-06,과천시,79820,520.0,2746,2940,0.06,12000,1674
2023-05,과천시,79397,506.0,2940,3146,0.06,12000,1674
2023-04,과천시,78929,608.0,2935,3181,0.06,12000,1674
2023-03,과천시,78654,688.0,2933,3561,0.06,12000,1674
2023-02,과천시,78526,819.0,2626,3594,0.06,12000,1674
2023-01,과천시,78341,982.0,5704,4197,0.1,30000,1674
2023-12,광명시,280197,1474.0,2100,5453,0.0,0,7835
2023-11,광명시,280287,1915.0,9298,9898,0.1,20000,7835
2023-10,광명시,280270,2235.0,8983,11292,0.1,20000,7835
2023-09,광명시,280129,2486.0,16970,12756,0.1,50000,7835
2023-08,광명시,280414,2427.0,8529,10113,0.1,20000,7835
2023-07,광명시,280986,2718.0,9721,11928,0.1,20000,7835
2023-06,광명시,281821,3154.0,10419,14039,0.1,30000,7835
2023-05,광명시,282786,7015.0,18861,17427,0.1,70000,7835
2023-04,광명시,283849,20221.0,15752,17141,0.1,30000,7835
2023-03,광명시,285198,12936.0,18333,13846,0.1,40000,7835
2023-02,광명시,286584,2690.0,9573,11621,0.1,40000,7835
2023-01,광명시,287603,2668.0,17080,12541,0.1,100000,7835
2023-11,광주시,391432,1477.0,17709,17731,0.07,49000,11204
2023-10,광주시,391760,1698.0,12414,10128,0.07,49000,11204
2023-09,광주시,391917,1613.0,11394,8828,0.1,50000,11204
2023-08,광주시,391986,1862.0,15239,14372,0.06,30000,11204
2023-07,광주시,391791,1852.0,15317,14254,0.06,30000,11204
2023-06,광주시,391477,1235.0,9267,6642,0.06,30000,11204
2023-05,광주시,391053,1708.0,17582,16384,0.06,30000,11204
2023-04,광주시,390863,1991.0,16112,17603,0.06,30000,11204
2023-03,광주시,390949,2103.0,16317,18922,0.06,30000,11204
2023-02,광주시,390950,2503.0,12312,17690,0.06,30000,11204
2023-01,광주시,391225,2638.0,26982,23709,0.1,100000,11204
2023-11,구리시,187284,1257.0,4394,7730,0.07,35000,6281
2023-10,구리시,187620,1679.0,10079,9019,0.1,100000,6281
2023-09,구리시,187836,1754.0,14831,8557,0.1,100000,6281
2023-08,구리시,187984,1479.0,5675,6597,0.07,35000,6281
2023-07,구리시,188224,1327.0,6336,7712,0.07,35000,6281
2023-06,구리시,188348,1392.0,4649,7367,0.07,35000,6281
2023-05,구리시,188525,1962.0,15132,9300,0.1,100000,6281
2023-04,구리시,188671,1666.0,6415,7266,0.07,35000,6281
2023-03,구리시,188709,1904.0,6468,7903,0.07,35000,6281
2023-02,구리시,188436,2696.0,4726,5914,0.07,35000,6281
2023-01,구리시,188550,1696.0,11045,9239,0.1,100000,6281
2023-12,군포시,261229,1332.0,8678,9180,0.07,49000,7369
2023-11,군포시,261898,1337.0,8125,8968,0.07,49000,7369
2023-10,군포시,262587,1716.0,8270,9571,0.07,49000,7369
2023-09,군포시,10304,1995.0,13090,9386,0.1,40000,7369
2023-08,군포시,10198,1736.0,10295,11126,0.07,35000,7369
2023-07,군포시,10035,1569.0,12145,11034,0.07,35000,7369
2023-06,군포시,264230,1279.0,9909,10070,0.06,24000,7369
2023-05,군포시,264624,1347.0,10575,10521,0.06,24000,7369
2023-04,군포시,264857,1667.0,11202,9883,0.06,24000,7369
2023-03,군포시,265252,1532.0,6140,7520,0.06,6000,7369
2023-02,군포시,265648,2095.0,5408,9314,0.06,6000,7369
2023-01,군포시,265999,2826.0,17910,15187,0.1,40000,7369
2023-11,김포시,486126,1491.0,11452,12226,0.06,12000,14172
2023-09,김포시,485943,12549.0,17092,14398,0.1,20000,14172
2023-04,김포시,484474,2286.0,13871,12927,0.06,12000,14172
2023-03,김포시,484514,3251.0,11448,13784,0.06,12000,14172
2023-02,김포시,484536,3245.0,10589,15272,0.06,12000,14172
2023-01,김포시,484725,6250.0,14882,21775,0.06,12000,14172
