시군명,기준년월,신규가입자수,충전액,사용액,누적가입자수,가입자수당충전액,가입자수당사용액,전달 대비 충전액,전달 대비 사용액,총인구수,인센티브,월지급한도,가맹점수,인구수당충전액
가평군,2023-01,717,3140,3540,39987,78525,88528,-460,-456,62114,0.1,50000,3354,50552
가평군,2023-02,769,3032,3092,40756,74393,75866,-108,-448,62069,0.1,50000,3354,48848
가평군,2023-03,3130,4284,3609,43886,97616,82235,1252,517,61969,0.1,500000,3354,69131
가평군,2023-04,855,3668,4057,44741,81982,90677,-616,448,61915,0.1,500000,3354,59242
가평군,2023-05,871,5064,3785,45612,111023,82982,1396,-272,61836,0.1,500000,3354,81894
가평군,2023-06,883,4197,4043,46495,90267,86955,-867,258,61771,0.1,500000,3354,67944
가평군,2023-07,580,2682,2536,47075,56972,53871,-1515,-1507,61744,0.1,600000,3354,43437
가평군,2023-08,473,3631,2392,47548,76364,50307,949,-144,61773,0.1,600000,3354,58779
가평군,2023-09,782,3113,2376,48330,64411,49162,-518,-16,61976,0.1,60000,3354,50229
가평군,2023-10,555,2596,2335,48885,53104,47765,-517,-41,62125,0.1,60000,3354,41786
가평군,2023-11,458,2368,2187,49343,47990,44322,-228,-148,62131,0.1,60000,3354,38113
가평군,2023-12,484,4051,2140,49827,81301,42948,1683,-47,62302,0.1,60000,3354,65021
고양시,2023-02,4467,11680,9746,616788,18936,15801,10070,2795,1078087,0.06,12000,26672,10834
고양시,2023-03,4029,13370,11819,620817,21536,19037,1690,2073,1077909,0.06,12000,26672,12403
고양시,2023-04,4329,13576,12364,625146,21716,19777,206,545,1078025,0.06,12000,26672,12593
고양시,2023-05,3722,11006,12514,628868,17501,19899,-2570,150,1077963,0.06,12000,26672,10209
고양시,2023-06,2809,10175,11714,631677,16107,18544,-831,-800,1077742,0.06,12000,26672,9441
고양시,2023-07,3811,14686,11992,635488,23109,18870,4511,278,1077156,0.07,14000,26672,13634
고양시,2023-08,3527,11057,11989,639015,17303,18761,-3629,-3,1076655,0.07,14000,26672,10269
고양시,2023-09,4207,10500,11022,643222,16324,17135,-557,-967,1076376,0.07,14000,26672,9754
고양시,2023-10,4554,13499,11696,647776,20838,18055,2999,674,1075898,0.07,14000,26672,12546
고양시,2023-11,3247,14389,12450,651023,22102,19123,890,754,1075089,0.07,21000,26672,13384
과천시,2023-01,982,5704,4197,74591,76470,56266,2085,575,78341,0.1,30000,1674,72809
과천시,2023-02,819,2626,3594,75410,34822,47659,-3078,-603,78526,0.06,12000,1674,33441
과천시,2023-03,688,2933,3561,76098,38542,46794,307,-33,78654,0.06,12000,1674,37289
과천시,2023-04,608,2935,3181,76706,38262,41470,2,-380,78929,0.06,12000,1674,37185
과천시,2023-05,506,2940,3146,77212,38076,40744,5,-35,79397,0.06,12000,1674,37029
과천시,2023-06,520,2746,2940,77732,35326,37822,-194,-206,79820,0.06,12000,1674,34402
과천시,2023-07,658,2897,2832,78390,36956,36127,151,-108,80855,0.06,12000,1674,35829
과천시,2023-08,798,2638,2771,79188,33313,34992,-259,-61,81306,0.06,12000,1674,32445
과천시,2023-09,1123,5776,3535,80311,71920,44016,3138,764,81332,0.1,30000,1674,71017
과천시,2023-10,740,3604,3738,81051,44465,46119,-2172,203,81143,0.07,28000,1674,44415
과천시,2023-11,602,3332,3538,81653,40806,43329,-272,-200,81008,0.07,28000,1674,41131
과천시,2023-12,535,3660,3712,82188,44532,45164,328,174,81000,0.07,28000,1674,45185
광명시,2023-01,2668,17080,12541,196477,86931,63829,5891,1820,287603,0.1,100000,7835,59387
광명시,2023-02,2690,9573,11621,199167,48065,58348,-7507,-920,286584,0.1,40000,7835,33403
광명시,2023-03,12936,18333,13846,212103,86434,65279,8760,2225,285198,0.1,40000,7835,64281
광명시,2023-04,20221,15752,17141,232324,67801,73780,-2581,3295,283849,0.1,30000,7835,55494
광명시,2023-05,7015,18861,17427,239339,78804,72813,3109,286,282786,0.1,70000,7835,66697
광명시,2023-06,3154,10419,14039,242493,42966,57894,-8442,-3388,281821,0.1,30000,7835,36970
광명시,2023-07,2718,9721,11928,245211,39643,48643,-698,-2111,280986,0.1,20000,7835,34596
광명시,2023-08,2427,8529,10113,247638,34441,40837,-1192,-1815,280414,0.1,20000,7835,30415
광명시,2023-09,2486,16970,12756,250124,67846,50998,8441,2643,280129,0.1,50000,7835,60579
광명시,2023-10,2235,8983,11292,252359,35596,44745,-7987,-1464,280270,0.1,20000,7835,32051
광명시,2023-11,1915,9298,9898,254274,36566,38926,315,-1394,280287,0.1,20000,7835,33173
광명시,2023-12,1474,2100,5453,255748,8211,21321,-7198,-4445,280197,0.0,0,7835,7494
광주시,2023-01,2638,26982,23709,332786,81079,71243,-3239,188,391225,0.1,100000,11204,68967
광주시,2023-02,2503,12312,17690,335289,36720,52760,-14670,-6019,390950,0.06,30000,11204,31492
광주시,2023-03,2103,16317,18922,337392,48362,56083,4005,1232,390949,0.06,30000,11204,41736
