merchant,category,star,address,oper_time,starCount,reviewCount
피오니 홍대점,카페,3.8,서울마포구 독막로7길51 1층(우)04043,"매일 12:00 ~ 21:00

매일 라스트오더 ~ 20:30",274,642
943킹스크로스,테마카페,4.1,"서울마포구 양화로16길24 지하1층,1~4층(우)04039","월~목 11:30 ~ 21:30

금~일 10:00 ~ 21:30",360,191
카미야,"돈까스,우동",4.2,서울마포구 와우산로21길28-6 지하1층(우)04040,"매일 11:00 ~ 21:30

매일 라스트오더 ~ 21:00",191,426
우와 홍대본점,일식,3.4,서울마포구 와우산로21길21-16 2층202호(우)04041,매일 12:00 ~ 22:00월~금 휴게시간 14:30 ~ 17:00,168,624
칸다소바 홍대점,일본식라면,4.3,서울마포구 와우산로51-6 1층(우)04049,"매일 10:30 ~ 21:30

월~토 휴게시간 16:00 ~ 17:00

일 휴게시간 15:30 ~ 17:00",280,439
감성타코 홍대점,"멕시칸,브라질",3.5,서울마포구 와우산로21길20-11 2층(우)04040,"월~금 11:30 ~ 22:00

토,일 12:00 ~ 22:00

월~금 휴게시간 16:00 ~ 17:00",134,804
맛이차이나,중국요리,3.6,서울마포구 독막로68 2층(우)04074,매일 11:30 ~ 22:00월~금 휴게시간 16:00 ~ 17:00,151,178
강강술래 홍대점,한식,3.8,"서울마포구 잔다리로6길25 1,2층(우)04039",매일 11:00 ~ 22:00,23,30
홍대 조선시대,한식,4.7,서울마포구 홍익로3길44 지하1층(우)04039,"월,화,수,목,일 17:30 ~ 03:00

금,토 17:30 ~ 04:00",498,118
비스트로주라,양식,4.4,서울마포구 와우산로23길18-7 1층(우)04054,매일 11:30 ~ 21:00월~금 휴게시간 15:10 ~ 17:00,194,120
땡스네이쳐,카페,4.2,서울마포구 홍익로10 푸르지오상가지하1층121호(우)04055,매일 12:00 ~ 21:00,80,48
프리모바치오바치 홍대본점,이탈리안,3.9,"서울마포구 와우산로23길44 2,3층(우)04055","매일 11:00 ~ 23:00

매일 라스트오더 ~ 22:00",141,239
하카타분코,일본식라면,3.0,서울마포구 독막로19길43 1층(우)04068,매일 11:30 ~ 03:00,280,387
츠케루,일본식라면,4.5,서울마포구 와우산로23길9 칼리오페1층102호(우)04055,매일 11:30 ~ 21:30,925,260
가미우동,"돈까스,우동",4.4,서울마포구 홍익로2길23 1층2호(우)04055,"화~일 11:30 ~ 20:30

화~일 라스트오더 ~ 20:00

화~일 휴게시간 15:00 ~ 17:00",322,360
테이스티버거,햄버거,3.6,서울마포구 독막로67-11 행운빌딩1층(우)04049,"화~일 11:30 ~ 22:00

화~일 휴게시간 15:00 ~ 16:30",134,278
진진,중식,3.5,서울마포구 월드컵북로1길60 1층(우)04031,매일 11:30 ~ 21:30매일 휴게시간 15:00 ~ 17:00,59,116
정돈,"돈까스,우동",4.4,서울마포구 어울마당로46 1층(우)04049,매일 11:30 ~ 20:30매일 휴게시간 14:30 ~ 17:00,199,91
여우골 홍대점,"초밥,롤",4.1,서울마포구 와우산로19길9 (우)04041,매일 11:00 ~ 22:00,134,136
하이디라오 홍대지점,중국요리,4.2,서울마포구 양화로176 와이즈파크5층(우)04051,매일 10:00 ~ 03:00,177,681
마녀주방 홍대점,양식,4.1,"서울마포구 와우산로21길36-10 1,2층(우)04040","매일 12:00 ~ 21:30
(매장 상황에 따라 상이하게 변동이 있을 수 있는 점 양해 부탁드립니다.)

매일 라스트오더 ~ 20:30",80,192
콜린,테마카페,3.8,"서울마포구 어울마당로45 1,2층(우)04048",매일 10:30 ~ 23:00,100,382
어반플랜트 합정,카페,4.2,서울마포구 독막로4길3 1~3층(우)04072,매일 10:00 ~ 22:00,324,1157
오레노라멘 합정본점,일본식라면,4.4,서울마포구 독막로6길14 (우)04072,매일 11:00 ~ 21:00,705,403
개화기요정,일본식주점,2.3,서울마포구 독막로7길22 (우)04048,"월~금 17:00 ~ 02:00

토,일 17:00 ~ 03:00",42,197
비스트로사랑방,이탈리안,4.0,서울마포구 와우산로15길40 2층(우)04049,"매일 12:00 ~ 22:00

매일 휴게시간 15:00 ~ 17:00",61,821
더담,한정식,3.2,서울마포구 와우산로29길44 2층201호(우)04052,"매일 12:00 ~ 20:40

매일 라스트오더 ~ 20:00

월~토 휴게시간 14:50 ~ 17:00",31,567
짬뽕지존 홍대점,중국요리,3.3,서울마포구 어울마당로44-1 보리수빌딩1층(우)04049,매일 00:00 ~ 24:00,36,74
아오이토리,"제과,베이커리",4.0,서울마포구 와우산로29길8 KC빌딩1층(우)04052,매일 09:00 ~ 21:00,238,454
냉장고,"육류,고기",4.7,서울마포구 와우산로23 규민빌딩1층102호(우)04074,화~일 15:00 ~ 22:00,131,123
황곱 홍대점,"곱창,막창",4.7,서울마포구 어울마당로149 1층(우)04051,"월,화,수,목,일 17:00 ~ 23:00

금,토 15:00 ~ 24:00",1635,313
삼거리포차,실내포장마차,2.8,서울마포구 와우산로70 (우)04067,0,28,2
미어캣프랜즈,테마카페,2.5,서울마포구 와우산로21길20 2층(우)04040,매일 13:30 ~ 20:00,59,50
지로우라멘,일본식라면,4.0,서울마포구 와우산로29가길79 (우)04054,매일 11:00 ~ 21:30매일 휴게시간 15:00 ~ 17:00,308,217
