user_name,user_rank,num_response,user_star,time,rating,content
왱알왱알,22,43,4.2,2024.04.21.,5.0,움파룸파 덕에 행복했다...
기ㅁ지으ㄴ,64,176,4.0,2024.04.08.,2.0,양을 만지고 볼 수 있는 색다른 카페인 건 좋았으나 와플은 사진과 가격에 비해 그닥 만족스럽지 않았다. 다음에 온다면 굳이 안먹을 거 같다. 음료는 낫배드
구름,37,202,3.4,2024.03.13.,4.0,와플 맛있어요!
Bomg,22,45,2.5,2024.03.03.,1.0,"양이 시멘트 바닥에 있고 앉아만 있어서,, 행복해 보이지가 않았어요 ㅠㅠ 이렇게 구경거리 하다가 나중에 나이들면 양고기로 팔리나요..? ㅠㅠ"
최준섭,4,8,4.3,2024.03.02.,5.0,
제기동맨,33,216,3.5,2024.02.06.,4.0,솔지기 양 없어더 카페만으로도 올 수 이스듯...생각보다 양은 그냥.그럼
kjw,16,34,3.1,2024.01.30.,5.0,괜찮은 곳
김규백,23,33,4.5,2024.01.29.,5.0,"서울 도심 속 귀여운 양을 볼 수 있는 카페. 어쩌구 저쩌구 외신이 선정한 서울이 아시아에서 가장 멋진 25가지 이유 중 하나인 카페. 온 세상이 양이다. 이른바 “양 카페”  대관령 양떼 목장에서 왜소하고 적응 못하는 양 두 마리가 땡스네이처 카페에 온다. 그렇게 얼마간 홍대의 땡스네이처에서 지내다 대관령으로 돌아가는 양들은 눈에 띄게 건장하고 뽀얗다.  재작년 봄에 이어 두 번째 방문했다. 재작년 봄의 양두 마리가 모두 내 발 앞에 와서 앉았을 때의 짜릿함을 잊을 수 없다. 올해는 양들이 앉아서 되새김질 하는 것만 한창 구경하다 왔다.   양들이 볼일 본 후 “메에”하고 울면 양을 닮은 사장님이 와서 치우신다. 진풍경이다.  카페로서의 메뉴 다양성, 맛도 훌륭하다. 근데 그런 건 중요하지 않다."
김춘식,28,190,3.8,2024.01.23.,4.0,힐링 조지러 가기 좋은 카페양들이 생각보다 엄청 조용하고 순둥해서 신기했다음료 및 디저트는 전체적으로 무난한 편
Pamplemousse,12,12,3.7,2024.01.14.,4.0,"한국에 살던 미국절친이 남편과 아이랑 한국 방문 했을때 같이 갔습니다. 방문은 남친이랑 한번 갔었고 2번 방문 했습니다. 양이랑 같이 사진도 찍고 커피, 차도 맛 괜찮습니다. 독특한 곳이라 가볼만 합니다."
