user_name,user_rank,num_response,user_star,time,rating,content
2018.05.10,22,58,2.5,2024.04.21.,5.0,"까페에서 책 읽기를 좋아하는 사람인데요. 매우 쾌적하고 음악으로, 다른 손님 때문에 방해받은 적이 단 한번도 없던 유일한 곳입니다. 커피 메뉴는 리필이 되기 때문에 사실 한두시간 앉아서 책을 읽기에 너무나 합리적인 가격이라 생각이 들고요. 직원분도 자주 가다보면 익숙해져서 불친절하다고 생각들지 않습니다. 오히려 손님들이 책을 방해받지 않고 읽을 수 있도록 공간 문화를 만드는 노력과 세심함이 느껴집니다. 원하는 게 있거나 궁금한 게 있어 물어보면 웃음기는 없더라도 천천히 그리고 정확하게 응대해주셨고요. 프랜차이즈가 아니면서 이렇게 큰 공간에서 합리적인 가격으로 홍대에서 책을 편하게 읽을 수 있고 사색할 수 있는 공간을 운영해주셔서 감사하다는 말을 전하고 싶습니다."
ㅇㅅㅇ,2,3,2.3,2024.03.22.,1.0,
맛난곳만리뷰,7,7,5.0,2024.02.10.,5.0,다양한 볼거리들 있어서 좋아요 분위기도 괜찮구여
진아,25,58,4.6,2024.02.05.,4.0,넓고 음료 ㄱㅊ앉아있기 좋음뭐 살 것도 있음
박찬찬,27,71,3.9,2023.12.16.,1.0,"분위기는 좋으나, 장사할 생각 없어보임커피값도 비싼 편인데 돈값 못함카페는 부수적인 수입인가봅니다"
프로페셔널,16,37,2.7,2023.12.04.,1.0,작년까지 아메리카노도 수준급으로 맛있었는데 왜이리 변했나요 .. 손님이 오면 인사는 커녕 인사를 해도 대충 .. 사장님 바뀌었나요?
차진택,11,30,3.0,2023.11.28.,4.0,
Robert Anthony,13,19,3.6,2023.11.07.,1.0,"I have visited this cafe off and on for many years, but unfortunately, the workers are always rude. They don't value their customers."
덤보,26,96,4.4,2023.08.25.,4.0,
김열매,13,23,5.0,2023.08.17.,5.0,
푸다뱅,75,933,4.2,2023.08.06.,4.0,"디저트와 커피는 무난하게 즐기기 좋지만, 복합공간으로 쇼핑도 되고 힙하게 즐기기 좋고 여유있게 쉬기도 좋았습니다."
태경,3,4,5.0,2023.08.04.,5.0,
김종읍,5,26,5.0,2023.07.25.,5.0,
N.G,12,21,5.0,2023.07.01.,5.0,커피 시키면 아메리카노 무료로 리필해줘서 좋아요. 홍대에서 편하게 오래 작업하기 좋은 카페입니다. 책 종류 구경하는 것도 재밌어요.
소영,1,8,4.5,2023.05.22.,5.0,
그늘,12,15,3.8,2023.05.19.,2.0,커피가.. 정말 맛없어요. 북카페가 아니라 편집샵 같은 느낌이에요. 비치된 책은 볼 수 없고 구매해야 볼 수 있어요. 커피 마시러 다시는 안 갈 거 같아요. 비싸기만 해서..
소영,4,3,4.7,2023.05.06.,4.0,
맛있는게좋아,37,274,3.7,2023.05.04.,5.0,
구구,9,11,3.6,2023.05.03.,2.0,ㅠㅠ 커피 맛없고 샌드위치도 이 가격이 맞나 싶고 직원은 불친절... 테이블 간격 너무 좁아서 움직이기 어려울 정도. 두 번 안 갈 거 같습니다.
렁이,15,60,4.4,2023.04.18.,5.0,편안..zzz
SSun.,79,"1,706",3.9,2023.02.20.,4.0,각종 굿즈와 책들느긋한 분위기의 북카페혼자 혹은 같이 와도맘편히 차 한잔 하기 좋음아이쇼핑도 할수 있어 일석이조!
음,18,24,3.6,2023.02.15.,3.0,"커피는 가격대가 너무 비쌌고, 테이블 간격이 좁았다. 북카페라기보다는 편집샵 느낌이 강했던 게, 진열된 물품과 커피 만드는 공간이 디자인 요소로 훨씬 많이 매장을 차지했음... 시끄럽지는 않았는데 공부나 작업하는 분들이 많았고 그래서 신기했다. 왜냐하면 커피값도 비싸기 때문..."
춘희맘,14,22,3.6,2023.02.12.,2.0,한입도 안마신 음료 양 입니다테이크아웃 하프짜리 다 채우지도 못하고주인 바뀌고… 음료 맛도 없어졌어요라떼가 이렇게 밍밍할수가
김지연제인,29,268,4.0,2023.02.08.,3.0,
이승민,6,8,4.5,2023.01.27.,5.0,"팝업도 열리고 독립서적도 좋은 것으로 골라서 진열해두신 것 같아요, lp도 들을 수 있게 헤드셋도 준비되어있고 판매하고 있는 제품들도 독특하고 괜찮았어요. 학생 때 프로젝트 회의할 때 자주 방문했었는데, 분위기도 차분하고 잘 진행했던 기억이어서 좋아요. 야외 테라스도 봄 가을에 열려 있어서 방문했었는데 일본에 온 듯한 느낌을 받았어요, 혼자 공부하러 가기에 좋은 카페고 독립서점이어서 그런지 혼자 방문해도 민망하지 않고 오히려 에너지 얻고 나오네요💐 사라지지 않고 오래오래 있어줬으면 하는 가게에요👍"
진진자라,3,1,1.0,2023.01.24.,1.0,리뷰 처음 남겨봄... 아무리 북카페라지만 이딴거 커피라고 팔면 죄악임 맛도없고 싸지도않음 많지도않음
진실만을말하는돌쇠,23,50,4.6,2023.01.10.,2.0,커피 노맛. 책 안사면 읽기 X. 굿즈 판매목적이 더 강한 카페라는 이름의 그냥 편집샵.
탁신팔,11,11,3.1,2022.10.19.,1.0,"너무 직원이 불친절했고, 응대 또한 하지 않아서 두번 다신 가고싶지 않은곳 입니다관리를 일체 안하는듯 싶어서 비 추천합니다."
정재연,3,1,4.0,2022.10.08.,4.0,편집샵 + 공부 카페 공부하러 오는 사람들 많고 조용한 분위기 시그니쳐 라떼는 달달 + 아이스티의 상큼한 맛 살짝화장실 깨끗함
