user_name,user_rank,num_response,user_star,time,rating,content
doct,12,27,3.6,2024.03.03.,3.0,그냥저냥 먹을만함그래도 다섯번정도 방문한거 보면  뭔가 매력이 있는 것 같기도 함
Nate 네이트,11,10,4.2,2023.12.29.,3.0,"It was pretty mid. Just average. Price is slightly high. If you’re a poor 학생 living in a 고시원 with a shared bathroom, no access to dryer I would probably avoid this place because that money is better spent at a laundromat. Salmon was bussin tho 👌"
냥냥,10,12,4.6,2023.12.20.,4.0,금욜 저녁 7시에 가서 2시간  기다렸다 먹었고 가성비도 별로였지만 존맛이라 용서
흰둥이네,22,35,3.5,2023.12.03.,1.0,"진짜 최악중에 최악. 셋팅 다하고 반찬도 먹고 있는데 단체 왔다고 짜증내면서 귀찮은 말투로 자리 옮기라고함. 30분 기다려서 메뉴 나왔는데, 전혀 다른 메뉴가 나옴. 미안하단 말한마디 없음. 매운탕 시켰는데 역시나 안나옴. 10분 기다리다 달라고 벨 다시 누르니 이미 만들어놓은거 5초만에 들고옴. 방어 물량 없다고 무조건 광어 등이랑 섞어서 시켜야댐. 가격은 똑같이 받음. 총체적 난국 , 직원 ㅈㄴ 불친절, 눈치보면서 먹어야댐."
지원,5,4,2.0,2023.11.24.,1.0,"다른 식당은 줄이 너무 길어서 2시간 넘게 기다려야 하길래 여기로 왔습니다. 대기 없이 바로 입장 해서 좋았는데.. 방어로만 주문은 안되고 무조건 반반만 시켜야 한다고 하더라고요. 근데 이렇게 하얀 방어는 처음 봤는데... 맛이 무맛(아무맛도 안남)이더라구요.. 올해 첫 방어인데 아쉽습니다.. ㅠㅠ 그래도 사이드로 주신 전이랑 초밥용 밥은 맛있었어요. 셀프바 안내가 없어서 몰랐는데, 야채랑 추가 반찬은 셀프바에서 드시면 됩니다! 매장 안이 너무 추우니 따뜻하게 입고 가세요!"
변상철,5,5,3.8,2023.11.24.,1.0,최악이네요.전화는 아예 받질 안는군요.주문배달초포장 변경은 어찌하라는건지…
정히를따르라,62,960,3.5,2023.11.19.,3.0,방어굳
젹,24,59,3.1,2023.10.06.,4.0,전어회랑 생새우회 먹었는데 새우가 신선하고 큼지막해서 좋았어요. 찬은 아쉽긴 합니다만 전반적인 가격대가 오히려 동네 술집보다 저렴했습니다. 웨이팅은 없었지만 테이블 간격이 좁아 옆에서 크게 떠들면 불편할 수도 있겠어요. 직원분들이 특별히 불친절하진 않았습니다.
@@,4,4,1.8,2023.09.27.,1.0,회도 별로 찬도 별로좁은공간에 테이블다닥다닥옆사람과 합석수준 대화불가
.,26,112,3.3,2023.07.04.,5.0,친절하던디….
eanter,4,11,2.5,2023.01.14.,1.0,
박선영,3,1,1.0,2022.11.14.,1.0,참으로 불친절 함. 심지어 맛도.. 양도... 다 별로ㅎ 콘치즈 안 나오냐 하니 ㅎ 본인 가게는 콘치즈가 없데.ㅎ 후기에 떡 하니 콘치즈 사진이 있는데.. 다른 집 줄서는 거 싫어서 걍 갔더니줄서는 맛집들은 이유가 있음. 계산하고 나오면서 앞으론 맛집 줄을 서겠다고 다짐함
Harin Harry Lee,21,97,3.9,2022.10.20.,1.0,사장님이랑 직원 서비스가 개똥같아요^_^
1234,23,49,4.1,2022.09.29.,5.0,회 싱싱한건 인정..위치 특성상 시끄러운건 어쩔수없는듯밑반찬들이 다 맛있어요
이민재,3,10,4.4,2022.08.26.,4.0,
Kash,2,2,5.0,2022.08.10.,5.0,
희수,2,1,5.0,2022.04.29.,5.0,"맛남,,"
sage,21,35,3.4,2022.03.27.,4.0,역시 홍대입구역 횟집은 최고입니다!! 도다리회와 지리를 먹었는데 둘 다 정말 맛이 좋아요!!
.,2,1,1.0,2021.12.14.,1.0,
ssh,12,18,3.9,2021.12.10.,3.0,좀 오래걸려서 나오긴했는데 맛은 좋았어요! 다만 직원분이 살짝 불친절하신편 ㅠ 저녁이라 진짜 추웠는데 제 자리 바로 옆 창문을 활짝 여시길래..넘 추운데 닫으면 안되냐고 부탁했더니 환기 안시킨지 오래돼서 닫으면 안된다고 냅두라고 하셔서 ㅠ추워서 술이 깼습니다... ㅠ
또,6,9,4.2,2021.11.30.,2.0,광어+연어 시켰는데광어+우럭나왔음잘못 나왔다고 말씀드렸는데우럭 시켰다고 우기면서 절대 안 바꿔줌옆 좌석에서도 연어라고 말해 주셨는데.. 소용없음
짱아,54,414,4.2,2021.11.24.,1.0,왜 2점대인지 알 수 있었던 횟집. 너무 추웠고 가려던 방어집이 닫아서 들어왔는데 방어회도 맛 없고 매운탕도 그닥 .. 서빙하시는 분은 대답도 안하고 ;
주블리,2,1,1.0,2021.11.11.,1.0,1점도 아깝. 맛을 떠나서 계산하려고 보니 매운탕 세트 시켯는데 매운탕 추가로 넣고 술병도 더 많이 계산해서 얘기하니 테이블에 시키지도 않은 새 술 병 올려놓고 그만큼 시켰다고 해서 진짜 어이없었음. 영수증 꼭 확인해야할듯
부활,8,7,4.0,2021.10.10.,2.0,회가 싱싱해서 가끔 가는 곳인데오늘은 실망이네요ㅜㅜ연어초밥 활어 초밥을 포장해 갔는데연어는 괜찮았는데활어 초밥은 회가 오래되어서 많이 푸석푸석하고 물을 많이 먹었네요ㅜㅜ싱싱함이 관건인데ㅜㅜ고민하다 올려봅니다. 참고하시고  더 신경쓰시면 좋은 가게가 되지않을까 싶어서요~~
우리동네맛집,3,6,5.0,2021.10.05.,5.0,광어랑 새우튀김 맛있음. 겨울에는 방어 맛집
맛캣,45,446,3.3,2021.09.19.,2.0,맛이 없어여ㅜ
고독한 탐식가,100,"5,449",3.1,2021.01.16.,4.0,대방어 사이즈도 좋고 양도 푸짐하고 배리 굿 !!! 이 추운 날 굳이 '바다회사랑'에 갈 일 있냐?  ㅋ
정직한 식객,15,24,2.5,2020.10.31.,1.0,방어회는 맛있었으나 종업원 친절도가 급격히 떨어짐내돈주고 먹는데 눈치가 보일정도로 불친절
플랫아이언,5,9,3.7,2020.10.24.,1.0,양이 적고 매운탕은 별로
홍홍홍,33,223,3.7,2020.10.10.,2.0,"한줄평 : 위치빨로 장사하는집- 맛 : 솜씨가 필요없는 음식은 평타, 아닌건 별로- 가격 : 홍대물가 생각하면 비싸진않지만 퀄리티를 고려할 시 갸웃하게되는 값- 서비스 : 불친절하진 않은데 실수가 너무 많아서 기분을 잡칠수도 있음당신의 콘치즈는 익었을수도 안익었을수도 있습니다.당신의 새우구이는 직원이 봐줄수도 안봐줄수도 있습니다."
ㄹㄹ,5,4,2.3,2020.10.03.,1.0,"밥을 먹은 적이 없는데 사이드메뉴인 미역국에서 밥알나옴 /재탕이라고는 차마 상상조차 하기 싫지만 재탕이든 설거지를 제대로 안한거든, 비싼 돈 내고 먹엇는데 비위 상햇네요"
서대문구대표돼지,72,832,3.3,2020.09.13.,3.0,적당히 다 맛있고 적당히 친절하심
오숑,4,7,4.0,2020.09.10.,1.0,"쿠팡잇츠로 배달 주문했는데, 40분 지나서 배달기사가 전화해서 아직도 음식이 안 나왔으니  주문 취소해달라는 연락 받았어요. 음식점이 수용할 수 있는 범위내에서 주문 받았야 하지 않을 까요?"
차우승,5,6,2.2,2020.06.14.,1.0,평소 자주 가는편이었으나 오늘은일하는 아주머니 테이블 치워준다더니 넵킨으로 대충닦고 음식물 얼룩이 그대로 있는데 그냥 세팅 들어가더군요맥주잔은 제대로 씻기지않아 입댄자국엔 음식물이 말라붙어있고 정말 최악이었음아무리 바빠도 테이블은 잘 닦아줘야지 그게 뭡니까가장 기본적인것이 무너지면 끝난거 아닌가
John,24,152,4.7,2020.05.02.,3.0,걍 그럼.. 또 오진 않을듯
이진아,11,14,3.3,2020.03.15.,1.0,불친절하고 화장실..진짜..
통골뱅이,17,22,3.7,2020.02.17.,4.0,가성비 굿넘 바빠서 친절이고 뭐고 따질 겨를이 없었음방어 맛있었음
냠냠이,33,329,3.4,2020.02.05.,5.0,(냠냠) 회 자체는 잘나옴
삐약,30,123,3.0,2020.02.04.,5.0,친절하고 맛있는데?? 가성비 좋고 신선합니다
