user_name,user_rank,num_response,user_star,time,rating,content
뀨,21,36,3.5,2024.03.28.,2.0,맛: 맛은 있는데... 이 가격은 아닌 거 같아요. 독보적인 맛은 아님. 양도 적음...가성비: 진짜 별로친절: 음 ㅋㅋ...... 그냥 그래요분위기: 매우 좋음. 데이트하기 좋아요주차: 별로재방문 의사: X
까탈이,8,18,4.2,2024.01.30.,5.0,여태 먹어본 파스타집 중에 제일 맛나요 스테이크 강추 피자두 패스츄리라 미쳐유
겨울,31,107,4.2,2023.11.21.,5.0,맛있지만 양이 적어요. 분위기 좋아요!
ㅋㅆㅇ,37,695,3.8,2023.07.06.,5.0,
젤리,30,147,3.8,2023.04.07.,5.0,
4점은 가볍지만 5점은 무겁단다,29,55,3.7,2022.12.21.,4.0,진짜 맛있는데 진짜 비쌈소스 하나하나 다 긁어서 먹고 나옴…근데 양이 적어서 다른 곳 가서 더 배채웠네요
이경순,2,2,5.0,2022.09.10.,5.0,가격 착하고 맛도 너무 좋았어요~^^
동,5,6,1.5,2022.02.03.,1.0,맛은 있는데 너무 드러움... 책상도 식기도 화장실도...
바쿠리,31,91,3.9,2022.01.24.,5.0,여기 왜 리뷰 별로없지ㅜ 넘넘 맛있어요꼭 가보시길 인테리어도 완전 갬성 넘쳐요
쏘르,5,5,4.8,2021.12.17.,5.0,친구네 강아지들이랑 방문했었는데뇨끼랑 파스타 맛있었어요!!!
리댜,9,12,4.2,2021.07.05.,5.0,뇨끼 진짜 맛있었어요 이거 꼭시키세요
김명준,8,9,2.3,2021.06.24.,3.0,맛은 있어요 근데 너무 느리게나옵니다 직원들도 불친절하고 배째라 장사인거같네옷
오징어,9,10,1.9,2021.05.19.,1.0,음식이 느리게 나왔는데 거의 다 타서는.. 엄청 짰어요..접대도 별로...
민경,25,45,5.0,2021.03.07.,5.0,분위기 좋은 맛집이에요! 재방문 의사 o
N,5,9,2.9,2020.10.12.,5.0,분위기며 맛이며 최고예요
