user_name,user_rank,num_response,user_star,time,rating,content
낙준,2,1,5.0,2023.12.14.,5.0,친구들하고 삼삼하게 갈만한 포차분위기는 나쁘지 않고 가격 대비 퀄리티가 좋은 술집
주배,57,461,3.9,2023.12.11.,3.0,로제파스타가 개인적으로 맛있었다. 마늘 항정살은 고기양이 너무 적었고 전골도 무난하게 맛있었음. 사람 북적북적한 홍대 술집 치고 안주퀄도 괜찮고 너무 시끄럽지고 않았음.
난나,5,6,2.3,2023.07.02.,1.0,큐브스테이크랑 밀푀유 나베 시켰습니다큐브스테이크는 스테이크가..얼마 없었고밀푀유나베는 맛있었지만 가스버너레 오물이 너무 덕지덕지 붙어있었어요이외에도 숟가락 젓가락 소주잔등 죄다 깨끗하다고는 못하겠어요.. 카카오별점 믿고 갔는데 죄다 예전 별점이라 좋은거네요🥺위생 신경써주세요! 그리고 2층 안테이블 버너키고 있어서 그런가 더웠어요.
4.0,33,476,3.9,2023.01.19.,5.0,안주맛집~
영찬,1,1,5.0,2022.06.09.,5.0,
ㄴ,28,153,2.5,2022.05.24.,1.0,
.,42,294,4.0,2022.03.03.,3.0,마늘항정살이 너무너무 짰어요 허브솔트인가 무튼 소금맛이 팍팍 나서 말씀드렸더니 새로 해주셨어요 두번째것도 짰는데 못먹을 정도는 아니라서 그냥 먹었어요응대서비스는 아주 친절하셔서 쪼금 감동이었어요 그리고 시끄럽지 않은 분위기라서 이야기하면서 술먹기 좋아요
bnhk,1,1,5.0,2021.11.11.,5.0,분위기 좋게 가볍게 한잔할 수 있는 홍대에서 너무 정신없지 않은 몇 안되는 포차 중에 하나인 듯하네요. 좋아요.
.,26,151,2.6,2021.10.31.,1.0,"계속 없다가 6월 5,6일에 5개짜리 리뷰 11개..흠"
이휘웅,2,1,5.0,2021.06.06.,5.0,감성적인 분위기. 새로운 느낌의 포차였습니다 앞으로 자주 갈듯해용
배정민,2,1,5.0,2021.06.06.,5.0,"한적한 분위기, 음식 맛은 최고.담에도 또 방문하고 싶네요~"
대홍,1,1,5.0,2021.06.06.,5.0,음식들 맛있다고 저도 추천 받았는데찐이다이건 정말 후회 안합니다.추천해요!!
신희권,2,2,5.0,2021.06.06.,5.0,"I like this place! Well, I like the place's view."
이남길,1,1,4.0,2021.06.05.,4.0,음식맛 분위기 모두 좋아요. 모임장소로 괜찮아요..
