user_name,user_rank,num_response,user_star,time,rating,content
린,23,38,3.7,2024.04.17.,5.0,냉우동과 치킨가라아게가끔 생각나요 기본 온우동도 맛있음!가격도 괜찮고 늘 친절하세요
옹^,2,2,5.0,2024.04.09.,5.0,냉우동 닭가라아게세트 👍👍👍👍몇년째 가는 집이에요
XD,14,20,4.8,2024.04.09.,4.0,붓가케우동 면발이 탱탱해요새우튀김이 맛도리🍤
좋군,14,20,4.2,2024.04.09.,4.0,음 대학교 주변이라 저렴하네요. -끝-
오솔길,27,131,4.0,2024.04.04.,3.0,+2024.04.02 재방미묘하게 한 끗들이 달라짐뭔가 아쉬운 느낌
기록용,13,38,3.7,2024.03.31.,4.0,
와옹,48,237,4.1,2024.03.26.,3.0,왜 유명한거지 .. 닭튀김이라고 해서 이름만 닭튀김이겠지 했는데 진짜 닭튀김임 우리 할매가 한거랑 맛 비슷함 ..냉우동이 더 맛잇다고 하니까 냉우동만 한 번 더 먹어봐여지...
팽~,25,136,3.8,2024.03.23.,4.0,맛잇듬
동동,17,27,4.0,2024.03.08.,5.0,가라아게랑 냉우동 진짜진짜맛있어요 꼭 드셔보세요
지니,2,2,5.0,2024.03.02.,5.0,
짱뚱,2,3,5.0,2024.02.28.,5.0,냉우동 붓카케우동 맛도리
이수민,13,14,4.3,2024.02.25.,4.0,"여기 너무너무 맛있고 가성비가 좋아요! 냉우동이랑 붓카게우동, 가레아게, 새우튀김 다 먹어봤는데 맛 없는 메뉴가 없어요ㅠ 다만 아쉬운 점이 있다면 두번 정도 냉우동 먹었는데 간이 어쩔때는 딱맞고 어쩔땐 조금 짜게 느껴지더라고요 갈때마다 약간 컨디션을 타는것 같아서 별 한개 뺐습니다 그래도 넘 맛있고 가성비가 조아서 재방문의사 만땅입니다"
이인규,16,32,3.3,2024.02.18.,4.0,"온우동이 맛있었다, 간이 강하다"
둥짜,7,2,5.0,2024.02.17.,5.0,면발 매끈하고 조음. 우동도 맛잇지만 가라아게 먹으러 오십쇼. 하얀 튀김옷 후추소금에 찍어먹음 맛이 자꾸 생각나..
메로나,5,3,5.0,2024.02.14.,5.0,여기 메뉴 도장깨기 하고있어요...정말 최고의 맛집....먹어본 우동중에 손에 꼽을 정도로 맛있어요...점원 분들도 친절하세요....여기가 진짜 맛집인데 너무 유명해지면 제가 못갈까봐 주변에 추천은 못하고 있어요....우동 면발은 쫄깃말랑탱탱부들하고국물도 뭔가 깊으면서 삼삼하면서 딱 적당한 간에 정말정말 맛있어요....제 표현력이 떨어져서 맛 표현을 제대로 못하는 게 아쉬워요ㅜㅜ여긴 우동도 우동인데 튀김이 진짜 맛있어요...사진 보이시나요 튀김산... 추가로 더 시켰어요...개인적으로튀김은 어묵튀김이 젤 맛있고요..우동은 냉우동이 가장 맛있어요...꼭 한 번 드셔보세요...
율,17,30,3.8,2024.02.13.,5.0,"홍대 가성비 맛집모든 메뉴를 먹어봤습니다.차가운 우동은 붓카케,따듯한 우동은 츠키미 추천합니다.가마타마 우동은.. 유일하게 제 입맛에는 맞지 않았습니다.(짠 계란국에 비벼먹는 맛)가라아게도 정말 맛납니다웨이팅은 늘 많으니점심,저녁시간은 조금 비껴가는 게 좋습니다(그래도 늘 15분 안에 들어갔습니다)"
everydayhappy,14,43,3.7,2024.02.08.,4.0,냉우동 솔직히 평범함.... 근데 치킨가라아게는 바로 튀겨서 그런지 꽤나 맛있었음 직원분들도 친절하시고 근처 지나가다가 한번쯤 들려도 좋을듯
가족여행.행복충전,13,29,4.9,2024.02.07.,5.0,
심소형,12,11,3.8,2024.02.04.,5.0,요기는 무조건 냉우동 드세요. 일행은 따듯한거  시켰는데 면발의 쫄깃함이 달라요..추워도 냉우동 잊지 마세요. 면발이 달라요. 튀김은 저는 닭튀김보다 새우튀김이 훨씬 맛있었어요. 완전 바삭. 새우튀김 먹으러 또 가고 싶어요.
김예린,39,289,4.6,2024.01.29.,3.0,가격이 저렴하고 맛있어요!
.,24,50,2.9,2024.01.28.,3.0,전에 엄청 맛있게 먹어 오늘 재방문 했는데 면이 쫄깃하지 않은 수준이 아니라 약간 퍼지고 흐물거렸어요 튀김도 눅눅해서 아예 국물에 담가놓고 먹었는데 국물도 전에 이 맛이었던가? 싶었습니다 심지어 그땐 웨이팅 30분 후 들어갔고 오늘은 곧장 입장한 데다 만석도 아니었는데 퀄리티 차이 무슨 일..ㅜ
MM,19,30,3.2,2024.01.27.,3.0,"무난했어요, 4.5점 가까이 식당은 아닌것 같아요. 주메뉴인 우동보다 가라아게가 조연이 더 빛나는 곳 같아요."
딩딩,31,112,4.3,2024.01.23.,4.0,가끔 단품 시켰는데 세트 가격으로 결제하는 일이 있으니 꼭 확인해야 합니다.10번정도 방문했는데 2번 가량 경험했어요
츄즈미,2,9,4.1,2024.01.22.,4.0,
Eun,10,11,4.3,2024.01.21.,3.0,"여기 8년째인데 이렇게 맛없는적은 처음이네요우동 자체를 안좋아하지만 가미우동 특유의 수타 탱글한 면에 깔끔하고 진한 육수맛과 넘사벽 파삭!한 튀김으로 어디가나 추천하고 다녔었는데요, 이제는 가지 말라고 만류해야겠습니다. 이건 가미우동이 아니에요.. 물가 올라서 그런거라면 원가절감 하지 마시고 그냥 가격을 올려주세요... 정말 속상합니다.."
oogie,3,1,3.0,2024.01.21.,3.0,"원래 굉장히 좋아하는 장소인데 아쉬워서 남겨요.마지막에 갔을 때 일단 면, 국물 , 튀김 모두 맛이 예전에 비해서 아쉬워졌어요. 튀김은 새우, 닭 모두 튀김옷이 너무 눅눅하고 기름에 절은 느낌입니다. 국물은 예전보다 깊은 맛이 없고 간도 약해졌어요. 이게 가격 동결을 위한 원가 유지 차원이라면 그냥 가격을 높이고 예전 맛을 다시 먹고싶습니다. 정말 애정하는 가게라 리뷰 남겨요 돌아와주세오"
랄,4,2,3.0,2024.01.21.,5.0,여기 냉우동 진짜 맛있어요
min_j,11,12,4.7,2024.01.20.,5.0,사장님도 너무 친절하시고 면이 쫄깃해서 정말 맛있게 먹었어요!
ㅇㅇ,26,566,3.5,2024.01.14.,4.0,가라아게 후추맛 강해서 맛있음가께우동 면발 국물 다 맛있음. 국물이 기름진 편이라 다 먹으면 다소 느끼해짐미역우동은 미역맛 강해서 호불호 강할듯
먕구,32,82,4.7,2024.01.11.,5.0,대존..맛.. 진짜 말이 필요없다 세트 가라아게 추가해서 드셔야합니다..그리고 가게 청결도가 진짜 엄청납니다존경심이 들정도..뭘먹어도 믿음이 갑니다오픈키친 형식이라 그런지 만드는 모습 보는 것도 재미입니다사장님 오래오래해쥬세요..
bona,23,49,3.8,2024.01.11.,5.0,냉우동과 가라아게는 꼭 드세요 제발
김민석,12,32,3.7,2024.01.06.,4.0,값은 좀 있지만 맛좋다.
걔쯔비,8,12,3.3,2024.01.04.,5.0,7년넘게 홍대에 갈 일 생기면 웨이팅있는지 확인해서 없으면 들어가는 가게입니다 우동의 쫄깃함이 좋아요
곰든렘지,33,134,4.2,2024.01.01.,4.0,면도 쫀득하고 갓 튀긴 가라아게도 맛있음
녕,19,39,3.8,2023.12.06.,5.0,쫀득쫀득 미쳤어요.
