user_name,user_rank,num_response,user_star,time,rating,content
라흐마니노프,23,75,4.2,2024.04.23.,3.0,커피맛은 무난하다 공부하기 좋은 곳임
몽몽,16,19,4.3,2024.03.14.,5.0,근처에 일있어서 왔다가 우연히 발견했어요 2층이라 장소도 넓고 카페에서 공부하거나 노트북 하기 좋아요 곳곳에 콘센트도 많구! 잔잔한 재즈가 흘러나와요 커피도 맛있습니다사장님도 넘 친절하세요!
02 평가단,75,"1,003",4.5,2024.03.09.,5.0,음료 맛있고 분위기도 좋고 카공하기 조아요24시간입니다 심지어
Tamy 타미,3,11,5.0,2024.02.12.,5.0,
장진호,5,1,5.0,2024.01.23.,5.0,"아래 아래 댓글(후기)분 진짜 어이없네요. 그때 그 금발머리 여자분이시죠? ㅋ 당시 직관했던 사람인데요, 저 댓글 쓰신분이 진짜 예민했던거 사실이구요 옆에서 작업하는데 별로 안시끄러웠습니다. 방해받지 않고 공부를 하시려면 스터디카페나 독서실을 가세요. 그리고 직원분 그때 대처 잘했는데 예민한 사람으로 몰고갔다는 말은 조금 오해있게 얘기하셨네요 ㅋㅋㅋㅋ 먼저 시비걸고 난리쳤던 본인이 제일 시끄러우셨어요. 누가 누구한테 무례를 얘기…ㅋㅋㅋ;; 그리고 모르셔서 그런지 모르겠지만 가비애 원래 사람 많아지면 꽤 시끌시끌합니다 ㅎ 본인의 잘못을 제발 남탓하고 카페탓 하지 마세요+ 참고로 사장님 사모님 매우 친절하시고 단골 서비스 개확실합니다. 자주 가셨는데도 불친절을 느꼈다면 본인이 진상이 아닌지.."
ㄱㅇㄹ,20,27,4.2,2024.01.19.,5.0,꽤 오래전 일이긴 한데 제가 실수로 커피를 쏟았는데 직원분께서 친절하게 치워주시고 다시 주셔서 너무 감사했습니다..ㅠ❤️ 공부하기 좋아용
봄,24,61,4.2,2024.01.10.,2.0,음료보다 비싼 케익 시켜도 무조건 인원수 만큼 음료 시켜야함.  융통성 없음.
조보성,25,68,5.0,2023.10.11.,5.0,
맛소금,23,53,3.7,2023.09.29.,5.0,2023년 추석 연휴 영업시간
유효상,22,137,3.1,2023.08.16.,5.0,"바나나 스무디, 편안합니다"
스지꾼,12,32,5.0,2023.06.22.,5.0,프리랜서의 구원 장소
윤상민,26,127,4.2,2023.06.18.,5.0,음 좋은데요
stakra,15,48,4.1,2023.05.22.,5.0,여태껏 가본 24시간 카페 중에 가장 좋았어요.
Foodie,12,13,4.1,2023.05.04.,5.0,시험기간 밤샘할 최고의 장소쾌적하고 편하고 좋아요
포담,11,29,3.5,2023.04.22.,4.0,공부하기 좋음사람 많으면 와이파이 잘 안 됨밤 시간에 젊은 남자 있을때는 너무 별로고 여자 사장님 계실 때는 최고임 그래서 4점
아나나,20,49,3.3,2023.04.19.,5.0,시끄러우면 니집에서 공부하던가. 본인이 집중력이 떨어지는 사람이다? 집가서 공부해라
현민,2,1,1.0,2023.04.04.,1.0,손님 한 분이 너무너무 시끄럽고 무례해서 직원 분께 말씀 드렸는데 제가 잘못했다는 것 처럼 대처가 아닌 예민한 사람으로 대하시니 억울하고 괴로웠습니다. 가비애 특성 상 작업하는 분들이 많은 공간인데도요. 시끄러운 것 보다 가비애의 대처에 많이 속상했습니다. 다음엔 방문 어려울 것 같습니다.
지우개,7,23,3.7,2023.03.31.,4.0,
