user_name,user_rank,num_response,user_star,time,rating,content
냠냠박사,5,2,3.0,2024.04.17.,5.0,전체적으로 좋았음. 가격은 나쁘지않다고 생각했는데 리뷰보니 비싼가?싶기도 하지만 만족스러웠으니 됐음! 그리고 또띠아를 주기적으로 직원분이 확인하시며 계속 리필해주심(배터짐). 재료들 밑은 양파로 되어있음. 재방문할 의사 있음.
후닝,52,351,4.6,2024.04.10.,5.0,"사람이 언제나 많은게 단점이지만, 서비스 나쁘지않고 타코땡길때 꼭생각나는집. 분위기도 최고"
영,5,112,3.2,2024.03.24.,3.0,
ㅤ,29,71,4.0,2024.02.26.,4.0,"가격이 비싸긴 하지만 타코는 정말 맛있고, 또띠아하고 반찬들도 리필을 미리 해주셔서 좋았습니다. 다만 음악소리가 너무 크고, 음식이 흘리기 좋은 구조라 앞치마가 필요한데 없는점은 불편했어요."
thuy,42,222,4.8,2024.01.25.,5.0,
FB,24,71,4.0,2024.01.21.,3.0,"가격대비 만족도가 좀 떨어집니다. 개인적으로는 음식이 너무 빨리 식는 것도 아쉬웠고, 음악 취향이 저랑 다른데 좀 신경쓰일 정도로 커서 대화하기 힘들었습니다."
진이,5,10,4.4,2024.01.14.,5.0,맛있음특히 과일 하이볼이... 과육이 씹히면서 너무 맛있음근데 셀프바 같은 거 없고 오로지 직원 서비스 기다려야해서 그게 좀 부담
양경이,5,4,2.3,2024.01.06.,2.0,길찾기가 쉽지않음. 간판도 잘안보임
경희,6,13,4.8,2023.11.18.,5.0,멕시코 음식 처음 접하기 괜찮았음. 근데 좌석이 좁고 불편.
만춘,38,378,3.5,2023.11.08.,3.0,맛과 가성비를 잡은 타코집.
둥,23,53,3.8,2023.10.13.,4.0,
배고파,22,98,4.3,2023.10.07.,5.0,친절하시고 또띠아 리필 잘 해주고 맛있음
banana lizard,25,79,3.2,2023.09.12.,2.0,"olives in nachos is insane 😩 i mean their dishes are okay, nothing was disgusting, but it just doesnt have spices........ and nah i dont mean arboles i mean spices like wheres the cumin?? coriander?? its the typical ""mexican"" restaurant in korea, u know how it goes 😢"
임세진,12,24,4.0,2023.09.01.,5.0,실내 어둡지만 맛은 있음초연료? 같은걸  올때부터 붙여줬다가 중간에 끄는데 점점 음식이 식어감다른지점 갔더니 중간쯤에 식기전에 불 붙여줌이게 맞는것같음
OMG,29,117,3.6,2023.08.31.,2.0,고기 약간 냄새 남뒷테이블에서 전자담배로 실내흡연 하길래 직원에게 이야기했더니 아무 조치도 안취함...
맛집기록가,6,30,4.0,2023.08.20.,5.0,
ebebebeebb,6,15,3.0,2023.08.19.,5.0,
왕밤빵,11,20,4.4,2023.08.15.,1.0,직원...알바? 교육을 아예 안 하는듯손님없을시간이라고 셀프바 관리같은것도안하고 자기들끼리 모여서 떠들고있음
핑까 ✅,57,451,3.0,2023.08.02.,4.0,가격은 있는데 다른데보다 맛은 있음. 분위기 쾌적하고 괜찮음. 근데 고기 양 많은 줄 알았는데 밑에 양파로 깔아놓음 ㅋㅋㅋ 직원들이 사람 차별하나 덩치 큰 여성분한테는 계속 또띠아 알아서 리필 해주시는데 우리는 보고도 안 해줌 ㅠ
아아하하,26,82,3.3,2023.07.28.,5.0,가성비 없으나 감성타코 아주아주 맛남
최주발,13,14,4.7,2023.07.25.,5.0,둘이 먹기 진짜 양이 든든했고 고기 소스들이 진짜 알맞게 맛있었어요!! 다시 방문한다면 술과 함께 해도 좋을 것 같아요!!
올리브,25,56,4.5,2023.07.16.,5.0,냉방 시원하고 서버분들도 친절하셨어요
.,11,17,4.0,2023.07.16.,2.0,여러번 방문한 곳인데 양이 너무 줄었어요 직원들은 자기들끼리 떠드느라 정신이 없고 천장에서 비가 새는건지?;;;빗물받는 양동이같은게 지저분하게 놓여있고요 가게에서만 쓰는 화장실인데 세면대 양옆 바닥까지 먼지가 쌓일정도로 청소가 안되어있어요 재방문하기싫은 이유가 너무 많아요
-!-!!-!,9,18,3.8,2023.06.26.,4.0,무난합니다그치만 이런 타코집은 원래 비싸기 때문에 정말 꼭 타코가 먹고싶을 때만 올 듯하다
시리즈,6,18,4.4,2023.06.08.,4.0,
