user_name,user_rank,num_response,user_star,time,rating,content
조원익,3,3,5.0,2024.01.04.,5.0,친목모임  형제모임인데 맛있고 좋았습니다.
종처뉘,3,5,4.4,2023.12.05.,4.0,
.....&&,2,2,3.5,2023.10.16.,2.0,양념갈비는 잡냄새가 좀났고.꽃등심은 꽃등심부위가 아닌 떡심이 박혀있는 윗등심을 주고 꽃둥심이라고 하네요  질기고 .먹다 뱉었어요... 서비스하시는 분들은 친절하셨어요
지우자나~^^♡,2,1,5.0,2023.09.27.,5.0,친절하고 음식도 맛났어요
라이언,9,14,5.0,2023.06.04.,5.0,반찬 맛있어요
마로바시,22,56,4.4,2023.04.02.,5.0,
ELT,27,100,3.5,2022.12.25.,4.0,잘먹었어요. 여사님들도 친절하세요.
하와이,26,95,4.0,2022.11.05.,5.0,비싼값을한다 진짜 눈물나오게 맛있다 친절하시다
몬이,2,2,1.5,2022.10.17.,2.0,"맛은 괜찮은데 직원들이 불친절합니다. 식사 나오는데 30분 걸렸고 중간에 두번 주문확인을 요청했으나 곧 나온다고만 응대했습니다. 식사 나올때 다시 한번 너무 늦게 나왔다고 얘기했더니 그럼 얘기하시지 그랬냐고 하고 가버리시더라구요. 다신 안갑니다, 기분 나빠서."
추석,29,80,3.2,2022.08.14.,4.0,"고기집의 냉면인데 고기고명이 없음.계란고명과 베 한조각, 열무김치 듬뿍 주는건 좋음. 식후 디저트도 간소하게 나옴.가격은 9천원"
맛있는거조하 :ᴅ,31,74,4.6,2022.06.20.,5.0,육회 넘 맛있네요 고소하고소고기도 맛있어요 :)
맛없는거 안먹음,23,47,4.4,2022.01.08.,5.0,"고기를 별로 좋아하지 않음에도 불구, 너무 맛있었던 돼지갈비였어요. 찬들도 괜찮았고 냉면도 맛있고"
짱짱짱아빠,30,127,3.8,2022.01.08.,3.0,"갈비탕은 아주 만족, 고기는 글쎄요."
짱,61,490,4.1,2021.10.24.,4.0,
지윤,8,11,3.2,2021.09.24.,1.0,방문 할 때마다 매우 불친절…직원들 태도를 바꾸지 않으면 희망이 없어 보이네요
먹둥이,44,434,3.8,2021.07.01.,5.0,ㅠㅠ한우 녹는당 비냉도 굳~
딩동댕,6,11,3.2,2021.06.24.,5.0,
솔직하게,4,19,4.4,2020.10.07.,5.0,
people,20,37,2.0,2019.04.19.,4.0,"직원분들 친절합니다. 고기 직원분들이 구워주십니다.미국 친구와 점심세트, 돼지갈비에 물냉면 포함, 잘 먹었습니다."
아이셔,13,16,1.8,2019.03.01.,3.0,
gontarou,1,1,1.0,2019.02.15.,1.0,
공과장,48,484,3.5,2018.12.02.,4.0,간만에 주말 외식을 위해 가족들과 고기 먹으러홍대에 시끌벅적하게 회식할만한 곳은 많은데의외로 가족들과 조용히 먹을만한 집은 많지 않은듯직원분들도 친절하고 고기도 맛있고내부 인테리어도 깔끔하고넓지는 않지만 지하에 주차장도 있음
허리허리,34,407,2.5,2018.03.10.,1.0,통
