user_name,user_rank,num_response,user_star,time,rating,content
띵,66,882,4.3,2024.04.13.,2.0,최근 5년간 먹은 회중에 최악 !분위기도 예뻐보이는거지 애매 !
mdflrw,13,38,2.8,2024.02.01.,1.0,가성비 별로다
람쥐의 도톨희를 뺐지마오,32,98,3.3,2024.01.20.,2.0,"전체적으로 좀 아쉬운,,"
가지,16,35,3.8,2023.12.27.,5.0,
맛도리,29,105,3.6,2023.08.08.,2.0,"3차로 걷다가 그냥 들어감 ., 다른곳을 갈듯 ^^^..."
히동이,35,124,3.8,2023.07.06.,3.0,그냥저냥 홍대 근처 무난한 이자카야
이나영,2,2,3.0,2023.06.21.,3.0,
새롭게,9,18,4.3,2023.06.12.,2.0,
안준희,1,1,5.0,2023.05.12.,5.0,
윤정원,2,2,3.5,2023.05.08.,2.0,"카카오맵 평점은 과학이었다.. 가게 분위기랑 인테리어보고 갔는데 가성비 별로인 듯.. 연어사시미 양 적은데 오히려 좀 예쁜 그릇에 펼쳐놨으면 기분이라도 좀 나았을 수도.. 그리고 그 흔한 홀스래디쉬 연어 소스도 안나왔어요.. 다른 후기에서 말씀하시는 직원 분이 누군지 딱 알겠음.. 웬만하면 1층에서 드세요,,^^"
이로,3,1,1.0,2023.04.27.,1.0,"처음으로 리뷰 씁니다. 2층 여자 긴머리 알바생분 정말 퉁명스러운 말투로 응대하시는데 덩달아 기분 나쁘고, 기분도 망쳤습니다. 한두번도 아니고, 손님들한테 응대하시는 게 싫으시면 서비스직을 안 하는게 맞지 않을까요? 부르는 것도 무시하시고, 물건도 툭툭 내려놓으시고, 오랜만에 만난 친구들 만남에서 기분이 최악이었습니다. 2차로 간 주변 술집에서의 태도와 더욱 비교되니 다시는 방문 안 할 것 같고, 술 취해서 아무것도 모르겠다 정신없다 갈 곳 없다 하시는 분들만 방문하셔야합니다."
지민,4,24,2.4,2023.03.17.,1.0,
김지현,10,7,3.1,2022.12.25.,1.0,가격에비해 양과 질 모두 실망스러운...그리고 먹는데 추워서 나왔어요
민,33,139,4.1,2022.11.18.,2.0,알바가 너무 바빠보임... ... ... 주문 퀄리티 하락은 어쩔 수 없는 문제...그래도 전반적으로 맛있다. 타코와사비 양은 좀 적었으나 맛있었음.
아드리앙,9,18,2.7,2022.08.14.,1.0,여기 몇번 왔는데 오늘 특히 2층에 긴머리 묶은 여자알바 웰케 인성이 덜 된건지; 교육좀 시키세요
마이프,8,13,3.7,2022.07.23.,1.0,알바생이 너무 싸가지가 없어요
djalanwzz,6,5,2.6,2022.04.09.,1.0,ㄹㅇ 진짜 가지마세요 위생 청결 하나같이 다 썩었고 직원들 다 ♩♪♪♩없고 특히 카운터 보는 여자 개띠껍고 싸가지 없어요 자리 치우고 앉으라고 안내해준 테이블 위생상태임 ㅋㅋ 음식도 짜고 싱겁고 둘 중 하나 돈 버릴고면 ㄱㄱ
sera,31,139,2.6,2022.01.15.,1.0,너무 춥게 해주시고.. 이런날씨에 가스비 아끼시려는게 ㅋㅋㅋㅋㅋㅋ 장사 쉬운거 아니에요 매출에만 전전긍긍하지마세요
깽,26,132,3.5,2021.09.18.,3.0,취해서 기억이 안나네
rickybear,2,2,1.0,2021.06.12.,1.0,위생상태가 장난아님 ㅡㅡ
발렌시아가,2,2,4.0,2021.04.20.,3.0,분위기 좋고 좋지만 안주가 조금 ㅠ.ㅠ...하지만 분위기로 먹기에는 좋은거 같습니다.~~
ㄱㅎㄱ,16,"1,121",5.0,2021.03.07.,5.0,
유승현,17,28,3.9,2021.02.18.,3.0,옛날에는 괜찮았는데 뭔가 별로네요...음식도 그렇고 술도 그렇고 없다고 하는 게 너무 많았어요
오갱서기,2,6,4.5,2020.11.22.,4.0,
