user_name,user_rank,num_response,user_star,time,rating,content
파포,5,6,4.3,2024.04.23.,1.0,강아지들이 너무 안타까워요ㅠㅠ 아이들 산책은 하나요? 하루종일 좁은 공간에서 많은 사람들 손타고 피곤해하는 강아지들이 안쓰러워요
김동석,5,2,5.0,2024.04.23.,5.0,
나귀,10,13,4.7,2024.04.13.,5.0,멍멍이들이 간식 줄 때만 다가오고 간식이 없을때는 다가오지 않아요.하지만 강아지들이 귀여워요.어짜피 멍멍이 무서워하는 편이라 안 다가와도 귀여워서 좋았어요.근데 굳이... 다시는 안 갈 것 같긴 하지만.. 뭐 귀엽긴 했으니깐멍멍이들 다 줄세워서 같이 사진 찍을 수 있게 해주셨어요.
.,5,8,3.1,2024.04.09.,1.0,다시 방문하고 싶은 의사는 없어요..
윤병수,12,32,3.7,2024.04.02.,1.0,밖에 기다릴때 개 오줌?똥? 쩐내가 너무 심하고간식도 한 5알?? 사모예드 들이 다 먹으면 끝이에요별로 추천 안합니다.
^~^,22,92,3.4,2024.03.31.,1.0,영상보니까 손찌검을 하던데? 강아지가 피한건지 때리는 시늉이었는진모르겠는데 애들도 피곤해보이고;
개굴율쨩이,12,15,5.0,2024.03.29.,5.0,귀여운 곰팅이닮은 강아지들과 즐거웠던시간!직원분들도 친절하시고 좋았어요! 잠깐들른거라30분이었지만 정말 재밌게놀다가용나온지 13분만에 쓰는 따끈따끈한후기!
뇽,2,1,5.0,2024.03.16.,5.0,강아지 너무너무 귀여워요ㅜ 직원분들도 친절하시고 2층직원분 덕분에 강아지가 먼저 다가와서 무릎에서 자기도했어요ㅠㅠ🫶 개인기도 보여주셔서 행복했어요~~(이랑이가 제일 귀여워요)
어둠의미식가,16,33,3.3,2024.03.14.,1.0,개오줌 냄새를 느끼고 돈을 버리고 싶다면 강추!
민지,4,4,4.0,2024.03.08.,1.0,사장 싸가지 없고 목발 사용자 차별함입장시 양쪽 동의하고 입장했는데사장왈 : 목발 쓰면 입장 불가간식이라고 준거는 사료고 진짜 간식은 한번만 줌사장 다녀간 이후 직원 와서 사료 주면서 사장이 주지말라고 했는데 주는거라고 함이후 리뷰 읽어보니 평판 관리할라고 주작하는듯
1,43,373,3.0,2024.02.24.,1.0,동물로 뭐하는 짓인가요? 햇빛도 없고 좁은데 가둬놓고 사람들 만지게 하고 이걸로 돈벌이하는데 .. 강아지들 너무 불쌍해요....
ㅇ,11,5,1.8,2024.02.18.,1.0,"*요금인상이라니......정말 그냥 돈벌기 위해 아이들을 이용하는걸까요? 다른분이 후기에 돈벌이로 이용한다 라고 적어두셨더라구요...와 진짜...꼭 대박나세요...입장료 1인 만이천원입니다 사모예드는 있어요 하지만 애견카페라기보단...사모예드 박물관같아요 다른 애견카페처럼 음료 기본제공도 아닐뿐더러 일층 이층 좁은 공간으로 나누어져있는데 아이들이 직원분들한테만 가있고 손님들한테는 간식먹을때만 잠깐 가서 먹고 다시 직원한테 갑니다. 직원분들이 간식가방메고 가운데에 서계세요 ㅋㅋ간식도 6알정도씩 사료크기만한것 주시는데 아이들 건강을 위해서라는건 충분히 잘알지만 참...돈벌려고 만든게 너무 딱 보여요 그냥 멀리서 사모예드 보고싶으신 분들은 가시면 될것 같아요 사모예드 구경값=12,000원입니다 아이들은 귀여워요 다신 안갈겁니다 sns에서 너무 좋은곳처럼 광고해서 가봤는데...리뷰쓰신분들은 지인이나 알바생인가봐요 제가 간날 사람이 엄청 많았는데 막상 아이들은 멀리서만 보시고 만지지도 못하셨어요 그리고 만지지말라고 합니다 아이들이 예민하다고 만지지말라고 하세요~살아있는 사모예드 박물관 번창하세용ㅎㅎ밑에분이 올리신데로 그분 강아지들 보러가는게 더 재밋게 놀듯"
으악,8,8,4.6,2024.01.14.,4.0,카페 입장할 때 번호표를 배부하거나 예약을 하는 방식이 아닌 줄세우기방식이라 주말에는 웨이팅 시간이 오래 걸리는게 아쉬움카페 입장하고 나서는 직원분들이 사진도 잘 찍어주시고 이용에 불편한 점이 없었음입장료가 아깝지 않았다
Sura,11,8,4.4,2024.01.01.,3.0,I love to experience this and go and play with dogs on Christmas i actually like it but it’s one time experience for me
김아영,15,11,3.6,2023.12.08.,5.0,그냥 알아서 동물들과 시간보내는 다른 카페와 다르게 중간중간 직원이 손님들한테 간식 나눠주며 설명하고 개들이랑 사진찍을수있게 포토타임 마련해줍니다.평일 낮에가서그런지 너무 북적거린다거나 직원이 예의없다는 느낌은 없었습니다.다만 대형견이 많은 곳인만큼 들어서자마자 개냄새가 훅 끼치므로 민감하신분은 감안하셔야겠습니다포토타임때 개들 한곳에 끌어다 모으는데 개키우는입장에선 학대인지는 잘.. 개들은 별 생각 없어보임
John,11,35,2.2,2023.12.04.,1.0,No fun watching the staff playing the dogs themselves.  Minimal interaction between customers and dogs.
OvO,16,19,2.5,2023.10.29.,1.0,"가격이 비싼편이지만, 어느정도 감안하고 가서 상관은 없었습니다. 다만 유명한 만큼 융통성 없는 고객응대가 매우 아쉬웠습니다. 대기 줄을 서다 일행이 잠시 화장실이 급해서 양해를 구하고 10분 정도 나갔다 왔는데, 계속 남아서 기다리고 있던 저와 줄을 같이 못선다고 다시 맨 뒤에서부터 서라고 하셨습니다. 자리 맡아두는 행위가 안된다고 하시는데, 맡아두는게 아니라 같이 줄서다가 한 명이 잠깐 자리를 비웠다 온건데 당황스러웠습니다. 강아지들은 매우 귀여웠습니다."
미식가짱구,48,304,3.2,2023.10.20.,3.0,사모예드 좋아하면 갈만함! 간식이 아니면 사람에게 관심을 딱히 안줌 ㅋㅋㅋ그래도 구경하는 재미도 있고 만지는 재미도 있음! 사람이 안붐비는 시간에 가면 좋을듯. 다만 입장료의 가치는 모르겠음
한토리의 후기를 맛보아라,58,369,4.8,2023.10.03.,5.0,
이재창,7,7,3.6,2023.08.27.,2.0,아래 리뷰들이 다 맞네간식 다 주면 교감 끝. 생각했던 분위기가 아니라 실망
eojjeol,5,5,3.0,2023.08.25.,2.0,사람이 너무 많음. 직원들이 강아지 놀아주는것만 보고와야됨 한적하고 여유롭게 강아지들과 교감 절대 불가
이주연,5,11,3.6,2023.08.11.,1.0,
