user_name,user_rank,num_response,user_star,time,rating,content
맛집좋아함,15,36,4.0,2024.03.21.,3.0,고기가 많이 질겨요 ..하지만 부모님 모시고 가기 좋음가격대비 분위기 괜찮고 음식비주얼 괜찮음
,2,65,4.4,2024.03.05.,4.0,
맛집찾기 권법 제1장,16,41,3.5,2024.02.05.,3.0,유명한 이유 인정맛 굳반찬이나 쌈이 약간 아쉽
내가 가는 곳이 곧 맛집,52,465,4.2,2023.12.19.,5.0,"친절하시고 분위기도 좋아요!웨이팅은 있는 것 같으니 기다리실 생각 하고 가셔야합니다.+ 2번째 방문홍대 근처 먹을만한 밥 집이 없어서 또 왔는데 여전히 친절하시고 맛있음ㅎㅎ가격이 살짝 쎄지만 그래도 분위기, 맛, 친절 삼박자가 두루두루 가춰진 집이라 데이트하기도 친구들과 수다를 떨며 먹기도 소개팅 장소로도 손색없음."
홍밥러,46,215,4.3,2023.12.18.,5.0,"평일 늦은 시간에 방문 웨이팅X구워서 나와 바로 먹으면 됨. 매우 편함!(고기 굽는 냄새 싫어하는 사람들에게 추천)소고기, 삼겹, 목살 세트였는데 구성이 괜찮음. 맛은 익히 아는 고기 맛. 반찬도 정갈한 편사장님 친절하고 분위기도 괜찮았음.근데 주말에 한두시간 기다려서 먹을 정도는 아님..웨이팅 없이 먹어서 별 5개"
이흉,21,39,3.6,2023.12.09.,3.0,그닥 특별하진 않음반찬 다양하게 주고고기 정식은 3부위랑 야채 조금 구워서 나오는데 삼겹살에 뼈가 너무 많음..지인 먹다가 레진 깨짐ㅋㅋ저녁엔 식사 안되고 강제로 고기정식을 시켜야하는게 눈물남.. 유명세만한 음식은 아닌 것으로
션이,20,31,4.0,2023.10.05.,4.0,웨이팅이 꽤 많은집이고생각보다 가성비가 없어용 ㅜ 분위기는 조아효
굥,3,4,2.8,2023.07.20.,1.0,
이상완,1,2,5.0,2023.05.04.,5.0,
.,5,11,3.9,2023.03.31.,4.0,맛있었으나 머리카락 나옴ㅠㅠ… 맛있어요 그래도…
drgz,46,346,4.1,2023.02.28.,5.0,깔끔! 굿
닝,40,170,3.9,2023.02.19.,4.0,군더더기 없이 깔끔하다데이트나 소개팅에 추천
.,12,15,4.3,2022.11.27.,5.0,고기를 깔끔하게 먹을 수 있는 곳! 변치 말아주세요
애,15,47,3.7,2022.11.24.,5.0,고기를 깔끔하고 분위기 있게 먹을 수 있다는 점에서 가산점이 높은 가게. 여러번 갔었는데 계산하고 나갈 때마다 식사 만족스러웠는지 묻고 막대사탕 주시더라고요 사소한 서비스라고 해도 받는 입장에서는 식사에 대한 만족감이 상승하는 듯 ㅎㅎ
ㅇㅇ,45,308,4.4,2022.11.07.,5.0,
하늘색바다,11,27,4.1,2022.10.09.,4.0,가볍게 고기한상 먹고싶을때 괜찮은거같아요. 내부 분위기는 좋은데 테이블 간격이 좀 좁아요
SY,32,88,3.9,2022.08.16.,4.0,음식도 괜찮지만 뜨거운 불앞에서 냄새안배고깔끔하게 먹을 수 잇는 곳
김규석,6,9,4.4,2022.08.14.,5.0,데이트하실때 고기굽지않고 먹기에 너무 좋은 곳
🙈,39,384,2.9,2022.06.25.,3.0,"분위기는 내고 싶은데 양식말고 고기 땡길 때 가기 좋아요 ㅎㅎ 다만 고기 맛이 엄청 좋은건 아니고, 밥이랑 찌개까지 시키면 가격이 좀 비싼편이라... 살짝 아쉽네요."
.,19,99,4.5,2022.05.05.,5.0,맛있어요ㅎㅎ 독하지 않음
맛잘알러,60,277,3.5,2022.04.23.,3.0,"사진은 '고기한상 샐러드 파스타 세트' 입니다!고기 냄새가 옷에 베는게 싫으신 분들은 메리트가 있는 식당입니다! 하지만 기다려서 먹을 정도의 맛인지는 잘 모르겠어요..! 고기도 이도저도 아닌 맛 이었달까요.. 샐러드를 고기랑 같이 먹으면 된다고 설명해주셨는데, 샐러드 따로 고기 따로 노는 느낌이었어요. 차라리 상큼한 샐러드였다면 모를까 샐러드 자체도 기름졌어서, 기름 + 기름 느낌이었습니다. 조화롭지 못해서 왜 두 메뉴를 붙여놨는지 의문이 드는 세트였습니다."
동슐랭,51,345,3.6,2022.04.20.,4.0,"당연히 직접 구워먹는 고기보다 맛은 별로겠지만 꼭 여기를 가야할 이유는 충분합니다.고기는 먹고싶은데 직접 구워먹기 귀찮을때, 고기냄새 옷에 배는게 싫을 때, 실내조명이 어두컴컴해서 술마시고 얼굴 달아오르는거 상대방에게 보이기 싫을때 좋아요."
dd,26,85,3.4,2022.04.15.,2.0,무슨컨셉인지 모르겠다 소고기 돼지고기 같이 구워다가 주는게 이맛도 저맛도 아니고...
오늘은 뭐 먹지..?,22,31,3.1,2022.04.13.,2.0,고기한상 샐러드 파스타 세트에 된장찌개 추가해서 먹었어요! 파스타에 고기를 싸먹으면 맛있다는데 샐러드 파스타는 파스타 면 + 샐러드 야채 + 발사믹 소스로 구성되어 있다보니 개인적으로는 기름진 고기와 기름진 파스타가 만나 먹고나서 속이 매우매우 느끼했어요..(다음 날 까지도 속 느끼했습니다.) 밑반찬은 여러가지 나오지만 그중에 김치랑 깻잎장아찌는 양념에 젓갈을 많이 넣으시는지 젓갈 맛이 많이 나더라구요.. 특히 깻잎장아찌 먹을 때 마다 젓갈 특유의 비린 맛이 확확 올라왔습니다..! 된장찌개는 평범한 맛이었어요! 웨이팅 할만큼의 맛은 아닌거같습니다.그리고 그릇 갯수가 부족한건지 파스타 덜어 먹을 수 있는 국 그릇 모양의 앞접시를 음식 거의 다 먹었을 때 쯤 주방장님이 발견하시고 직원분 통해 가져다주시더라구요.. 맨처음 세팅으로 손바닥 크기정도 되는 납작하고 네모난 접시 주시는데 파스타를 덜어먹기엔 너무 작고 면이 탱글탱글하다보니 계속 면이 빠져나와서 먹느라 너무 힘들었어요ㅠㅠ 처음 가본 곳이라 파스타 덜 수 있는 앞접시가 따로 있는지 몰랐는데 혹시나 저처럼 처음 가시는 분들은 참고 하세요!직원분들은 모두 친절하셨습니다!
바깥,24,57,4.1,2022.01.21.,5.0,생각보다 양도 많고 맛있습니다!!직원분들이 너무너무너무 친절해서 감동 백배입니다
설고니,7,4,3.8,2021.12.21.,5.0,"분위기 맛 친절 모두 좋습니다.아이 외투 챙겨주다가 그릇을 깼는데,오히려 다친데 없는지 물어 봐주시더라구요.깨진 그릇 배상없이 사탕 마저 챙겨 주시니고마웠습니다. 정말 감사합니다."
뀨렛,27,155,3.9,2021.10.11.,3.0,그냥 그럭저럭.. 굳이 이거 먹으러..
맛집킬러,17,57,3.7,2021.09.28.,5.0,맛있었어요 친절하시구 웨이팅이 좀 길었어요!
aaa,14,33,3.0,2021.07.15.,2.0,전형적인 인스타 식당. 너무 침침하고 응대고 느리고 비싸고 맛도 그닥...
.,12,17,3.6,2021.07.06.,5.0,맛도 서비스도 다 최고 직원분들 이쁘고 잘생기셨음><
.,56,"1,621",1.7,2021.06.22.,1.0,
그믐,3,3,2.3,2021.05.23.,1.0,"고기냄새  나서 맛 별로입니다.  써빙하시는 여성 두 분, 모두 네일아트를 너무 길게 하셔서 음식에 손톱 닿아서 재방문 의사 없습니다."
Mich,46,151,4.1,2021.05.18.,4.0,"점심으로 먹은 목살카레덮밥. 묽은 일본식 카레에 도톰한 목살 구이, 마늘 플레이크, 대파 아주 살짝 매콤한데, 맵찔이인 저도 무리없이 잘 먹음. 깔끔하고 친절한 식당."
박서진,2,15,4.3,2021.05.12.,5.0,
김혜인,12,95,3.7,2021.05.03.,3.0,
.,41,526,3.8,2021.04.19.,4.0,분위기 좋고 맛나요
다람쥐방구,19,79,3.4,2021.03.30.,3.0,소고기 질겨요 그냥 깔끔
ㅎㅎ,22,115,4.2,2021.03.25.,5.0,맛있어요!!!
무한도전,28,200,4.6,2021.03.09.,5.0,먹기 편하고 좋아요
안지하,3,261,3.3,2021.02.03.,3.0,
bpm,10,19,4.0,2021.01.04.,5.0,
정찰병,28,112,4.3,2020.11.22.,4.0,고기는 먹고싶고 냄새는 걱정되고.. 그럴때 가기 딱좋다. 전체적으로 싱거운 맛이다. 테이블에 소금을 이용하자
ㅠ,48,264,3.9,2020.11.09.,5.0,고기는 먹고싶은데 고기냄새가 싫은 날
LHS,25,131,3.6,2020.10.15.,5.0,여기가 바로....!블링크들의 성지
