user_name,user_rank,num_response,user_star,time,rating,content
🥕🥕,14,19,3.3,2024.04.02.,1.0,버너에 불판 해서 굽는 것도 웃긴데 환기도 잘 안되게 생겼고 사장이 불친절해서 그냥 나옴;
5점 잘 안 준다,64,206,3.9,2023.11.20.,3.0,고기 부드럽고 친절하시고 좋은데요! 사장님이 실수가 많으세요그리고 계란찜은 좀 느끼함가격대비 맛은 모르겠음
뀨,21,36,3.5,2023.10.15.,3.0,맛: 맛있긴한데 양이 너무 적고 그렇게 독보적인 맛은 아닙니다. 볶음밥 기대하고 갔는데 볶음밥은 진짜 맛없었어요... 갈비는 맛있음가성비: 그냥그럼...친절: 쏘쏘. 고기 구워서 주시는 건 매우 좋아요 ㅎㅎ 먹기 편함분위기: 나쁘진 않은데 매장이 좀 좁아요주차: 별로재방문 의사: X
⠀⠀,33,258,3.5,2023.10.06.,2.0,그냥 무난무난••• 매장이 조금 좁은 편 다시 먹고싶은 맛은 아니에요❕
thuy,42,222,4.8,2023.08.26.,5.0,
Selly,37,74,4.4,2023.08.13.,5.0,고기가 부드럽고 맛있어요 신기한 우주선 모양솥도 귀여웠고 고기의 온도를 지켜줍니다. 사이드로 촉촉 비빔냉면을 주문했는데 맛있었어요.
수학자,7,48,4.0,2023.06.03.,2.0,
이루다,3,1,5.0,2023.04.30.,5.0,오랜만에 갈비먹었는데 정말 맛있었어요.사장님도 친절하시고 신기하게 생긴 불판에 구워먹는 고기도 너무 좋았어요
이정민,6,3,3.0,2023.04.26.,4.0,"일단 고기를 구워주니 옷에 냄새가 배지 않아 좋다. 그리고, 함께 나오는 찬들이 일반적인 갈빗집의 그것이 아니라는 점도 재미있다. 특히 갈비를 찍어먹는 불마요네즈 소스같은거 매운거 좋아하면 굿굿. 우주선 볶음밥도 인원이 3인 이상이면 꼭 추가하길. 외국인들 데려가니 완전 신기해 하더라."
손범석,2,1,5.0,2023.04.25.,5.0,맛과 비주얼을 다잡은 고고갈비 최고^-^~~
..........,1,1,5.0,2023.04.25.,5.0,주문하면 우주선  고기판위에  쑥주가 하고나오고는   고기가 ~ㅎㅎ  구워서 나오는 고기 먹고나서 볶음밥최고에요~~~
김경운,2,1,5.0,2023.04.25.,5.0,오오맛나요
Original gangster 마갱,4,2,5.0,2023.04.25.,5.0,아기자기 이쁜 가게에~아기자기 이쁘게 담아 나오는 반찬 !! 그리고 비쥬얼 깡패 주인공 고고 갈비~촉촉 달콤 진짜 맛있어요!!상수에서 꼭 가야할 맛집 입니다!반려견 동반도 된대요!!
ㅌㅇ,27,123,3.5,2023.03.20.,1.0,전체적으로 맛이그냥그럼. 여자사장님은 불러도대답도안하고 인상쓰고서빙
연역,18,41,4.2,2022.10.20.,2.0,사장님은 친절하십니다
제혁,2,1,1.0,2022.09.21.,1.0,"일반적인 고깃집이랑 분위기가 달라서 처음에 혹했는데 고기도 이미 구우신거 데워서 주시는것 같은 식감이네요. 더욱더 충격적인 것은 4천원짜리 된장찌개와 8천원짜리 냉면인데요. 된장찌개는 무한리필집 가면 주는 기본 된장찌개와 맛과 건더기양이 다를것이 없구요. 냉면은… 계란이 계란 젤리 나오네요 ㅋㅋㅋㅋㅋㅋㅋ 진짜 어처구니가 없어서… 사장님한테 왜 계란을 젤리로 주시는거에요? 라고 물으니 얼마전에 식중독 때문에 계란을 젤리로 바꿨다고 하시던데… 식중독이 나왔으면 그냥 냉면을 판매하시면 안되는거 아닌가요? 어떻게 계란만 젤리로 바꾸시죠? 계란값 하나 아끼려는 속마음이 너무나도 확드러납니다. 그리고 면 상태도 할말이… 마트에 파는 냉면 육수에 면발에… 근데 가격이 8천원? 뭐하시자는 겁니까 ㅋㅋㅋㅋ보통 고깃집가면 냉면이 비싸도 5천원 아닌가요?직접 면뽑는 냉면 전문집도 8-9천원하는데, 마트에 파는 면 육수 사오셔서 그냥 올리는데 8천원. 날강도도 아니시고… 그마저도 면이 다 안익어서 면발끼리 다 붙어있고… 같이간 지인도 정말 별로라고 다신오고 싶지 않다고 하네요. 카카오맵 믿음이 많이가서 카카오맵으로 맛집 구별했는데 밑에 별점 전부 알바인거 같네요 ㅋㅋㅋㅋ 그게 아니라면 저 별점 이후로 사장님이 바뀌셨던가… 아 사장님은 친절하십니다.후기 정말 안적는편인데 냉면에 충격받아서 씁니다"
ㄱ,11,17,1.1,2022.07.28.,1.0,"인상쓰고 서빙하고 냉면에 하리보 달걀 젤리가 올라옵니다. 제 두 눈을 의심했네요. 그리고 일 도와주러 오셨다는 분, 마스크도 안쓰고 서빙하시던데 일 잠깐 도와주고 가는거면 마스크 안 쓰고 서빙해도 되나봐요? 도대체 여기가 장사가 왜 돼는건지 모르겠네요. 맛도 없고 친절하지도 않고 광고 값만 엄청 쓰셨네"
Jay,85,"3,044",1.2,2022.07.10.,1.0,광고로 도배가 되어 있군 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
훈이는솔직해,6,5,4.4,2022.05.07.,2.0,컵에 음식물이 묻어있고 숟가락에도 묻어있어서 나가고 싶었지만 배고파서 그냥 먹었습니다. 후기보고 갔는데 알바같네요.
심심,34,133,4.2,2021.11.01.,2.0,비주얼은 좋은데 맛이 없네... 그냥 텁텁함
페리에토마토,29,85,4.0,2021.10.11.,3.0,고기가 갈비가 맞나 싶을 정도로 퍽퍽합니다.차라리 다른 집 처럼 달큰 짭조롭하게 재워둔거면 그나마 부드러울 것 같은데 그것도 아니라서 닭가슴살 씹듯이 퍽퍽했어요.가운데 주는 숙주와 채소를 같이 먹으라는데 소스도 너무 별로고 저 채소도 밑간이라곤 1도 없어서 이걸 당췌 무슨 맛으로 먹으라고 하는건가 싶습니다. 재방문을 할 생각은 전혀 없어요.
릴진수,47,"1,078",3.8,2021.10.06.,5.0,
민석🩵,21,71,4.7,2021.09.25.,5.0,
심재훈,5,12,3.7,2021.09.08.,3.0,
쏭,12,22,5.0,2021.07.28.,5.0,갈비집 끝판왕.. 친구랑 같이 가서 흡입하고 왔습니다 맛집 인즈엉!!
마케팅부 권경률,7,17,2.5,2021.06.14.,1.0,우선 고기는 미리 구워놓은거 뎁혀 주신거 같네요. 육즙 전혀 없는 퍽퍽고기고 냉면 면은 사제 사셔서 쓰시다보니 면에 고르지 못하게 상당히 딱딱한 부분이 있습니다. 소스는 매콤한 소스 제외하고는 없다고 하시던데.. 그럼 그 부분을 개발하시는게 어떠신지요. 값이 싸다 할지라도 그 퍽퍽한 고기를 먹는 입장에서는 반 정도 먹은 후에는 가성비라는 것은 아예 없고 그저 질기고 육즙 없는 마치 간되어있는 타이어입니다.발전과 메뉴 개발이 시급하게 필요한 집입니다.주관적인 역대 최악의 고기집 TOP5.
Nick,11,12,2.7,2021.06.12.,1.0,"주인장님이 바뀌셨나요? 좋은 후기 보고갔다가 실망만 하고옵니다. 고기가 다 구워나오기 때문에 처음 몇점만 육즙이 살아있고, 대부분은 육즙이 나간 마른 고기를 먹게됩니다. 여자사장님은 나쁜일있으셨나요? 불친절에 매우 불편했습니다."
정대훈,7,14,5.0,2021.06.03.,5.0,갈비를 제일 좋아해서 둘러보던 찰나에 고고갈비에 가서 시켜먹었는데 양과 퀄리티가 장난 아니었습니다양념도 잘베어있고 친구랑 엄청 먹고왔네요ㅎㅎ
김준영,6,15,5.0,2021.05.28.,5.0,퀄리티 좋네요
김지원,15,33,4.9,2021.05.27.,5.0,가격대비에 비해 양도 많고 갈비에 양념이 잘 베어있어서 정말 맛있었습니다ㅎㅎ
씅휘,21,67,4.9,2021.05.25.,5.0,갈비하면 양념이 잘베어야 맛집이죠~!!모처럼 가족외식하려 왔는데..고기도 질기지도 않고 부드럽고 양념도 잘 베어있어서 원래밥1그릇먹는데 2그릇이나 먹고왔네요~친구들이랑 먹으러 가야겠어요~!!
ㅋㅋㅋㅋㅋ,18,56,5.0,2021.05.21.,5.0,갈비가 질기지도 않고 부드러워서 너무 좋았던것 같아요 양념도 잘 되어있어서 진짜 맛있은것 같네요 맛집으로 소문나면 좋겠어요
