user_name,user_rank,num_response,user_star,time,rating,content
.,2,2,1.0,2024.04.21.,1.0,
우히히,29,77,4.1,2024.01.22.,2.0,규카츠 정식만 주문 가능합니당. 매장이 너무 추웠어요ㅜ 가격 대비 별로였어요
1,9,8,4.5,2023.12.08.,1.0,"사장인지 직원인지 남자 싸가지 개없음 들어가자마자 규카츠 정식밖에 안된다고 했는데 메뉴판 보고 있었더니 짜증나는듯이 규카츠 정식 페이지로 팍! 돌려놓고, 3명이 갔고 테이블에 메뉴판 두개 있어서 손으로 잡고 보고 있었는데 메뉴판 말도 없이 뺏어서 가져감기분 나빠서 그대로 그냥 나옴"
수아,2,3,4.0,2023.10.29.,5.0,
STAFF ONLY,32,326,3.4,2023.10.09.,3.0,통.크림카레우동 괜찮음.
😀,12,18,4.5,2023.07.09.,2.0,리뷰 잘 안남기는데.. 앉자마자 메뉴판 주기도 전에 정식밖에 안되는데 갠차느세여? 하심. 양해해달라는게 아니고 이거 규카츠 안먹을거면 나가라는 말투이심 ㅠㅠ 전체적으로 오래되고 깨끗하진 않음. 음료수 시켰는데 콜라.. 하나도 안시원함. 캔인줄 알았는데 디스펜서 시럽콜라에 기본으로 얼음도 안줌 ㅜ 마진 너무 남기는 느낌. 규카츠 맛도.. 겉이 바삭하지않고 물렁하고 구워도 맛 없음 ㅠㅠ 소스도 ㅠㅜ 흑흑 22000원 ㅜ양은 많은듯 배는 불러용 허허허
이응,2,14,4.7,2023.05.25.,5.0,
유종연,2,4,4.8,2023.05.21.,5.0,
에잉,2,2,5.0,2023.05.03.,5.0,
한상열,2,5,4.2,2023.05.03.,3.0,
쿠크,4,5,3.4,2023.03.09.,1.0,불친절하구 손님 없어요…ᵕ ̯ ᵕ̩̩
고뤠,19,53,4.2,2022.12.10.,5.0,
맛없으먼찢어요,18,49,3.4,2022.11.05.,1.0,들어갔는데 아무도 없이 5분 대기 1차 당황5시 전에 들렀는데 안 된다고 해서 2차 당황 ㅋㅋ ㅋㅋ......
ㅇㅇ,45,308,4.4,2022.09.07.,5.0,
.,3,13,3.7,2022.09.06.,4.0,
연한향,3,1,5.0,2022.07.17.,5.0,친구들 모임으로 갔는데 고기가 정말 부드럽고 맛있었어요~^^ 데이트코스로도 좋을것같네요
unknown,10,18,3.8,2022.07.09.,4.0,
행복한바지,9,5,2.8,2022.03.14.,1.0,‘올때마다’ 규카츠 정식만 된다고 하고 다른 메뉴는 아예 안된다고 하시네요^^ 배고파서 그냥 먹긴하는데 음료도 콜라랑 스프라이트 두개밖에 없어서 사실상 메뉴가 정해진거나 마찬가지에요~! 메뉴 고르는걸 어려워하시는 분들은 그냥 여기 와서 콜라 아님 사이다면 결정하시면 됩니다~!^^ 참 편해서 다음부턴 안오려고요 하하 규카츠 드실거면 차라리 건대점을 가세요! 규카츠랑 크림불닭 시켜드세요!~
라라진,17,21,3.4,2021.12.09.,4.0,규카츠 정식 먹었는데 진짜 넘 만족스러운 식사였어요. 고기 정말 부드럽고 불 꺼지면 사장님 바로 와서 불 넣어주시고. 또 먹으러 갈겁니다. 참고로 샐러드는 1000원에 리필 가능~
차니,17,104,4.7,2020.11.23.,5.0,규카츠 괜찮습니다~
잇츠미,5,7,4.0,2020.11.08.,2.0,가격대비 소소. 딱 가격만큼이고 세트로 먹으면 적당해요
melon,11,18,3.5,2018.07.16.,4.0,규카츠 완전 살살 녹고 계속 생각나네요 ㅋㅋ 크림우동인가 그건 좀 별로에요..
영록,6,5,5.0,2018.04.07.,5.0,세트 1번에 고기 한번 추가해서 먹으면 딱이에요!
