user_name,user_rank,num_response,user_star,time,rating,content
6uop,10,24,4.7,2024.02.15.,5.0,케이팝하면 무조건 가세요.. 진짜 최고임
감쟈,4,7,4.4,2024.01.29.,5.0,안주가 맛있고 라벨링 소주 재밌어요뮤직비디오 신청하면 틀어주시고 가게 안 휀걸들이 같이 즐겨주심
뭉구,2,4,4.0,2024.01.03.,5.0,
H.T.R,17,29,3.7,2023.12.26.,5.0,우왕 완젼 대박 맛난거 먹고 왔어요!!가보세요!! 들!!
.,9,11,4.3,2023.08.20.,5.0,시작은 덕질이었지만 안주가 맛있어서 계속 가게 되는 곳
ヒーちゃん,10,12,4.8,2023.07.31.,5.0,
ㅤ率,3,4,4.5,2023.06.07.,4.0,
현석공주킼,9,15,2.3,2023.02.27.,3.0,"라벨링 때문에 갔는데 사장님이나 직원이나 다 친절하진 않으세요,, 가격이나 맛도 큰 메리트 없고 라벨링이 너무 하고싶을 때 아니면 비추입니다..!"
냠냠,15,36,3.0,2023.01.29.,5.0,빠수니들의 성지인 이유가 있다...안주 존맛 .... 사장님 넘 친절하세요
.,30,142,4.1,2022.12.11.,5.0,그냥...마음의 고향임그 어떤 아이돌팬이라도 같이 가서 라벨링 하고 놀 수 있음술에 취해서 헤렐레 해도 지하철역이 가까워서 괜찮음여러모로 최고이에
최혜경,10,40,4.6,2022.10.05.,5.0,
ㅇㅇ,45,308,4.4,2022.09.14.,5.0,소주 라벨 ㄱㄴ
ㅈㅎ,8,6,1.7,2022.09.01.,1.0,늘 먹던 차돌탕 먹었는데 차돌박이에서 머리카락이 2개나 나왔어요...^^ 다시 끓여주신다고 한걸 저희가 다 못먹을거 같아 거절했는데 음식 가격도 안 빼주실 줄은 몰랐어요...맛있고 친절하셔서 좋아했는데 재방문하긴 꺼려지네요..;
아뵤진,15,125,4.4,2022.05.16.,4.0,
퍼리슬,13,20,4.3,2022.05.02.,5.0,안주 맛있어요
io,30,269,3.8,2022.03.31.,3.0,
먹짱,64,198,4.1,2021.11.13.,5.0,하이볼이랑 안주들이 너무 맛있어요. 마요새우 정말 맛있었는데 다시 팔아주셨으면 좋겠습니다.
A 𖤐,3,3,5.0,2021.09.03.,5.0,마지막국물한숟갈까지 맛있음 ..
크루아상,2,2,5.0,2021.09.02.,5.0,
Danse,4,2,5.0,2020.10.07.,5.0,진짜 차돌지개 너무 맛있음.....소주도둑이네...
배상철,3,2,5.0,2020.10.07.,5.0,너무맛잇어요
재경,3,3,5.0,2020.10.07.,5.0,맛좋고 분위기 좋아요~
유재일,5,4,4.0,2020.10.07.,5.0,사장님이 너무 좋아요~~
은,12,8,2.8,2020.07.21.,4.0,
밍맹,13,8,4.5,2020.06.11.,5.0,안주 존맛탱~~~!!! 상수 최애 술집 s2
지온,12,22,4.4,2020.05.29.,5.0,
상수동핵주먹,23,30,4.4,2019.12.11.,5.0,사장님 사랑해요
Ryan(훈석),3,4,4.0,2018.12.16.,5.0,음식 ㅈㅁㅌ
