user_name,user_rank,num_response,user_star,time,rating,content
KG,27,46,3.7,2023.08.27.,2.0,
loxrd21,48,"1,510",3.2,2023.08.02.,3.0,
루삥뽕,16,28,2.9,2023.07.29.,5.0,맛잇고친절함그리고내밑에잇는♪♪♪♩소주맥주 5500원이면싼거지 불만이많네
Jay,85,"3,044",1.2,2023.05.24.,1.0,"소주, 맥주, 막걸리 5500원"
김승진,3,4,4.5,2023.04.12.,4.0,
박민서,15,10,4.6,2022.06.09.,5.0,안주도맛있고 사장님도 친절하시던데 별점이 왤케 낮은지 잘 모르겠어요ㅜㅜㅠ
미식가될테야,22,260,3.9,2021.12.28.,1.0,
기예지,18,99,3.3,2020.02.07.,1.0,
준.민.(Junmin),18,28,2.8,2019.10.08.,5.0,
나경,22,714,3.4,2017.08.08.,4.0,안주맛있어요♡
