user_name,user_rank,num_response,user_star,time,rating,content
tail,3,2,3.0,2024.03.27.,1.0,첫직장 입사했을때 선배들과 갔던곳23년후 큰딸 졸업식에 다시 찾았는데 흠... 추억으로만 남겨둬야 할듯
백수정,5,2,5.0,2024.03.10.,5.0,한강 야경 보면서 먹은 코스 요리는 내가 이때까지 먹은게 요리가 아니라는 걸 느끼게 했어요... ^_^... 야채를 엄청 가리는데도 하나도 남기지 않고 다 먹을 수 있었던 곳이었습니당 너무 추천해요 :)!!!
행복...,14,23,3.0,2024.03.01.,1.0,가격에 비해 음식과 서비스가 별로...문의했을 때 '엥?' 하는 태도로 못 물어볼 걸 물어본 사람마냥 취급해서 고객을 민망하게 하는 것도 마음에 안 들었는데... 메뉴에 대한 설명도 제대로 해 주지 않고 특히 스테이크는 너무 질기고 맛이 없었다뷰는 예쁘긴 했지만 특별하지 않았고 불쾌한 기억에 다시 방문할 것 같지는 않다
뿌뿌,30,87,4.6,2024.01.08.,4.0,념일날 가기 좋은 곳입니다! 한강뷰가 이쁘고 음식도 맛있어요!
식물나라,7,8,2.5,2023.09.26.,1.0,재료를 가격대비 좋은거 안쓰더라고요;;;;
진영,14,25,4.2,2023.09.01.,3.0,념일이라서 가긴 했는데 뷰 말고는 맛은 쏘쏘해요
ㅇㅌㅅ,17,44,4.3,2023.08.01.,3.0,뷰보고 분위기 느끼러 가는곳 음식은 덤 그리고 너무 올드함
맛도링,25,72,2.7,2023.07.09.,1.0,평점과 리뷰에 속아서 기념일에 방문했다가 그날 데이트 다 망쳤어요 굉장히 올드한 분위기 레스토랑입니다 가격은 또 고급 레스토랑 가격 받으시고 ..요즘 보기 드문 옛날에 머물러있는 노후된 인테리어와  화장실 냄새..ㄷㄷ
.,5,9,2.1,2023.07.09.,1.0,
마이멜로디,28,113,2.9,2023.05.22.,3.0,맛은 있지만 양이 정말 너무 적다 뷰…분위기…도 좋지만 기대한 만큼은 아니었음 딱 3점정도..?
정우,3,10,5.0,2023.05.17.,5.0,
군청림,35,327,3.6,2023.04.17.,5.0,와본 코스레스토랑중에 맛.분위기.가성비 모두 최고
숙제한의원,24,33,3.7,2023.03.20.,5.0,뷰가 너무 좋아서 맛이나 서비스는 기대 안했는데 파스타의 익힘이나 소스 풍미도 굉장히 수준급이고 서비스도 정말 좋았습니다.
자연인,21,96,4.1,2023.03.14.,5.0,연인과 데이트 하기 좋음🌹
.,8,7,3.9,2023.03.01.,4.0,뷰만 좋고 맛없으면 어쩌나 걱정했는데 전반적으로 평타는 침. 다른건 평범했는데 트러플 리조또는 맛있었음
박채학,2,2,3.0,2023.02.22.,1.0,피클 한 접시 주고 더 이상 줄 수 없대요. 오늘 준비된 피클이 다 떨어졌대요. 황당. 느끼해서 간신히 먹었어요. 분위기고 뭐고 기분 별로인 집. 두 번 다시 안 감.
런,11,15,3.7,2022.12.29.,1.0,크리스마스1인20 코스먹음음식나오는 대기시간이 35분걸림내 앞쪽 테이블은 다먹고 나가는데 우리는 이제 스테이크 나오던데 ㅋㅋㅋ 음식도 그닥;
리링,55,598,3.7,2022.12.20.,4.0,
