user_name,user_rank,num_response,user_star,time,rating,content
밍키,6,2,5.0,2024.03.26.,5.0,곱창구이랑 갈매기살 그리고 볶음밥 시켰음 맛있고 친철합니다!! 강추~!
jja,12,18,3.7,2024.01.05.,3.0,구석자리 너무 추워요ㅠㅠ
먹는게삶의낛,21,52,3.8,2023.12.06.,5.0,여기 맛있음 여자 셋이서 한시간 반동안 소주 6병 깠나..?ㅋㅋ최고였음..두 친구가 곱창이 아예 첨이라고 했는데 ..아주 조아했슴
park,14,34,3.5,2023.10.08.,4.0,다 괜찮은데 꼼장어는 비추
별로인곳만후기,19,48,2.4,2023.05.22.,1.0,맛없어서 곱창을 남긴적은 처음이네요..ㅎㅎ;불친절은 덤
호수호수공원,18,33,4.2,2023.05.09.,5.0,맛나요 ^^
봄봄,5,7,4.7,2023.05.06.,5.0,
듀,5,35,4.0,2023.04.08.,5.0,
낰성대,14,55,4.0,2023.04.08.,4.0,
감자,8,10,4.3,2023.03.13.,4.0,곱창 대창 꼼장어 갈매가 다 먹었는데 대체적으로 다 맛있었어요! 꼼장어 꼬들꼬둘 잘 먹었슴당 근데 볶음밥은 좀 별로 였어요..! 그냥 주먹밥을 더 시켜먹는게 좋을 것 같아요..
김수진,16,30,3.9,2023.02.24.,4.0,맛있슴니다
cercle,35,645,3.6,2023.01.19.,3.0,무난
맛집감별사,65,199,3.9,2022.12.21.,3.0,맛도 양도 서비스도 진짜 딱 평범웨이팅하면서까지 먹진 않을..
미식가될테야,22,260,3.9,2022.09.23.,5.0,
윤님,23,40,4.6,2022.09.11.,5.0,막창 진짜 맛있어용!!!치즈는 꼭 추가해서 드세용👍🏾
☆soda,31,166,4.1,2022.08.17.,4.0,
맛잘알,18,56,3.5,2022.08.15.,4.0,맛있음
