user_name,user_rank,num_response,user_star,time,rating,content
lee,12,31,4.4,2024.04.25.,5.0,여기보다 맛있는 타코 못 먹어봤어요. 꾸준히 방문하고 시켜도 먹는 맛집.
후후,13,28,4.2,2024.04.17.,5.0,
ㅇㅎ,3,4,5.0,2024.03.09.,5.0,타코가 정말 맛있고 나초 치즈도 맛있어요
ConnellKim,17,14,4.9,2024.02.11.,5.0,
임혜송,14,12,4.3,2024.01.28.,5.0,서울에서 가장 좋아하는 타코집! 블루리본에는 모두 이유가 있다. 퀘사디아 퀄리티도 미쳤음
뚱땅,3,2,1.0,2024.01.02.,1.0,진짜 장사 하고 싶긴 한 건지 의심 될 불친절함.뭐 메뉴판 따로 나눠주는 것도 아니면서 계산대 앞에서 메뉴 고르고 있으니까 뒷사람 오자마자 뒷사람 기다린다고 개꼽줌 1분도 안 됐는데 ㅋㅋ2인 오면 꼭 2인 세트메뉴 시켜야 함. 메뉴도 뭐 딱히 특출나게 맛있는 것도 아님 가격만 비싸고 다신 안 올 것.
.,13,42,4.4,2023.11.06.,4.0,맛있어요
카우,46,326,3.8,2023.09.03.,3.0,개인적으로 엄청 맛있다까지는 잘 모르겠어요 한 번 가 볼만한 정도?
하늘,16,283,5.0,2023.08.31.,5.0,
무우,31,106,4.2,2023.08.19.,5.0,퀘사디아는 음 모르겠지만 돼지고기타코 너무 맛있는 곳 ~~
밍넛,40,287,3.1,2023.08.07.,4.0,쵸큼 창렬한데 맛있어요 돼지고기 타코 bb소고기는 다져져 있어서 별로
빈,20,44,3.7,2023.08.01.,5.0,리얼타코 밋만있누타코
바람의열두방향,63,236,3.7,2023.07.19.,3.0,돼지고기 타코 맛있어요
초록하나둘셋,14,45,4.5,2023.07.12.,3.0,맛은 있는데 가격이....
두두,13,17,4.1,2023.07.09.,2.0,별로임 타코 두개에 브리또 두개가 41000원여기 갈 가면 신촌 타코로코 감 ㅡㅡ
ㅡㅡ,13,22,2.5,2023.06.17.,1.0,타코가 맛있어서 예전 좋았던 기억으로 왔는데.. 다신 안 올거같네요ㅋㅋ등에 문신있고 머리하나로 묶은 키 큰 여자분 접시 탁탁 소리나게 내려놓고 가버림. 남자 사장은 버젓이 물컵 있는곳에 나와서 휴지로 코 푸네요ㅋㅋ불친절과 저세상 위생에 두번 놀라고갑니다.
yummy,15,54,4.0,2023.05.29.,5.0,
Jeongsa,3,5,4.0,2023.05.14.,5.0,"It's fine for what it is. I'm not deep into Mexican or even Cali-mex and Tex-Mex, so take my words with a grain of salt. I like the place enough to be a repeat customer. Portions are fine and I'll always be pleased with the double pork tacos. However, if you have strong opinions on Mexican food, you should probably reconsider it as all the Californians I took or been with (of course) were less than thrilled."
💚,14,19,4.0,2023.05.09.,1.0,"너무 불친절해서 재방문 안함. 타코 나왔는데 포크 나이프 그런 거 하나도 안줘서 어딨냐고 물어봤더니,직원이 완전 표정 정색하고 무시하는 말투로,“타코 원래 손으로 먹는건데요” 이러고 끝.그래서 그럼 이따가 다음 메뉴 나오면 주는거냐고 물었더니 ,잘 들리지 않게 중얼중얼 하더니 손에 포크 쥐어줌.서비스업 마인드가 전혀 없고 그냥 비싼 돈 내고 혼나고 온 기분.유명해서 갔는데 맛도 그저 그럼.오히려 먹다보니 느끼. 간만에 밥먹고 돈 날린 기분 들었음"
보라보,22,57,4.1,2023.05.05.,5.0,돼지고기 타코가 부드럽고 맛있음
안새롬,3,3,3.7,2023.04.29.,5.0,진짜 ㄹㅇ 찐맛 무족권가셈
서한,22,48,4.0,2023.04.21.,3.0,충격이다 금욜낮1:20..문 닫혀있음....
azossii,65,582,4.9,2023.03.13.,5.0,"주말은 세트가 기본 단품은 추가,,  다른 메뉴보단,, 타코가 채고 근본,,행복은,,, 어디에나 있는 것,,, ^^ @azossii"
Alyssa,22,63,3.8,2023.03.09.,5.0,돼지고기 타코 진짜 ㄹㅇ 맛있음근데 배부르게 먹을라면 돈 개털림
호두나무,22,50,5.0,2023.03.07.,5.0,My friend kevin‘s mexican food place
🫧,11,7,4.4,2023.02.26.,4.0,
시너,50,327,4.0,2023.02.04.,3.0,무난했음 타코는 괜찮았고 치즈나초랑 퀘사디아는 그냥 그런맛
Pauline,12,13,3.3,2023.02.03.,4.0,
냉철한입맛,43,503,3.7,2023.01.16.,4.0,돼지고기 타코가 맛있어요저녁에는 단품은 주문 안 되는 경우도 있는게 단점입니다
ㅇㅅㅇ,26,114,3.6,2022.12.29.,1.0,
따뜻한개소리,37,286,3.3,2022.11.29.,5.0,사장님이 있을 때랑 없을 때랑 직원 속도랑 친절함이 다름. 그래도 맛은 해외에서 먹던 맛 그대로라서 추천.
폭폭페이스,11,20,3.9,2022.11.20.,3.0,비싸고 양이 많은 편. 혼자 방문하는건 비추함. 맛은 평타는 침.
°.세이프  ۛ ּڛۜــۑْۧــڤ,5,10,1.4,2022.10.19.,1.0,맛 100% really good !service 0 from 10the workers are sooo slow ! the owner of the place is very nice guy when he is here everything finish fast !the worker is so rude! to the customers!
맛난거먹자,12,41,3.7,2022.10.02.,5.0,타코 존맛 맥주랑 같이 먹으면 딱
차민호,25,49,3.7,2022.09.28.,3.0,맛있긴한데 가격이 조금 비싼 편인 것 같고 무엇보다 매장 안이 너무 더워요ㅠ
뽀로로,14,32,3.8,2022.09.27.,4.0,타코가 맛있음 먹어본 소프트타코중에 굿부리또도 ㄱㅊ 치즈나쵸 맛있음마가리타 맛있음세트메뉴만 시켜야하고 비싼게 슬프긴 함 고수추가도 돈 받음.. 너무 슬픔 어떻게 멕시칸을 고수없이 먹으란 말이냐..
여긴 맛집이라고 봐,21,46,4.9,2022.09.24.,5.0,ㅇㄷ
김아싸,35,169,4.1,2022.08.24.,3.0,대에 비해 평범한 맛
냄,23,73,3.0,2022.08.23.,4.0,소프트타코가 맛있다
정예린,53,402,4.3,2022.08.15.,4.0,타코가 ㄹㅇ 존맛 ㅠㅠㅠㅠㅠ퀘사디아더 귯
세로토닌,38,213,4.0,2022.08.12.,5.0,"타코 맛있어요! 저녁에는 좀 어수선하고 시끄러운 분위기지만 여행온듯, 현지스러운 타코와 잘 어울리고 좋아요오."
풀내음,31,227,4.0,2022.08.10.,3.0,
유세벽,5,11,4.8,2022.07.19.,5.0,타코 꼭 드세요. 안에 고수 들어가서 상큼했어요. 또띠아가 메밀전병재질이라 쫀득쫀득 맛있어요
푸른만월,25,47,3.1,2022.07.11.,2.0,가격만 비싸고 맛은 타코벨급임
최고의 맛을 찾아서,37,242,3.7,2022.07.03.,4.0,가격대는 있지만 그래도 너무 맛있었어요! 소고기보다 돼지고기가 훨씬 맛있네요 ㅋㅋㅋ
지가두눈으루다봤슈,13,41,5.0,2022.06.20.,5.0,원래 많이 먹는 편이지만 너무 맛있어서 항상 추가해서 더 먹음매일 먹고 싶어유
창오,27,65,4.1,2022.06.18.,4.0,확실히 가격대가 좀 있는 편이네요. 무조건 세트 주문만 가능하며 양이 많아서 양이 적은 분들은 부담스러울 수도 있겠습니다.다만 타코가 정말 맛있네요. 치미창가도 맛있습니다.
홍밥러,46,215,4.3,2022.06.07.,5.0,"치미창가 커플세트 30,000₩왕 맛있음…!! 다 먹으면 생각보다 배부름토종 한국입맛인 내겐 제법 느끼하게 느껴짐.타코를 먹고 싶다면 구스토로~~"
주관적쩝쩝,45,324,3.1,2022.05.31.,4.0,주관적으로 돼지고기타코는 넘사벽!!!나머지 메뉴는 다 고만고만 (고만고만하지않게 은근 비쌈)2인세트는 부리또 들어간걸 먹어야 둘이서 배부르게 먹을 양! 커플 식사로는부리또 2인세트에 타코추가하면 딱좋다★ 절대비추 지인에 가지말라고 할 집★★ 재방문의사 없음/평범 혹은 그이하★★★ 괜찮음 누가 가자고하면 다시감★★★★ 맛있음 재방문의사 있음★★★★★ 추천 찐맛집
3,28,133,3.7,2022.05.26.,3.0,구냥구래
맛집탐방아티스트,47,413,4.3,2022.05.26.,4.0,부리또보다 타코가 맛있어요외국인들이 요리 및 서빙함 혼밥보다 커플로 오는게 가성비 있음 (ㅠㅠ단품을 팔지 않기 때문임 무조건 세트로 시켜야 하는게 단점
Sonia Knapp,25,62,4.6,2022.04.30.,5.0,"Excellent “American style” Mexican food made from scratch (if you like it spicy, ask for their flavorful hot sauce). Great vegetarian options. I had the set, and for just ₩4000 more, had a margarita— frozen and boozy, esp by Korean standards. Nice atmosphere."
낱말,20,69,3.5,2022.04.09.,5.0,빼어남 .
🍉,33,122,4.5,2022.03.07.,5.0,대존맛이에요 양이 많아요 2인세트시키면 성인 남성 2명이 배부를정도
yyy,28,143,4.4,2022.03.06.,5.0,근래 먹은 타코집 중 최고
jiji,14,31,4.7,2022.02.09.,5.0,"두 번 방문했어요. 돼지고기, 소고기 타코, 퀘사디아, 치미창가 먹어봤구요. 전 소고기 타코가 제일 맛있었어요! 퀘사디아는 칠리소스에 찍어 먹으면 짠 맛 덜하고 맛있어요. 맥주도 너무 맛있고요! 다음 번엔 부리또도 먹어보고 싶어요.+세 번 먹었어요. 소고기보다 돼지고기가 더 맛있는 것 같기도?"
