user_name,user_rank,num_response,user_star,time,rating,content
냉철한입맛,43,503,3.7,2024.04.21.,4.0,팥빙수 팥도 많고 우유빙수도 맛있습니다응대도 친절하셨습니다가격이 좀 비싼게 단점입니다
초밥킬러,21,54,3.5,2024.02.28.,4.0,다 양많고 맛있어요얼음이 더 부드러우면 좋을것같아요양갱은 그냥 저냥 그랬습니다
응,2,1,2.0,2023.10.28.,2.0,양갱이랑 딸기빙수 시킴. 딸기빙수는 맛있음근데 여자 알바 두명 불친절 + 손님들 보다 시끄러움서비스 별로라 두번은 안감
극호극혐,10,18,3.6,2023.09.11.,4.0,딸기 빙수 맛있음하지만 비싸서 양갱이나 다른것들도 같이 먹기 힘듬
qwert,16,68,3.7,2023.09.07.,5.0,
황병준,2,1,4.0,2023.08.29.,4.0,양갱 선물용으로 괜찮아요.
리얼리뷰,24,97,3.0,2023.08.14.,3.0,20일까지 공사.. 헛걸음
ㅅㄹ,36,132,3.5,2023.07.13.,2.0,핕빙수 양이 많지 않아요 그래도 점심식사를 거하게 먹고 온 다음이라 괜찮았어요 밤양갱도 시켰는데 많이 안달고 괜찮았어요~
raindance,25,52,3.6,2023.07.05.,4.0,"딸기 빙수와 팥빙수 맛있는데, 특히 팥빙수에 올려진 팥이 너무 달지 않고 상당히 맛있습니다. 덕분에 양갱도 궁금해져서 다시 방문 의사 있습니다. 가격대가 좀 있어서 별 하나 뺐습니다."
맛찾아,15,40,3.9,2023.06.17.,4.0,팥죽이랑 수정과가 넘 맛있음..개인적으로 인천보다 더 맛있었다/화장실 내부에 있음/패브릭 의자는 좀 얼룩져 있어서 자리 호불호 있을것같음
아데,2,1,1.0,2023.06.06.,1.0,딸기빙수 시켰더니 25분만에 나옴 크기도 매우작음
총총,17,57,4.1,2023.05.27.,5.0,빙수 맛집❤️
전사의 긍지,34,234,4.1,2023.01.23.,3.0,
건강한오리씨,7,9,4.9,2023.01.15.,5.0,양갱 사러 다녀왔는데전화로 제품 상담도 친절하게 해주셨고방문했을때도 친절하게 해주셨어요 감사했습니다. 양갱이 선물용으로 너무 예쁘고 좋다고 생각해요
01,22,53,3.1,2022.12.26.,5.0,팥빙수 먹고 싶어서 갔는데 둘이 먹기에 양도 딱 좋고 팥도 맛있었어요
최나은,45,199,4.1,2022.08.21.,5.0,팥빙수가 만원에 크기가 크지도 않아서 정말 비싸다고 생각했는데 그럼에도 불구하고 별점을 깎을 수 없게 맛있습니다. 팥이 딱 봐도 직접 끓인 수제인데 그 맛이 차원이 달라요 다른 데서 먹어본 팥과 비교가 안 됩니다 먹어본 팥빙수 중에 제일 고급지고 맛있었어요 식감이 참 부드러우면서 팥 특유의 단맛이 극대화 되고 그렇다고 너무 달지도 않게 딱 좋았어요 떡 고물도 올라가서 한 덩이씩 먹었는데 큼직하니 쫄깃하고 맛납니다 빙수 밑 부분도 얼음인지 우유인지 아주 잘게 입자가 안 보일 정도로 갈아서 부드럽고 좋았어요 웬만한 우유 빙수 시켜먹어도 이렇진 않았는데 여기가 최고네요 가게 안 인테리어도 편안하면서 예쁘고요 여름철에 들려서 빙수 시켜먹기 딱입니다! 추천
14oz,47,250,4.1,2022.08.20.,5.0,팥빙수 정말정말정말 베이직하면서도 맛있습니다. 이정도면 가성비 오짐. 팥이 최고예요. 수정과도 추천. 양갱은 비추
