user_name,user_rank,num_response,user_star,time,rating,content
잘생긴남자,16,4,3.8,2024.04.18.,3.0,"나는 집(고양시)에서도 30분 거리고 날치알 볶음밥도 맛있었는데, 랍스터는 네입맛에 좀 안 맞아서 3점(근데 내가 초등학교 3학년이라 그럴수도)"
Mind,21,59,3.5,2024.03.06.,1.0,손님이 점심에 세테이블밖에 안와있는데도 주문누락ㅋㅋㅋㅋㅋ이번이 네번째라 그냥 손절하려고요 능력이안되면 손님받질마세요 직원이 몇명이고 홀이그렇게 넓은데 주문누락이 말이됨?키오스크 주문이 어떻게 누락돼요?? 음식도 작년말부터 할머니 립스틱 냄새랑 맛 나던데 식기 설거지도 제대로 하는지 의문인곳 온 접시랑 식탁도 점점 더러워져서  게비린내나고 반찬도 찝찝함불쾌해서 다신안가요
반영각,9,14,4.3,2024.02.22.,4.0,많이 비싸지만 맛나요
bbo,3,3,5.0,2024.02.01.,5.0,색다른 대게술찜과 랍스타 술찜이 맛있었음스파게티면도 맛있었구요또들릴게요
BOEing,23,49,4.0,2023.11.09.,5.0,대게 맛있고 같이 나오는 스끼다시도 무난하게 맛있어요! 네이버로 예약해서 5프로 할인받아서 맛있게 먹었습니다 특히 마지막에 개인별로 볶음밥 주셔서 게살이랑 내장 더 넣어서 비뱌먹었더니 진짜 맛있더라구영 아 근데 룸은 좀 좁고 답답합니다.. 홀 테이블에서 먹는게 나을 것 같아요
NANA,2,17,4.5,2023.07.18.,4.0,
suj,6,16,4.2,2023.02.08.,4.0,
슴슴,20,33,2.8,2022.12.21.,1.0,"최악.,너무짜요 벨을 아무리 눌러도 종업원 오지도않고 ㅎ소래포구에서 먹을땐 고소했는데 대체..소금  뿌려서 찐건지대게는 살이 텅비고.. 킹크랩은 소금덩어리고  40만원을 버리고온 기분입니다"
스마일팍,6,6,4.2,2022.07.25.,5.0,점심때 자주 이용해요근처에선보기드물게 반찬도 알차고 조미료맛 없이오래된 맛집입니다친절하고 넓고 깨끗한건 덤이네요강추합니다
배재현,67,591,3.5,2022.06.22.,3.0,대개전문대게정식 ㅡ 가성비는 별로...
정강수,11,18,4.9,2020.03.27.,4.0,
하이,2,2,4.0,2019.11.13.,3.0,맛은 있었지만 직원들의 불친절함으로 좀 별로였네요.직원들의 서비스 교육이 필요할 듯합니다.
진,10,18,4.0,2019.09.24.,5.0,둘이서 킹크랩하나 먹었는데  기본찬도 잘 나오고 배터지게 먹었습니다.
빡썬,43,237,3.7,2016.06.25.,3.0,대게가 살이 통통함다리살 몸통살 게딱지까지 맛이 굿!스키다시랑 마지막에 나온 게딱지볶음밥도 괜찮았음.
