user_name,user_rank,num_response,user_star,time,rating,content
그거 맛있는 고양?,24,44,4.3,2024.02.17.,1.0,요즘 같은 시대에 외국인 출입 금지라니요ㅋㅋㅋ 국제적 망신이네요. 제발 망해주세요. 사장님은 여행 가서 외국인이란 이유로 문전박대 당해도 인종 차별이라고 기분 나빠하실 자격 없습니다.
구치,2,11,5.0,2024.01.22.,5.0,
촘봇,5,5,3.6,2024.01.10.,1.0,가격 대비 안주가 별로에요.음악 소리가 너무 시끄러워서 대화가 불가능.3시간 이상 앉아 있으면 나가 달라고 하네요.이상하게 웨이팅은 길어요.
와압,25,48,3.5,2023.11.14.,2.0,안주 싸긴한데 넘 맛없어요 ㅜㅜ
KG,27,46,3.7,2023.07.19.,3.0,안주 가성비도 좋고 질 자체도 나쁘지 않아요 1차론 홍대에서 제일 좋은 거 같네요직원 분들은 워낙 케바케라 좀 말씀드리기가 그러네요
victo,11,16,2.3,2023.07.05.,1.0,"외국인 출입이 안되는 인종차별 가게입니다 Foreigners can’t have a seat, such a racist"
ㅣㅣ,12,4,3.8,2023.06.08.,5.0,안주 다 맛있고 사진 속 설탕토마토도 미1틴놈이지만 여기진짜도라이는 '마라쌀국수'임
Solo,2,1,5.0,2023.05.13.,5.0,
DJ,2,2,3.0,2023.05.08.,1.0,foreigners not welcomed
jmt g,6,5,2.6,2023.04.10.,1.0,외국인을 받지않는 저급하고 시대착오적인 생각을 가진 쓰레기같은 술집입니다.
히나,2,1,1.0,2023.04.10.,1.0,日本人だからって断られました
흠..,19,35,2.5,2023.03.23.,5.0,꼼보는 ㅇㅕ.. 오므라이스 맛집이라구여!!!쫑마탱 자꾸 요놈 생각나서 감
세은,11,13,4.2,2023.01.24.,5.0,안주ㅆㅅㅌㅊ 주말에 무적건 웨이팅 쌀국수 미린랙기 꼼보 욕하지마 왜욕해 사장님이 맛있고 음식이 친절해요;
친절이좋아,2,2,5.0,2023.01.13.,5.0,직원이아니 음식이 엄청 맛있어요특히 직원분들이 친절하고 음악분위기너무신나요초저녁에가서 먹을 밥메뉴가 많아서 좋았어요
니니,2,1,5.0,2023.01.12.,5.0,일단 메뉴 가성비 짱이여용 글고 너무 맛있어요직원분들이 너무 친절해서 너무 좋았어요 !! 특히 문신많으신 오빠 너무 잘생겼어용 ♥️
최현우,1,1,5.0,2023.01.11.,5.0,남자 직원분들 너무 친절하고 잘생겼어요
동빈,1,1,5.0,2023.01.10.,5.0,사람들이 힙해요
요피,2,3,2.3,2023.01.10.,1.0,"너무해요 저희 취하지도 않았는데 술게임에서 이겼다고 소리 한번 지른건데 경고 조치없이 취했다고 술 안된다 그러고 이게 맞는건지 모르겠어요 애초에 저희도 경고를 했었으면 안했을건데 아무런 조치 없이 그런 경우는 처음 보네요 저희는 그냥 돈내고 술 먹으러 가는거 뿐인데 어이없어서 안주 남기고 그냥 나왔어요진짜 손님한테 그러는거 아니에요…ㅠㅠ직원들 너무 불친절해요,,"
정의의여신,20,56,1.6,2023.01.04.,1.0,이런 x같은 집 빨리 망해라. fking racist and rude. 한국인 인지는 역시 🤏 이만큼 ㅋㅋㅋㅋ
Mireya,11,1,1.0,2022.12.15.,1.0,"racistas, only Koreans puag"
drgz,46,346,4.1,2022.11.20.,2.0,별루
인증🎖맛집찾아라,31,264,2.4,2022.01.05.,1.0,
쬬,4,10,4.1,2021.11.18.,4.0,
loxrd21,48,"1,510",3.2,2021.03.10.,4.0,
솔직한편,14,33,3.9,2020.02.25.,3.0,명성에 웨이팅에 가격에 비해 구냥?
