user_name,user_rank,num_response,user_star,time,rating,content
방참우,31,73,4.0,2024.04.03.,5.0,맛있게 잘 먹었습니다! 재방문 의사 있어요.
Jay,85,"3,044",1.2,2024.03.30.,1.0,전부 광고
안성진,2,1,5.0,2024.03.29.,5.0,"모두 친절하시고, 가격도 맛도 최고입니다! 다시 또 먹으러 올게요~"
드디어,34,152,3.6,2024.03.28.,5.0,찾았다!
맛집만 조짐,31,101,4.0,2024.02.09.,5.0,진짜 넘 맛있음….. 가성비 대박;;;; 칼집 삼겹살이랑 목살이 진짜 미쳤음ㅠㅠㅠ같이 나오는 반찬들도 너무 맛있음 사장님 먹잘알 인정합니다… 재방문의사 10000%
ㄴㄱㅂ,32,203,2.6,2023.12.22.,5.0,
anndj,22,50,3.0,2023.10.08.,5.0,조금 기다리긴 했지만구워서 나오는것도 좋고 무엇보다 넘 친절하시고 맛있었어요!!
._.,33,475,4.6,2023.09.08.,5.0,맛있고 친절하세용!
ok,3,4,4.5,2023.09.07.,5.0,
U,3,4,5.0,2023.08.18.,5.0,전 정말 맛있었어요!
그린,18,23,3.0,2023.08.18.,3.0,맛없잖아..속았어ㅜ 직원은친절해요
냠냠,25,83,4.2,2023.06.25.,5.0,
·̑◡·̑,11,19,4.0,2023.05.28.,5.0,깔끔하고 맛있고 친절해요  ! 가격두 괜찮아요
룰루랄라,14,20,3.6,2023.05.27.,4.0,"여기 고기+냉면 조합 너무 맛있어서 배민으로 자주 배달시켜 먹었는데요, 매장 영업사정에 따라 바뀌어서 그런건지 배달은 했다 안 했다 그래서 너무 아쉬워요ㅠㅠ"
qwert,16,68,3.7,2023.05.14.,5.0,
purplemk,7,21,5.0,2023.05.13.,5.0,삼겹살 맛있어요 볶음밥 맛있어요 가게 깨끗하고 넓고 좋아요. 직원분들 친절해요 100점
초코크로와상,51,324,4.5,2023.05.05.,5.0,
돌날,2,18,4.6,2023.01.07.,5.0,
뿡뺭삐룻,12,7,3.9,2022.12.12.,5.0,"1. 멸치속젓(갈치인가..?)에 찍어서 고사리와 함께2. 명이나물(맞나..?)에 싸서 와사비와 함께3. 백년초 소금에 찍어서4. 살사소스, 파인애플, 각종야채와 또띠아(중요)여기 또띠아랑 고기랑 먹는 조합 되게 신박한데 쥑입니다.. 미식가가 된 느낌 ㅋㅋ 엄청 맛있게폭식하고 나와서 여기저기 소개해주려구요"
연주,5,4,5.0,2022.06.12.,5.0,여기 진짜 맛집입니다 맛도 친절도 너무 감동이어서 리뷰써요~~ 다음에 또 올것같아요 그냥 메뉴 다 맛있습니다 진짜 껍데기도 찐!
눈흘기는강쥐,47,779,3.7,2022.06.07.,5.0,테이블 수가 많고 고기가 구워져서 나와서 좋음사장님 친절히 설명해주셔서 맛있게 먹었습니다
하와이,26,95,4.0,2022.05.02.,4.0,good!
추추,13,41,4.0,2022.03.07.,5.0,고기 맛있네요~
바칸샘,2,3,4.3,2021.10.03.,3.0,
호불호,45,248,4.1,2021.09.19.,5.0,"존맛에 사장님도 친절하심,,,,"
15315,20,39,4.5,2021.09.02.,5.0,여기는 목살이최고~~~~!!!
레이나,23,50,3.8,2021.07.02.,5.0,요기 맛있고 친절하고 다하는데 왜안가요?? 손님 많아졌음 좋겠어요! 너무 잘먹고왔어요 사장님:-D
🙊,17,16,2.8,2020.12.30.,5.0,"최근에 좀 자주 갔는데, 꽃삼겹, 꽃목살만 먹어요. 장미꽃삼겹은 냉삼이고 맛은 별로. 일단 직원분들 너무 친절하시고 갈 때마다 곁들여 먹는 메뉴들 설명 다 해주시고 똑같은 고기도 다양한 양념에 찍어먹을 수 있어서 좋아요. 가성비 좋은 삼겹살집 찾으시면 바로 여기입니다."
히릿,20,34,4.3,2020.10.04.,5.0,진짜 존맛탱 꼭 가세요 두번 세번가세요 ㅠㅠ 주인 아주머니도 친절하시구 진짜 고기도 맛있고 또띠아는 신의한수임
프로맛집러,22,41,3.5,2020.08.11.,5.0,여기 존맛 사람도 별로 없고 조용해서 좋은데 또 사람이 별로 없어서 가게가 문을 닫지는 않을까 걱정되는 집매우 친절한데 고기도 존맛이고 고기 퀄리티에 비해 가격도 싸서 합정에서 고기먹는다 하면 무조건 가는 집
거짓말은 못하는 편,22,55,4.6,2019.11.02.,5.0,와사비랑 와사비잎이랑 갈치속젓ㅠㅠ 고기랑 너무 잘어울리고 짱맛있어요....갈 때마다 항상 친절하게 설명 다해주시고 최고입니다. 고기도 다 구워주시고... 제주도 돼지고기라 그런가 더 맛있게 느껴져요. 다만 손님이 많아 좀 시끄러워요.
ㅇㅇㅇ,13,39,3.2,2019.04.28.,5.0,대박 맛집. 대박 친절. 손님에게 무지 신경을 쓰신다. 재방문 100%. 진심 갈 때마다 놀라는 집.
이병학,36,645,3.7,2018.09.16.,5.0,구워줘서 좋음맛있고 친절
카카오톡,12,56,4.0,2018.09.08.,5.0,
