user_name,user_rank,num_response,user_star,time,rating,content
최수디,3,1,5.0,2024.03.30.,5.0,고기 너무 신선하고맛있어요직원분들도 친절하고 좋습니다다섯번이상 방문중!!!!
힙찔이,14,18,4.2,2024.03.26.,5.0,고기퀄 굿. 다른 고깃집 다녀오면 유독 더 생각남
Dk,5,1,5.0,2024.03.25.,5.0,직접 구워주고 반찬도 모두 너무너무 맛있고 식사류는 더더욱 착한 가격. 사장님과 직원분들 고퀄고기 오래 먹게 해주세요🙏🏻
Dan,4,6,4.5,2024.03.24.,4.0,
후,4,5,3.4,2024.03.21.,4.0,맛있는데 좀 묘해요
박기훈,7,39,4.3,2024.03.15.,5.0,
shhiit,6,6,3.0,2024.03.06.,5.0,두번 방문했지만 사진이 없네요 목살이 진짜 미쳤습니다 밑반찬도 맛있고 홍대와서 고기 먹고 싶으면 가야할 곳 20대에게 가성비 고기집은 아니지만 언제나 추천하는 곳!
한살구,2,1,5.0,2024.02.17.,5.0,갈 때마다 웨이팅이 좀 있지만…. 맛있어서 참을 수 있습니다ㅎㅎㅎ
임성화,2,1,5.0,2024.02.17.,5.0,목살이 진짜 맛있는 집 무조건 추천 목살드세요 무조건 목살 먹어야하는집 마무리 된장죽이면 극락
김현모,3,2,1.0,2024.02.17.,1.0,매장이 잘 눈에띄지 않고 비좁고가성비 또한 별로라 강추 믿었다가완전 낚였고 젊은친구나 연인들이간단히 식사할 정도임only친절만 강추 그외에는 비추함
최영희,2,1,5.0,2024.02.15.,5.0,마이쪄용!!!! 친절하고 기분좋게 먹구가요
ㄹㅇ루다가,31,105,3.5,2024.02.12.,5.0,옉시 넁장고다. 궁내 고기집 중에 넁장고만큼 꾸준함을 보여주는 쉭당은 흔치안타 즈는 그릏게 판단해요. 보닌이 봐쓜땐 이런 헨상은 넁장고가 대박날 슈바께 읍따 즈는 이르케 팽가를 해요.
토리,6,6,3.7,2024.02.12.,4.0,다양한 반찬이 있어서 좋았어요
푸른봄,3,3,5.0,2024.02.07.,5.0,목살 맛집 인정👍👍👍
지지,14,18,4.1,2024.02.06.,1.0,비계양 실화입니까?
경탁,4,8,5.0,2024.01.26.,5.0,
먹자,11,12,4.0,2024.01.16.,5.0,일단 기본 반찬들이 정말 맛있었습니다! 고기 품질도 우수했고 직접 구워주셔서 좋았어요 직원분들도 모두 친절합니다! 일반 고기집 분위기랑 달리 밝고 쾌적해서 정말 좋았어요! 또 방문하겠습니다:)
램든고지,14,29,3.8,2024.01.04.,4.0,맛있다서울 평범에서 위 정도의 고기맛집
김도연,3,2,4.0,2023.11.12.,5.0,고기가 신선해요..구워주시는데 존맛입니다. 근데 웨이팅 좀 있어요
아르마다,34,312,4.9,2023.10.13.,5.0,상수동 회식하기 좋은 고깃집
언제나청춘,41,564,4.7,2023.10.08.,5.0,상수동 고기를 구워주는 고깃집
감욱,17,52,3.2,2023.09.26.,3.0,웨이팅 하는 만큼 맛있긴 한데가격이 에바
추추트레인,14,27,3.8,2023.09.21.,5.0,
.,17,31,4.0,2023.09.17.,3.0,퀄리티는 좋다고 할 수 있으나 가격이 너무너무 비쌉니다. 심각할 정도로.그만큼 맛이 엄청 차이나면 이해하는데 사실 다른 고기집도 마찬가지지만 고기 굽는걸로 맛을 엄청나게 차이내는게 가능한가 싶기도 하고 그런면에서 가격대가 너무 아쉬웠어요.
좋거나 나쁜 음식점,7,17,4.6,2023.09.10.,5.0,여기 진짜 맛있음단점은 웨이팅해야 먹을 수 있는것
정말 좋은곳과 정말 별로인곳만,12,19,1.9,2023.09.06.,5.0,정말 맛있고 친절하십니다. 밑반찬도 다 맛있었고 모든게 완벽했습니다 ㅎㅎ 웨이팅 한시간 정도 했는데 정말 기다릴 가치가 있는 곳이었어요. 또 올게요!
김도토리,13,28,3.8,2023.08.21.,5.0,친절하게 잘 구워주셔서 너무 좋고 JMT 입니다👍🏻👍🏻👍🏻여기서 먹은 목살의 맛을 아직도 잊지 못하고 있는... ㅜ 또 갈 거예요
콩정,32,72,4.3,2023.07.28.,5.0,폼장고 냉 미쳤다
