user_name,user_rank,num_response,user_star,time,rating,content
박민영,4,9,4.6,2024.02.08.,5.0,
정현기,5,9,4.4,2024.02.03.,5.0,탕후루 맛없는 집은 없다!귤 탕후루가 제일 꿀맛
울트라소울,12,28,2.4,2024.01.19.,5.0,왕가 이빨에 안달라붙음 굿
뇽,11,11,4.0,2023.12.16.,3.0,"탕후루 처음 먹어봤는데 좀 많이 딱딱하고 많이 차가워서 놀람 건강 해치는 맛이라 그냥 한번쯤 먹어볼만한,,"
바람,4,11,4.0,2023.11.29.,1.0,
1231,3,2,1.0,2023.11.28.,1.0,설탕코팅은 눅눅하고 끈적거리고 딸기는 냉장고에 오래 있었던 거마냥 흐물거려요. 분명 작년에는 상태 괜찮았었는데 탕후루 유행이라고 질이 떨어진건지... 3500원 버렸네요 본인은 본인 탕후루 맛있게 먹을 수 있는지 양심에 손을 얹고 생각해보시길 바랍니다.
xmxnxnx,5,6,1.7,2023.11.27.,1.0,여기왕가아니에여 가지마세요 왕가짭이래요
행복하세요,7,32,4.1,2023.10.28.,4.0,
이현승,3,35,3.8,2023.10.28.,4.0,
박채은,4,2,3.0,2023.10.27.,1.0,생딸기 탕후루? 냉동딸기 탕후루 프랜차이즈를 먹는 이유가 실패를 덜하기 위해서 가는건데 진짜 왕가 중에 제일 맛없는 듯
•李山明虎•,11,191,4.3,2023.10.25.,5.0,
지성소,2,6,5.0,2023.10.13.,5.0,
김정원,3,1,5.0,2023.10.01.,5.0,오랜만에 먹었는데 맛있어요!
★,28,99,4.0,2023.09.29.,1.0,리뷰 읽으면서 설마 그정도일까... 했지만 설탕두께가 진심 벽돌임 이렇게 맛없는 탕후루 처음 먹어봄ㅠ 짜증남
이요르,41,215,3.3,2023.09.23.,1.0,쓰레기통은 따로 없구 줄도 도로가라 안내판두 없구 혼돈의 카오스 바닥은 미화원 아저씨랑 주변상가분들이 피해고스란히 받고 최악
.,23,58,3.3,2023.09.17.,1.0,냉동딸기+두꺼운설탕 코팅이라 딱딱해서 진짜 콰득콰득 거리고 탕후루 좋아하는 언니가 먹다가 버림..ㅎㅎ
연근튀김,41,203,4.0,2023.09.07.,4.0,그냥 탕후루 맛이다
나쵸,12,22,4.0,2023.09.03.,1.0,카맵 후기는 거짓말을 하지 않는다.. 사먹기 전에 봤어야 했는데 ㅋㅋㅋ큐ㅠ 설탕코팅 너무 딱딱해서 먹을 수가 없어요. 깨물어지지가 않음.. 버림..ㅎ
세모눈,31,80,4.7,2023.09.03.,5.0,먹어본 탕후루 중 알맹이도 제일 크고 맛있어요!
잘먹뤂,6,3,2.3,2023.08.31.,1.0,가지마세요❌❌❌❌❌❌❌❌❌❌설탕은 두꺼워서 먹다가 혀 다칠 뻔했어요; 그리고 전체적으로 과일이 신선하지 않아요
정을식,3,5,2.6,2023.08.22.,1.0,
후기미제공가게는거르자,41,270,3.3,2023.08.20.,1.0,내가 먹어본 왕가탕후루 중에 제일 최악
메히,18,44,3.9,2023.08.18.,2.0,엥 다른곳이랑 맛이다른데 그 왕가탕후루맞죠???  뭐지 냉동딸기도 쓰고
황원영,10,11,4.6,2023.08.09.,5.0,탕후루는 역시 왕가탕후루 🥹
단축키,6,4,2.0,2023.08.07.,1.0,최악탕후루 체인담당자시면... 여기 가맹해제하시길빨리이미지다깍아먹음
음,21,31,3.2,2023.08.06.,1.0,와 ㅋㅋㅋㅋ 진짜 최악강남에 있는 왕가 탕후루 먹고 반해가지고 집근처에서 사먹은건데 ….. 사탕 너무 두꺼워서 치아 부러질뻔했어요 과일은 시원하긴한데 과일즙 너무 많이 나와서 옷 다버리고 ㅋㅋ 사탕이렇게 두껍게하는건 왕가 탕후루 명성에 괜찮은건가요? 강남이랑 다른 왕가에요??
현,2,10,4.6,2023.08.05.,5.0,
123,12,15,2.5,2023.08.03.,1.0,맛 없음. 과일이 미적지근 함. 냉장고에서 꺼내는 퍼포먼스.
밍밍,2,4,4.8,2023.07.30.,5.0,
송혜미,2,1,5.0,2023.07.28.,5.0,
