user_name,user_rank,num_response,user_star,time,rating,content
팽~,25,136,3.8,2024.04.11.,5.0,
그거말고이거,7,8,4.6,2024.04.01.,5.0,홍대 데이트 하던날 비님이 오셔서 조카가 고른 밥집에서 식사하고내가 고른 커피집으로 고! 고!드립커피가 있어서 갔지만 크게 기대는 안함.오 ♡.♡ 드립커피는 사장님이 내리시나봄.다행하게도 내려 주신다기에 예가체프와 케냐AA얼죽아 조카님은 아이스아메리카노.  디저트도 찜.케냐 아주 맛있었음.  자그마한(이쁜) 커피잔에진하지도 연하지도 않게 밸런스 좋은 케냐를음미하고 기분 좋은 날이었음.창밖에는 빗방울이 창문을 톡톡 두드리고조용하고 아늑한 카페 내부는 운치있었음.주택을 개조한듯...갔다 온 지가 좀 되서 가물가물앞에 작은 정원을 바라보면서 좋은 시간을 가졌음.
나더,40,424,3.7,2024.03.31.,3.0,맛있다는 평이 이해안간다
박상욱,12,25,4.3,2024.03.12.,5.0,사장님 친절하시고 딸기케이크 진짜진짜 맛있어요! 딸기주스도 진짜 생딸기맛 나면서 달콤해요 ㅎㅎ
LW,10,18,3.9,2024.03.12.,5.0,케이크랑 딸기주스 너무 맛있어요
야옹.,12,22,4.3,2024.03.03.,5.0,
나,14,16,4.5,2024.01.20.,5.0,적당히 맛있는 디저트는 많지만 수준급으로 맛있는 디저트는 보기 드물다고 생각하는데요. 여기 케이크는 수준급으로 맛있습니다. 특히 딸기철에 딸기 생크림 케익 드셔보세요 🎂
이두실,20,66,4.8,2024.01.13.,5.0,조각케이크도 항상 뚠뚠하고 직원분들이 친절해서 좋아요
법규맨,22,60,2.6,2023.12.19.,4.0,사장님 친절하시고 케이크 이쁘고 맛있긴한데 좀 비싸서 별하나 뺐어요
동그리,14,26,4.2,2023.12.14.,5.0,갈 때마다 직원 분들이 너무 친절해서 좋아요 케이크도 맛있고 커피도 산미 없어서 좋아요!!! 홍대 근처에서 놀다가 케이크 먹고 싶어지면 여기로 와요
망고누나,29,71,4.6,2023.12.09.,5.0,케이크 포장해서 집에서 연말 파티하면서 먹었는데 진짜 맛있어요 딸기도 맛있고 크림도 미침
노리,9,10,4.0,2023.12.09.,5.0,제가 임신 중에 케이크가 너무 먹고 싶을때 남편이 밤에 가서 사온 집이예요~친절하게 응대해주시고 너무 감사했던 곳입니다🥰여기 케이크 진짜 너무너무너무 맛있어요
.,10,16,3.8,2023.12.06.,5.0,직원분이랑 사장님도 친절하시고 음료도 진하고 케이크가 진짜 맛있었습니다!
.,20,50,3.7,2023.12.05.,4.0,
노영훈,2,1,5.0,2023.12.01.,5.0,친절함
현짱이,19,35,4.5,2023.10.30.,5.0,빈티지??한 인테리어천국의맛 ( ◜⤙◝ )♡
ㄷㄱㄷㅌㄹ,14,14,3.4,2023.10.30.,3.0,흠.....
yangyang,25,69,3.7,2023.10.28.,4.0,"치즈파레트케이크일단 넘 이쁨! 치즈향과 단맛이 잘 어울어진다저번에 딸기크레이프는 솔직히 애매했는데 얜 맛도리넹~~아바라(미니) 달다!! 좋아~요새 아바라도 안달게 쥬는 곳이 많은데 달아서 좋구만달거커피(또니) 산미 1도 없어서 좋다!살짝 밍밍하게 느껴질 수도 있는데, 그게 바로 내취향.두 커피 모두 커피큐브 몇조각 올려줘서 일단 기부니가 좋음.팥빙수도 맛났음. 수제팥절임??? 무튼 엄마랑 먹엇엇는데 맛낫다.애플티는 티백을 우려주는데 달지 않아서 내취향은 아니엿지만, 티백 올려둘 용기 제공과 30분 정도 후에 다시 따뜻한 물을 내와 한번 더 우릴 수 있게 하는 서비스가 좋았음."
최진오,2,1,5.0,2023.10.17.,5.0,딸기 케이크 존맛인생 최고의 앗집 인정매년 생일날 여기서 딸기케이크 주문합니다
멍멍,21,158,3.6,2023.09.17.,4.0,분위기 좋고 케익도 맛있어요
ㅇㅇㅇ,8,12,3.2,2023.09.15.,5.0,인생에서 먹은 케이크중에 제일 맛있어요
도넛박사,17,33,4.4,2023.09.13.,5.0,홍대 케이크 중 최고
두부,6,9,4.7,2023.09.05.,5.0,말도 안 되는 맛과 가격입니다진짜 말도 안 돼요 ..친구랑 진짜 그냥 들어갔다가둘 다 손에 케이크 포장해서 들고 나갔어요진짜 말도 안 돼요 진쩌 .. 망고가 생망고예요 만사천원에 ..아니 말이 안 돼요 어떻게 이 가격애 이런 맛이랑 퀄리티죠 ..? 진짜 손님 바굴바글래봐야되는집
해담,21,40,5.0,2023.08.28.,5.0,N년째 가는 최애 케이크집직원분들 모두 친절하시고 케이크 아메 다 맛있어요딸기크레이프 짱
Robin,19,19,4.4,2023.08.11.,5.0,맛있습니다..!! 좀 구석에 위치하긴하지만 2층으로 넉넉하게 구성되어있어서 앉아서 먹기에도 좋았어요 가격대가 조금 있었지만 그만큼 맛있었습니다
박지성와이프,10,8,4.1,2023.08.10.,5.0,대한민국에서 제일 맛있는 케이크
배고픔,4,5,5.0,2023.07.30.,5.0,
댠,42,277,4.8,2023.07.27.,5.0,가격대는 좀 있지만 일단 먹어보면 그럴만한 가격이라고 생각됩니다ㅋㅋㅋ 맛있어요!
콩정,32,72,4.3,2023.07.25.,5.0,갓콤한 킹짓말
M,14,32,4.5,2023.06.20.,5.0,
쨍하면해뜰날,32,240,4.7,2023.06.11.,5.0,달콤한 거짓말은 언제나 환영합니다.
개좋거나개별루거나,17,41,2.5,2023.06.09.,4.0,넓고 디저트퀄리티 좋고 사장님 친절하시고마땅히 갈곳은 없고 감성은 안따져도 되는 편안한곳 찾을때추천다만 소란스러움 그럼 뭐 나도 떠들면되니까 갱차나용
rr,8,7,3.0,2023.05.16.,5.0,최고로 애정하는 케이크 카페입니다!!!! 오래 장사해주세요 제발얼그레이 케이크 ♬♬♬♬
광구,10,13,3.3,2023.05.15.,4.0,솔직히 인테리어는 좀 애매한데 케이크랑 쿠키 진짜 맛있어요!
