user_name,user_rank,num_response,user_star,time,rating,content
리뷰어,14,35,2.9,2023.11.02.,1.0,"홍대 주변?? 왼손가위질 지적질에, 반말이 기본이에요.손님 데려갈 곳은 못 됩니다.귀한분 모셔갔더니 왼손 가위질 하는거 보고뺏더니, 왜 거꾸로 하냐고 지적질.귀한자식이냐고 뭐라함. 이 모든게 반말.양 적어요. 이 가격이면 구운닭집 가세요.맛? 걍 평범함."
5점 잘 안 준다,64,206,3.9,2023.09.24.,4.0,가격 생각하면 좋은 맛
.,17,31,4.0,2023.09.12.,4.0,맛 가성비 생각하면 5점 주고싶은데 사장님이 혼밥 사절이라고 써놔서 아싸인 나는 이제 더이상 먹을수가 없음...
수인,3,8,4.9,2023.09.12.,5.0,
진실만을말하는 개굴,15,34,4.0,2023.08.31.,5.0,홍대 오면 꼭 오는 맛집. 메뉴도 독특한데 진짜 정성이 가득하다. 사장님께서 불친절하다고 느끼는 사람이 있을 순 있지만 사실 엄청 친절하신데 말투가 부드럽지않으신것임. 진짜 존맛
치윤,11,16,4.0,2023.08.05.,4.0,둘이서 세트메뉴 먹으면 배가부르고 소스랑 같이 먹을 것들이 나와서 물리지 않게 먹을수있습니다.고기가 진부할때 한번씩가면 좋아요.
강순하,3,4,5.0,2023.07.22.,5.0,
안지혜,2,1,3.0,2023.06.08.,3.0,
전용웅,4,2,5.0,2023.05.22.,5.0,모든 음식에 신경을 많이 쓰신 것 같은 맛이었습니다맛있고 가성비도 정말 좋았습니다!!사장님도 친절하셨고 기분 좋은 식사했습니다😋
전진,3,2,3.0,2023.05.22.,5.0,가격이 저렴해서 양은 기대안했는데 양도 너무많고 너무맛있어용사장님이 너무 친근하시고 설명잘해주셔서 좋은추억남기고 갑니당 ㅎㅎ
ㅇ,32,139,3.1,2023.05.08.,4.0,21년도 방문 2번 혼밥닭고기 진짜 맛있다. 부드럽고 껍질도 끊으려고 했을 때 끊어지지는 않아서 크리스피한 느낌이 아닌데 설명불가..반찬들이 진짜 잘 어울리고 맛있다. 양념치킨 양념이 아니다. 정말 맛있다 양념찍고 양배추랑 무말랭이 보쌈김치 같이 먹고 계란찜을 먹으면 무말랭의 감칠맛과 계란찜의 고소함이 입맛돋우고 혀를 탁 친다.깻잎도 넉넉히 주셔서 아주 좋았다.양이 적을까 했는데 밥양은 확실히 적다.가게 노래소리가 크고 인도풍 노래를 틀어줘 진짜 귀아프다. 여 사장님이 서빙해주시는데 인사도 없고 응대가 퉁명스러웠지만 계산하고 나갈 때는 맛있게 드셨냐며 친절했다... 어리둥절 그리고 입스크....가게가 상당히 넓기도 하고 큰 느낌을 받았다. 들어가는 입구 계단도 넓어서 좋고 테이블도 4인석만 있다. 다시 가려고 후기들 다시 보니까 혼밥 사절 얘기가 많아 다시 못가겠네요...ㅠ
Eungul Mark Cho,24,33,3.2,2023.05.04.,1.0,"사장님 부부 자존심, 상관이 너무 쎄요. 외국인 친구들이랑 같이 갔는데 우리가 시킨 음식을 집어서 막 입에넣어주는데 참 깼습니다. 그것도 한 두명이 아니라 8명 이상 전부에게 😒"
.,2,2,1.0,2023.04.29.,1.0,계란찜이 초록색임
연,3,2,3.0,2023.04.25.,1.0,혼밥 사절이래요~ 그냥 가지 마세요
현탁,3,1,1.0,2023.04.20.,1.0,사장님이 너무 불친절해요
🤔,19,42,4.0,2022.11.01.,4.0,괴담이 난무하는 곳이지만 제 기준에선 만족스럽습니다.
.,12,17,4.9,2022.10.02.,5.0,음식도 맛있고 정성이 느껴졌어요. 그리고 먹는 방법도 다 설명해주시고 친절하셨어요!어렸을 때 먹었던 맛이 느껴져서 너무 좋았습니다
툥야,22,28,2.0,2022.09.27.,1.0,공익을 위해 올립니다
흐억,1,2,3.0,2022.09.27.,1.0,
김수현,29,88,4.7,2022.09.15.,4.0,쌈 싸서 먹으면 진짜 맛있음
.kd,3,2,3.0,2022.09.05.,1.0,"매장 내 음악 소리가 커서좀 조용한 자리가 없나 찾다가 여의치 않아서""음악 소리가 좀 큽니다""라고 말씀 드리니""우리는 원래 이런식으로 하니 싫으면 나가도 된다""라는 답변을 듣고 뒤도 안보고 나왔습니다.*당시 매장에는 제 팀 밖에 없었습니다."
뮥,19,73,3.5,2022.07.22.,5.0,집 앞에 있었더라면 자주 갔을 거 같은
.,30,227,3.8,2022.07.05.,5.0,
알바업체믿고거름,27,119,4.1,2022.04.24.,5.0,
김라균,2,1,5.0,2022.04.09.,5.0,매번 포장해서 먹는데 아무리 먹어도 질리지도 않고 다른 치킨집에서 시켜먹는거 보다 100배1000배 짱짱짱 맛잇습니다최고에요평생 먹고싶습니다
홍익인간,15,36,3.2,2022.01.17.,5.0,분위기나 인테리어는 퓨전이란 말로 다 설명될것 같아요ㅋㅋㅋㅋ(여)사장님 불친절하신줄 알았는데 아니었음담백하고 맛있어요저는 쌈닭 둘이서 먹었는데'아 배부르다'까진 아니고 '잘먹었다 딱 깔끔하게' 이정도? 5점까진 아니더라도 3.9(현평점)는 아니에요만족스러웠습니다
