user_name,user_rank,num_response,user_star,time,rating,content
어둠의 한국시리즈,3,3,4.7,2024.03.04.,4.0,평범합니다
맛집좋아,24,78,4.8,2024.02.25.,5.0,진자마시써요
효성동핵꿀주먹,26,65,4.2,2024.01.04.,4.0,밑반찬으로 주는 씻은 김치도 맛잇고 납짝막창듀 맛있고 마가린밥도 맛있고 ㅋㅋㅋㅋㅋㅋㅋ 볶음밥도 맛있어요 근디 소스가 좀 매워서 먹다보면 콧물나요 ㅠㅠ 사진은 3인분양입니다!
콩콩이,17,39,4.1,2023.12.12.,4.0,진짜 막창 탑급으로 너어무 맛있는데 노래소리좀 제발 줄여주시면 좋겠어요 너무 시끄러워요줄여달라고 요청해도 대답만하시고 그대로임....
ㄲ,14,37,3.3,2023.11.27.,1.0,여기 리뷰 지인이 써줬나...왜 리뷰가 좋은지 이해를 못하겠어요 게다가 5점짜리 리뷰들 히스토리 보면 리뷰1개 ㅋㅋㅋㅋ가자마자 웨이팅 있길래 이름이랑 전화번호 쓰고 가게에서 떨어져서 기다리고 있었는데 저희보다 늦게 온 사람들이 가게 바로 앞에서 사장님인지 알바인지랑 얘기하더라고요(지인으로 보였음) 앞에 먼저 온 그룹 다 들어가고 다음 차례는 우리니까 가게 앞으로 가까이 갔더니 갑자기 그 사장인지 알바가 우리보다 늦게 온 사람들이 먼저 온거라면서 나서서 우기더라고요? 근데 떡하니 웨이팅 리스트에 그 사람들 이름은 없고 어이없고 기분 상했는데 오래 기다린게 아까워서 일단 참고 먹자하고 들어갔어요 그런데 테이블이며 수저며 접시며 설거지 제대로 하는건지 기름에 쩔어있었어요 곱창 갈색이 될 때까지 구워준다고 그래야 다 익은거고 그 때 먹으라는데 익은 거랑 강불에 태운 거랑은 다르잖아요 근데 강불에 세게 태워서 먹는게 여기 기본인가봐요 갈색을 넘어서 표면에 검은게 붙어있는데 그게 먹기 좋은 상태인가요? 그리고 양도 너무 적어요 둘이서 3인분 시켜도 모자랍니다 괜히 3인분을 세트로 파는게 아닌가봐요 게다가 볶음밥은 기름탕에 김치만 많이 부어서 나와서 간도 안 맞고 맛이 이상해요 태어나서 먹은 볶은밥 중에 제일 맛이 없었어요
괜찮은곳만,14,20,3.1,2023.11.11.,5.0,합정에 역시 막창은 대포막창이네여!!! 맛나염 사장님더 친절😇
호밍빵,10,8,3.8,2023.11.05.,5.0,"진짜 맛있어요,, 제가 서울에서 먹어본 막창중에 제일 맛있었어요 사장님이 막창에 진심이신게 너무 느껴져요ㅠ 먹는 방법 막창 익힘 정도 다 알려주시고 완전 짱짱 ㅠㅠ!!!! 다음에 가면 대창도 먹어보려구여!!!!!!! 사장님도 친절하시고 너무 좋습니당"
yu_min_93,32,166,4.0,2023.10.23.,5.0,납작막창 두번세번드세요!
고로고로,5,8,4.6,2023.09.12.,5.0,친구 추천으로 갔는데 잡내없고 맛있었어요. 합정쪽에서 막창먹고싶으면 별 고민없이 가도괜찮은곳입니다.
다솜,2,2,5.0,2023.09.09.,5.0,
ㅇㅇㅇ,2,3,5.0,2023.05.09.,5.0,
윤님,23,40,4.6,2023.02.11.,5.0,또 갈래용 !!!!!!!막창도 맛있는데 소스가 더 대박이에용 ❤️
냐옹,13,50,3.9,2023.02.06.,5.0,모에모에뀽
BEN,2,1,5.0,2023.01.15.,5.0,너무잘먹었습니당~생막창 찐맛💕
이진혁,1,1,5.0,2023.01.15.,5.0,막창진짜 맛있어요 분위기좋고 친절하니술이술술 입니다!또올께요
조도영,2,1,5.0,2022.12.31.,5.0,납작생막창 첨먹어본 진짜맛있게 먹엇슴니다!̆̈!̆̈여친데리고 갈께요:)친절해서 좋아요:)
훈,2,1,5.0,2022.12.31.,5.0,진짜 막창~너모맛있게 잘먹었습니당ㅎ직원분들이 중간중간 친절하게 신경써주셔서 더욱맛있었습니당^^
발등에 불떨어진 나,16,23,4.0,2022.11.29.,4.0,맛있어요 가격은 좀 비싸요
버터오징어,27,60,4.4,2022.11.28.,5.0,"일단 맛은 무조건 있음, 맛있어!!!삼겹도 맛있지만 막창이 더 맛있었음 대파가 존맛ㅎ볶음밥도 진짜 맛있어서 눌른밥까지 긁어먹었네근데 껍데기는 씹다가 턱 나갈뻔 했어요찔겨..질겅질겅 씹어야됨 ㅠ.ㅜ그리고 화장실 좀 어..깨끗하단 느낌은 못받았어요^,뭐, 가격에 비해서 양은 적은것 같지만 맛있습니당"
기미상귱,32,253,2.8,2022.10.25.,1.0,위생별점 관리
서희,1,1,5.0,2022.09.16.,5.0,
（╹◡╹）♡,20,35,4.2,2022.08.31.,1.0,맛있는데 양이 많이 적고 양에 비해 너무 비싸고야채 따로 더 안주세요..
내마음속별로★,44,306,4.5,2022.08.18.,5.0,진짜 말도 안되게 맛있넹... 같이 간 애가 인생맛집이라고 밤새서 먹을 수 있을 거 같다고 함 ㅋㅋㅋㅋㅋ 홍대에 맛집 별로 없는데 맨날 여기 와야쥐
🌼,1,1,5.0,2022.06.08.,5.0,막창 삼겹살 굿굿!! 열심히 뒤집고 있으면 알아서 잘라주시고 야채넣어주시고 이제 먹어도 됩니다~! 신호떨어지면 폭풍흡입!! 바쁜 와중에도 친절하게 설명 다 해주시고 너머너머 좋아요!!
김현우,2,1,5.0,2022.06.06.,5.0,막창찐짜 완젼맛있어요~껍데기소스 굿굿이고요~직원분들도 잘구워주셔서 너무맛있게 먹었습니다! 재방의사 굿!
lovely♥,1,1,5.0,2022.06.05.,5.0,전부 친절하시고 덕분에 기분좋게 맛있게 잘먹고 갔습니당
김승수,3,1,5.0,2022.06.03.,5.0,너무 맛있게 먹었어요막창을 좋아하는데 펼쳐서 겉바속쫀이여서식감도 좋고 소스가 jmt였습니다~~잘먹고가요~~
술빵,17,31,4.6,2022.05.06.,5.0,돌아온 소막창 너무 맛있고 껍데기는 예전 첫 감동보단 못하지만 여전히 맛있는 곳
칠 전,2,2,5.0,2022.04.03.,5.0,음식을 찍을 시간조차 없도다..
정영훈,2,1,5.0,2022.03.22.,5.0,3번째 친구랑 방문 사장님도 존잘이시구 존맛탱 !!
김진수,12,13,2.0,2022.03.22.,5.0,넘무 맛잇어요
