user_name,user_rank,num_response,user_star,time,rating,content
애플민트,34,303,4.7,2023.12.03.,1.0,가격대비 맛은 조금 아쉬워요 자신만의 색감과 칼라가 확실하게 느껴지지 않습니다
GURUNG,31,211,3.2,2023.10.29.,3.0,good for your time
강봉석,3,3,4.0,2023.09.27.,4.0,
ㅇㅡㅇ,21,32,4.1,2023.09.25.,1.0,위생이 좋지 않네요ㅜ
은하수,2,2,1.0,2023.09.23.,1.0,앞도로에 공영주차장이 있음 . 가격대비 맛ㅠ
봉,35,161,3.0,2023.09.22.,1.0,다 다른사람 리뷰인데 왜 같은 사진을 돌려쓰냐..리뷰로 장난질 하네..
이명갑,2,2,5.0,2023.07.22.,5.0,
GRANADA,4,3,4.3,2023.07.07.,3.0,가격대비 그닥 ㅜ
라떼,2,1,1.0,2023.06.07.,1.0,실내가 음식연기로 가득이라 손님이 같이 음식만드는줄.  좁고.음식도 별로.
한지승,2,13,4.1,2023.06.01.,4.0,
엘든링,19,40,2.8,2023.02.10.,1.0,"음! 여기가 왜 이리 평이 좋은거죠? 개개인의 생각과 취향이 다를수는 있지만 쩝 제 평가는 다른 분들과 아주아주 많이 달라서요. 뭐 개인차일수도 있으니 참고하셔서 식사하시기 바랍니다.점심 L1코스가 인당 28,000원인데 제 기준으로는 아니 동행했던 다른 사람 의견포함 가성비가 너무 심했습니다. ㅠㅠ 홍대의 땅값 탓인가요...가래떡 1조각, 문어냉채(얇은것 3~4피스), 등심떡말이 2조각, 보쌈 2조각, 그리고 식사로 돼지구이와 밥이 나오는데 밥이 일반공기사이즈의 1/3수준입니다. 추가밥은 조그만 미니공기가 2천원입니다. 미니한정식 시킨것 아닌데, ㅠ..ㅠ. 다만 제가 퓨전한정식 트렌드를 못 따라가는 것일수도 있습니다. 디저트는 나름 맛있게 마셨습니다.양이 적으면 맛은 있겠지??? ㅋㅋ... 뭐 맛은 개개인차가 있으니 직접 경험해 보시는 것을 추천드립니다. 다만 제 미적 기준으로는 평균이하였습니다. 많이는 안 다녀봤지만 그래도 한정식집 20여군데에서 먹어봤지만 개인적으로는 만족도가 가장 낮았습니다.식사하고 양이 안차 2차로 분식을 더 먹었네요. 쩝!"
와이,33,327,4.5,2022.10.02.,4.0,
맛집킬러,35,269,2.9,2022.08.18.,5.0,리굴비 강추
인증🎖맛집찾아라,31,264,2.4,2022.01.27.,1.0,
KIBUM,5,29,3.7,2021.10.12.,5.0,
🐯,19,41,4.0,2021.09.12.,5.0,맛있었어요ㅎㅎ 가성비가 엄청 좋음 고급 한식 코스인데 이 가격 쉽지 않아요. 물론 그 덕분에 분위기나 시설은 엄청 고급지지는 않았아요. 코스 앞부분에 나온 음식들은 조금 짜고 달긴했지만 가격대비 매우 만족스러웠네요
민용💥,3,5,5.0,2021.08.29.,5.0,홍대 아니 서울 최고의 한정식 집@@@@맛도 최보 가성비도 최고 서비스도 최고♡♡
곤조,3,5,5.0,2021.04.25.,5.0,혼魂.
남은주,2,2,3.0,2020.12.29.,5.0,가성비 좋아요. 대접 받는 기분이어서 좋았네요. 가족들 데리고 또 오고 싶어요.
すごいね!,4,3,5.0,2020.12.15.,5.0,가족모임으로 다녀왔습니다. 직원분들이 친절하고 음식도 맛있었어요! 만족  :)
🌱,15,32,2.7,2020.11.08.,1.0,주방에서 턱스크. 유리컵 얼룩 보고 기절하는 줄 알았네요.
ji,1,1,5.0,2020.06.10.,5.0,분위기도 좋고 음식이 깔끔하고 맛이있어 너무 마음에 들었습니다.
류상우,2,1,5.0,2020.06.10.,5.0,사람이 많아도 조용한 분위기에서 식사할 수 있어서 좋았습니다. 음식 맛도 좋네요.
발걸음,23,65,1.6,2020.05.16.,1.0,분위기 최악. 반찬 보관상태 최악
미미,2,1,5.0,2020.01.27.,5.0,친구랑 한식먹고싶어서 다녀왔습니다기대이상 넘넘맛있고 친절하셨어요담엔 부모님 모시고갈 생각입니다^^
박주연,1,1,5.0,2020.01.26.,5.0,저녁에 조카들하고 부모님이랑 갔는데아이들도 너무 잘 먹고까다로운 부모님도 만족해해셨어용!!
CW,5,12,3.6,2019.11.03.,1.0,최악입니다
신촌홍대리뷰러,34,135,3.9,2019.10.30.,1.0,비싸고 반찬도 없고 양이 코딱지만 해요. 무엇보다 정말 맛이 없어요.
공과장,48,484,3.5,2018.01.26.,4.0,"특이하고 맛있고 비싼 집코스메뉴야 그렇다 쳐도음료는 가장 작은 사이즈 맥주 두병과 사이다 한캔이 13,000원이라니덜덜;"
GJ,23,203,2.7,2018.01.09.,3.0,
MJay Ko 고 민정,89,"8,538",3.3,2017.12.25.,4.0,Korean Course
