user_name,user_rank,num_response,user_star,time,rating,content
(σ≥∀⊙)σ,16,32,4.0,2024.04.22.,5.0,공연보고 먹으러 오기 딱이에요베이컨체다 짱
002,54,711,3.3,2024.03.09.,4.0,피자 맛있어요근데 너무 금방 식어서 데우면서 먹을 수 있으면 좋았을 것 같습니다
🍴,13,27,4.1,2024.02.12.,5.0,피자 맛있어요네모네모로 조각조각 잘라줘서 좋았어요!!!
맛꿀마,32,69,4.5,2024.01.25.,5.0,맛: 맛맛꿀마스타일: 맛꿀마식당: 꿀마가격: 맛꿀마
어린이보호구역고스트라이더김민기,65,368,3.8,2023.12.30.,3.0,무난무난한 맛파인애플 피자에 스팸 올라간건 아직 불호
홍밥러,46,215,4.3,2023.12.19.,4.0,대존맛은 아니고 그냥저냥 나쁘지 않게 먹을만한….. 피자를 작은 네모로 토막내주는 거 빼고 다 괜찮았음.
룰루,23,92,4.1,2023.12.09.,5.0,자주 가는 곳이며 맛있음ㅠㅠ 다만 결제 안되는 카드사가 있어서 계좌이체해야하는 번거로움이…
ribgmsp,14,27,3.2,2023.11.06.,4.0,피자 진짜 맛있어요 분위기도 좋고 자리 자체는 조금 좁아요
와압,25,48,3.5,2023.11.01.,4.0,날 좋을 때 창가에서 피맥하기 좋아요
냠,30,56,3.9,2023.08.14.,4.0,베이컨치즈 맛있어요!!
alexia,11,7,4.9,2023.08.12.,5.0,One of the best pizzas in Seoul! 100% 추천합니다
High,3,1,5.0,2023.08.04.,5.0,미국 느낌 피자였어요 맛있고 기분 좋게 먹고 왔습니다:)
푸른만월,25,47,3.1,2023.08.03.,3.0,전체적으로 좀 많이 달달함. 이 점은 호불호가 갈릴 수 있을 듯. 포테이토는 그냥 해시브라운 올려놓은거라 그저 그렇고 베이컨이 아주 괜찮음. 파파존스 올미트 좋아하는 분들이면 베이컨 강력 추천.
.,35,116,3.8,2023.08.01.,3.0,쿼터로 시키면 트리플머쉬룸이랑 크리미치킨이 안돼서 아쉬워여.. 하와이안피자에는 페퍼로니가 아니라 스팸이 들어있어요ㅠㅠ
망붕이,8,13,4.3,2023.08.01.,5.0,맛있어영
카니,16,27,4.9,2023.07.27.,5.0,피자 맛있고 직원이 친절해요
not,21,51,4.3,2023.07.15.,3.0,
호재,21,41,4.4,2023.07.11.,5.0,하이볼 윙 피자 다 맛있어서 좋았음
0-0,24,104,4.3,2023.06.10.,4.0,클래식한 맛입니도
뭄ㅁ,20,48,4.2,2023.06.01.,4.0,하와이안 조하용
진거이,14,26,4.6,2023.05.26.,5.0,피맥 1타! 데드락 너무좋아요 은근히 후딱 취함
영일,17,21,4.2,2023.05.15.,4.0,𝓂𝒾𝒸𝒽𝒾𝓃맛...
김덕수,22,61,2.9,2023.05.06.,5.0,당신이 아는 포테이토 피자가 아니에요
메릴,31,188,4.0,2023.05.03.,4.0,레드락 한잔에 여기 피자 한조각이면 혐생을 잠시 잊기에 충분하다
