user_name,user_rank,num_response,user_star,time,rating,content
파스타,10,12,3.6,2024.03.24.,5.0,너무 맛있어요 자극적이지도않고 너무 좋았어요다음에 또와서 다른 메뉴도 먹어보고 싶어요👍그리고 사장님이 너무 친절하셔서 아주 기분 좋은 식사였어요
Mj,9,15,4.3,2024.03.22.,5.0,진짜 맛있어요…🥹 쵸미앤도 꼭 드세요 꼭이요
오늘은어디,34,278,3.9,2024.03.14.,5.0,넘마시또요🩷🩷🩷
메에,12,18,3.9,2024.03.13.,5.0,"홍대합정에서 인도식 카레 여러곳 먹어봤는데, 여기가 가장 맛과 가격이 괜찮다. 카레 맛있음."
와옹,48,237,4.1,2024.03.08.,5.0,사진은 없지만 전체적으로 다 맛있었습니다. 또 방문하고 싶어요
자몽스러운,20,28,4.9,2024.02.19.,5.0,현지에서 먹는 인도 음식점 ! 혹시 어디갈지 고민하고 계신다면 한번 들려보시는걸 꼭 추천드려요!! A set 괜찮아요~
라데,6,5,3.2,2024.02.12.,5.0,세트A인가 그거로 갈릭난이랑 버터치킨커리 시켰는데 진짜 맛있네요. 두명이서 배불리 잘 먹었어요. 세트 시키니까 코스요리처럼 샐러드 스프 치킨 커리 이렇게 나왔어요.
SSun.,79,"1,706",3.9,2024.02.10.,4.0,탄두리치킨과 새우구이커리 모두다 맛있다!!직원분도 서비스 좋고 친절하심
.,30,142,4.1,2024.01.23.,3.0,유명한 만큼 맛있는지는 잘 모르겠어요무난해요
다현,21,52,3.8,2024.01.21.,4.0,카레 종류가 많아요!
ㅇ,4,11,4.3,2024.01.19.,5.0,정말 맛있었어요짱!!
Winter,21,46,4.0,2024.01.05.,4.0,"파스타는 굳이 먹지마세요,, 양이 너무 적음.. 난은 바삭해서 맛있어요"
으니,5,9,3.1,2023.12.31.,5.0,인도커리집 그 어떤 유명하고 방송나오고 미쉐린까지 나온 집(심지어 얼마안가 망함ㅋ)들도 특이하고 이상한 맛때문에 한번 방문하고 두번다시 안갔는데 여기는 너무 맛있어요 정말 한국에선 커리집이라면 편견갖게 만들정도로 맛집들이 없었는데 유일하게 편견 깨준 곳
5점 잘 안 준다,64,206,3.9,2023.12.21.,4.0,세트 구성 좋고 맛있는데밥이 그냥 쌀밥이라 아쉽..한국인 입맛에 잘 맞춰진 집
맛맛맛,5,10,4.1,2023.12.20.,5.0,언니들 데리고 방문했는데 셋 다  맛있어서 정신 없이 먹고 왔습니다!!  난 추가해서  먹었는데  추가하길  잘 한듯시금치  커리 존맛탱이니까 고민이신 분들은  무조건 시키세요!
.,8,7,1.0,2023.11.18.,1.0,두-세달 만에 방문 6번 이상 먹어본애용한 가게 였는데최근에 가격이 오름 원래 8천원대 였나지금 13800인가 그럼가격 올라서 뭔가 달라졌겠지 했음전에꺼가 너무 저렴한거였고진짜 많이 애용한 가게였는데 커리는 연하고 마살라 주문했는데마크니로 보이는게 온거  처음에 바꿔 달라했는데이게 맞다고 하더라 두세번 말하니 바꿔줌많이 먹어본거라 확실히 아는 맛인데바꿔오니 아에 다름ㅋㅋㅋ난도 4개 주문했는데 받을때 마다쌔 까맣게 타 있는게 많음.. 난도 자주 먹으러 다니고여기도 6번 인가 왔는데  앞으로는 꺼릴듯..메뉴판도 바꾸고 리모델링한지 더 안좋아짐
김태현,4,14,2.9,2023.11.06.,5.0,
맛동산,13,40,4.7,2023.10.14.,5.0,커리랑 난이랑 탄두리치킨이랑 파스타 다 맛있었어요
짱밥,19,31,4.4,2023.10.13.,5.0,놀러나와서 먹었는데 너무 맛있어요 비건 메뉴들도 어떻게 그렇게 맛있는지😍난도 난이고 커리도 커리인데 볶음면은 진짜 집 갈 때 포장해서 싸들고 가고 싶었습니다
얘진,3,7,4.6,2023.09.27.,5.0,
