user_name,user_rank,num_response,user_star,time,rating,content
🦐🦐🦐,11,17,3.5,2024.04.02.,1.0,친절하고 가게는 어둡고 후미져도 깨끗하고 메뉴는 특색있던 오랜 추억의 델문도는 이제 아예 사라짐..왜이렇게 지저분하고 의자고 테이블이고 끈적끈적함?바닥도 끈적끈적ㅋㅋㅋㅋㅋㅋ 바닥에 뭐가 쏟아졌는지 걷다가보니 신발에 무슨 껌붙은거마냥 상태가 이상해져서 나가기전에 화장실 들러서 신발 닦음.. 청소 안하세요?? 너무너무 더러워요;;손님 하나도 없는데 완전 후미지고 더럽고 의자 부서져서 흔들거리는 2인석 진짜 뭐 얹어지기나 하나 싶은 구석 테이블에 안내해줌. 1인이 쓰기에도 비좁은 자리와 테이블. 실화인가 싶었음ㅋㅋ 아니 의자가 덜컹거림ㅋㅋ예전메뉴 다 없어졌고 대충 사진 잘나오는 메뉴로 잠깐 어필하고 한철장사하는걸로 컨셉 바꿨나봄. 사진은 잘나옴ㅋㅋㅋ 맛은 전혀 없고 무식하게 달기만 함더럽고 어둡고 2인이 오니 불친절하기 짝이없고.. 너무 불편해서 대충먹고 나옴. 의자가 앉아있을 수가 없었음. 높낮이도 안맞아서 미치는줄ㅋㅋ 다신안감.
애,15,47,3.7,2024.03.11.,1.0,컵이 찐득찐득... 테이블도 찐득찐득...... 화장실은 가히 충격적......
김선우,2,1,5.0,2024.02.29.,5.0,리뷰보고 겁먹었지만 분위기랑 파르페 비쥬얼 보고 갔기 때문에 후회 하나도 안합니다. 사장님 친절하시고 파르페도 그냥 파르페 맛이었음. 오히려 다른 곳보다 맛있었음!! 다른 분들은 파르페 거창하게 생각해서 맛 별로엿다고 하는 거 같은데 파르페 맛이 원래 달기만 합니다 …😂😂 그리고 이용시간도 2시간이면 넉넉하지 않나요…분위기 너무 좋구 사진 백만장 찍고 온 것 같네요❤️❤️ 근데 너무 비싸긴해요 ..ㅠㅠ 그래도 인테리어가 너무 좋아서 사진값이라고 생각하면서 먹었습니다👍
박주빈,1,1,1.0,2024.02.17.,1.0,
규리,24,49,3.8,2024.02.17.,2.0,"가격대비 맛이 좋다는 생각은 안 했지만 늘 시즌메뉴 준비하시는게 대단하시다고 생각해요그런데몇 달 전에 방문했을 때 푸딩 아라모드 주문이 가능하냐고 여쭤보니 안돼요. 라고 날선말투로 대답하시더라고요그런갑다 하고 sns에 인용하여 아라모드 안된다고 합니다~ 글을 올렸더니 거기에 아라모드 판매중이라는 말씀을 다시 올리시더라고요.. 저랑 기싸움하시는 줄 알았어요..ㅋㅋㅠㅠ재방문 의사는 딱히 없습니다..!좋아하시고, 잘 맞는 분들만 방문하시면 될 듯 하네요"
햄,15,31,4.1,2024.02.11.,3.0,분위기는 좋지만 맛있는지도 잘 모르겠어요.직원분들이 다 기본적으로 불친절한 느낌이십니다.
졲아,14,14,4.4,2024.02.10.,3.0,아메리카노는 맛있었어요홍차푸딩?도토리묵 식감 푸딩은 레전드네요오천원에 손바닥보다 작은데 맛도 ..푸딩 먹다 남긴건 처음임
이승민,15,25,3.6,2024.02.04.,2.0,"어둡고 꼬질한 분위기의 카페이런 감성 좋아하는 사람은 좋아하겠지만 저는 개인적으로 별로였어요화장실은 내부에 있음푸딩 맛집이라해서 갔는데 흠…더블캬라멜푸딩에서 푸딩 자체는 보들하고 달달하니 굳~! 그런데 위에 뿌려진 캬라멜이 써요태우신걸까…?푸딩아라모드에 있는 푸딩은 밍밍하고 질김…뭐라 해야하지… 푸딩치고는 질기고 딱딱해 별로임… 아이스크림은 맛있음!과일도 풍성하지 않고 사과는 퍼석퍼석황도 통조림에서 꺼낸 복숭아가 25%이상을 차지함딸기파르페는 뭔 바나나가 더 많음… 콘푸로스트는 또 왜 이렇게 많아…누가 맛있다고 추천한거임???퀄리티에비해 가격도 비쌈! 진짜 퀄 생각하면 가격 반값으로 내려야할 것 같음맛, 가격, 비쥬얼 중에서 남은 게 비주얼 하나밖에 없을수가 있는거임? 두개는 남아야지 떼잉 쯧인스타 업로드용 사진 찍으러 가는거 아니면 가지마세요1인 1음료라 푸딩 먹으려면 음료 따로 주문해야함그런데 시간제한 2시간 있음ㅋㅋㅋ디저트 예쁘게 생겨서 별 하나푸딩이 캬라멜 빼면 맛있어서 별 반개반올림해서 총 별 두개"
먹기위해사는사람,35,124,4.4,2023.12.25.,3.0,음료들 비주얼은 귀엽고 예뻐요. 찾아가기는 조금 힘들고 맛은 애매...
🌀,12,17,3.7,2023.12.23.,3.0,푸딩이 괜찮습니다. 단 메뉴는 비쥬얼만큼 정말 달아요. 차 메뉴 추천. 좌석이 편합니다.
ㄷㅎㅎ,12,16,3.9,2023.12.04.,1.0,분위기 좋다는 리뷰 잘 이해가 안가요… 뭔가 특색이 있는 것두 아니고 잡다하게 조합한 느낌이고 분위기있게 어두운 것도 아니고 그냥 어두컴컴하구요ㅠㅠ 트위터에서 파르페맛집이라 보고 친구 데려갔는데 좀 민망했어요
멈,11,8,4.3,2023.11.11.,2.0,두 번은 안 갈 것 같아요 계단에 불도 안 켜져 있어서 하는 건가? 싶었는데 하더라고요 이건 그렇다쳐도 내부가 너무 낡았고 화장실 정말 구려요 문도 잘 안 잠김1인 1음료 강제라서 푸딩 먹고 싶으면 음료 시켜야 해요 그렇게 싼 가격도 아닌데 맛이 엄청 훌륭한 것도 아니고설거지 잘 안 하시는 것 같아요? 컵이 끈적끈적메뉴 보고 기대했는데 실망입니다
