user_name,user_rank,num_response,user_star,time,rating,content
고병서,15,39,5.0,2024.04.23.,5.0,도마 홍대본점에만 고기를 먹으러 올정도로 고기퀄리티굿!!!
우쮸쮸,14,34,5.0,2024.04.19.,5.0,소고기가 진짜 찐으로 맛있음 특선모듬먹었는데 꽃살 진짜 맛있네요 ~~
써니,8,15,4.8,2024.04.17.,5.0,"너무 맛나게 먹고왔어요모임,데이트장소 딱좋아요"
좋아요좋좋소,34,254,5.0,2024.04.15.,5.0,가격이 너무 좋아서 정기적으로 찾고있어요.퀄리티도 준수하고 좋습니다.
현우야~,6,11,5.0,2024.04.11.,5.0,고기 질이 좋고 깔끔한게 맛있어요^^
오토바이학생,21,61,4.9,2024.04.08.,5.0,꽃살도 너무 맛있고 뭉티기가 진짜 녹아요 녹아!
함수키,16,39,4.9,2024.04.05.,5.0,고기가 입에서 살살 녹네요 녹아~
유니,21,61,5.0,2024.04.03.,5.0,고기가 너무 맛있는데 가격도 착해요 ^^
도토리,18,53,4.9,2024.04.01.,5.0,고기퀄리티가 좋아요
아름드리,11,26,5.0,2024.03.29.,5.0,된장찌개 먹고왔어요 ㅎ 맛있어요
sji223,27,84,3.1,2024.03.27.,5.0,역시 고기맛집은 도마! 오늘도 맛있게 먹고가요
상도,6,11,5.0,2024.03.25.,5.0,가성비도 좋고 맛도 좋고ㅎㅎ 잘 먹었습니다!!
윤콩,11,19,5.0,2024.03.21.,5.0,가성비 좋고 질 좋네요 역시 고기 최고><
민송이,9,18,4.9,2024.03.20.,5.0,예약필수 맛집 입니다!! 분위기 좋고 고기도 맛있고 마약된장찌개 필수로 드세요!!
정지은,4,7,4.9,2024.03.17.,5.0,스폐설 모듬세트 컬리티가 미쳤어요!! 반찬 구성도 좋고 푸짐하개 잘먹었어요!♥ 세트구성 강추합니다~ 특히 갈비살 진짜 진짜 맛있어요!!:-)
도산성(黃肅夏),2,16,4.3,2024.02.10.,5.0,
Elin,2,2,5.0,2024.02.06.,5.0,스페셜모듬 강추해요 ㅎㅎ
앙앙공쥬,22,64,4.9,2024.02.02.,4.0,친절하고 고기 퀄리티가 좋아서 맛있게 먹고가요
슈이,23,78,4.9,2024.01.31.,4.0,소고기가 너무 맛있어요 자주올게요
나성은,5,10,4.8,2024.01.29.,4.0,고기 퀄리티 좋고 밑반찬도 정갈하고 맛있어요 ㅎ 평일 저녁에 사람많았어서 웨이팅이 좀 있었는데 다음에는 예약하고 가려고요!
